default
ギガントゴーレム,Giga Golem
EU28_Paizuri,
頑丈な体を持つ岩の兵士。胸部を一部分だけ露出させているのは相手を興奮させるため。相手がおっぱいに夢中になり戦意を失ったところで確実にしとめるのを得意戦術としている。,A giant monster with a body made of rock. Her breasts; which are large even proportionate to her massive size; are easily capable of swallowing an adult man into her cleavage. Once captured; the more her prey struggles; the deeper they sink into the cleavage; becoming like an ant trapped in an antlion's pit; helplessly devoured. Surrounded by her soft breasts and sweet scent; and with her skillful movements providing pleasure all over their body; most men cannot withstand the ecstasy she forces upon them.
[1].このカードは相手プレイヤーに直接攻撃できる。\n[2].自分のターンに相手プレイヤーに直接攻撃を行った場合、追加攻撃を行う。,[1]. This card can attack your opponent directly.\n[2].If you attack your opponent directly during your turn; you may deal damage an additional time.
[3].自分ターン終了時に発動する。このカードは守備状態になり自身の最大HPを800ポイントアップする。,[3]. At the end of your turn; this card switches to Defense Position and increases its maximum HP by 800 points.
ふふ。そんなにこの胸が気になるか？,Fufu. Are you really that interested in my breasts?
いまさら隠したって無駄だ。\nお前の目がさっきからわたしの胸ばかり\n見ていたことには気づいているぞ。,It's pointless to hide it now. I've noticed that your eyes have been glued to my chest for a while.
自分の体よりもさらに大きい胸だものなぁ。\nククク、そのまま見とれて、たくさん欲情してしまえ❤,It's a chest even bigger than your whole body; after all. Kuhuhu; just keep staring and get more and more excited.❤
お前、女の胸に弱いのか？\nただ軽く揺れているだけなのに、すっかり蕩けた顔じゃないか。,Do you have a weakness for women's chests? It just takes a little sway; and your face gets so lewd.
その調子じゃあ、ほら、\nこんなふうに手で揺らされたらたまらないんだろう？\nいいぞ好きだけ見て、さっさと気持ちよくなってしまえ。,At this rate; look; if I jiggle them with my hands like this; you can't stand it; can you? It's okay; just keep staring and feel good already.
カードマスターのくせに\nおっぱいから目をそらすこともできないみたいだな。\n好きなのか？女の胸が❤,Even though you're a cardmaster; it seems you can't stop staring at my breasts. Do you like them that much? A woman's breasts~❤
谷間に身体ごと挟まれて、上下にパイズリされるのは気持ちがいいぞ？\n足も顔もチンコも全部もみくちゃにされて、\n体中が天国のようになる❤,Being sandwiched between these breasts of mine and getting a titjob would feel amazing; don't you think? Your legs; face; and cock all being fondled; and your whole body feeling like heaven.❤
ククク❤想像するだけでチンコが反応しているじゃないか。\nなんなら、このおっぱいをオカズに自分でしごいてしまうか？\nいいぞ揺らしてオカズを提供してやっても❤,Kuhuhu.❤ Just imagining it made your cock react. If nothing else; don't you want to just jerk off while staring at them? It's okay; I can shake them and give you something to look at~❤
わたしのおっぱいから目をそらすこともできないみたいだな。\n好きなのか？女の胸が❤,It seems you can't take your eyes off my chest. Do you like them that much? A woman's breasts~❤
おやおや、おっぱいにずいぶんと弱いみたいだな。\n目が釘付けじゃないか。,Oh my; it seems you have quite the weakness to breasts. You can't take your eyes off of them.
そのまま見とれていれば、\nこの谷間に挟んでパイズリしてやってもいいぞ❤\nどうだ？魅力的な話だろう？,If you keep staring like that; I might just let you enjoy a titfuck between these breasts of mine~❤ How about it? Isn't it an enticing offer?
その小さな体をわたしの大きな胸で何度もしごくんだ。\nどれほど気持ちいいんだろうな❤ククク❤,I'm sure you'll love the way my big tits rub your little body over and over again. I bet you're curious how good it would feel.❤ Kuhuhu~❤
守りのモンスターが何体いようともわたしには関係がない。\nこうしてその上からお前のことを捕まえられるからな。,It doesn't matter how many monsters you have to protect you. I can just capture you from above like this.
カードマスターよ。いまから特等席に案内してやろう。,Come here; Cardmaster! I'll show you to your special seat.
特等席とはこの胸の間だ。\nやわらかくて大きなこの胸で挟まれれば、すぐに勝負などどうでもよくなるぞ❤\nククク❤,The best seat here is between my breasts. If you get caught between these large; soft tits; you'll forget all about the match.❤ Kuhuhu~❤
ふふ、これだけ体格差があるとまるでおもちゃのようだな。\nお前の全身よりもわたしのおっぱいの方が大きいようだ❤,Fufu; with this much of a size difference; you look like a little toy. My breasts are bigger than your entire body~❤
この特大のおっぱいの間に、お前の体を埋めてやろう。\n幸せの極致を味わうといい❤,I'll bury you between these enormous breasts. Enjoy the peak of happiness~❤
どうだ？ずいぶんと大きな胸だろう？好きなだけ見ていいぞ。,What do you think? It's a really big chest; isn't it? Feel free to look as much as you want.
お前の体よりも大きなこの胸。\nそれを使ってたっぷりと快楽を味合わせてやろう❤,These breasts are bigger than your whole body. I'll use them to make you feel really; really good.❤
たくさん胸を揺らして誘惑してやろう。ほらほら…❤,I'll shake my chest and seduce you a lot. Here; look...❤
こんな大きな胸は見たことがないだろう？\nお前の体全部を挟み込めるほどのおっぱいだ。たっぷり見とれてしまえ❤,You've never seen breasts this big before; have you? They're so big they could envelop your body completely. Go ahead and admire them to your heart's content.❤
この大きな胸で気持ちいいことをされたいのか？\n視線がチラチラと胸を見ているじゃないか。スケベめ。ククク❤,Do you want these big breasts to make you feel good? Your gaze keeps darting to my chest. You pervert. Kuhuhu~❤
これだけの体格差だからな。\nお前の全身をおっぱいで挟んだとしてもまだまだ余裕があるだろうな❤,The size difference between us is so big. Even if I were to squeeze your whole body between my breasts; there would still be plenty of room.❤
体中をおっぱいでもみくちゃにされる全身パイズリ❤\nどれだけ気持ちいいのか、たっぷりと妄想するといい❤,Getting your whole body smothered by breasts in a full-body titjob...❤ Just imagine how good it would feel; and indulge in your fantasies~❤
ほら、胸の谷間を手で開いて見せてやろう❤,Look; let me open my cleavage and show you.❤
どうだ？\nこの甘い匂いのする谷間の中。たまらなくエロイだろう？\nここに身体ごと挟んでやってもいいんだぞ❤,What do you think? This sweet-smelling valley of cleavage. Isn't it irresistibly erotic? I could probably squeeze your whole body between them~❤
挟んだあとは、イクまでしごいてやろう。\nおや…、誘われて足がふらふらとこっちにやってきているじゃないか❤\nククク❤,After squeezing you between these breasts; I'll shake them until you come. What's this... Your shaky legs are walking you over here on their own; aren't they?❤ Kuhuhu~❤
ふ、この巨大な胸を前に理性を失ったか？\n敵の胸で気持ちよくなりたいなどと、浅ましく願って、\nなんて恥ずかしい男だ。,Ufu; have you lost all reason when faced with my enormous chest? What a pathetic man you are; shamelessly wishing to feel pleasure from your opponents breasts.
そんなに胸が気になるなら、さあたっぷり揺らして見せつけてやろう❤\nお前の体をこの胸に挟んで、全身を快楽で包まれれば、\nどうせすぐに果てるのだろう？ククク❤,If you're so obsessed with my chest; then let me show you how they bounce and sway.❤ Once I squeeze your body between my breasts and surround you in pleasure; you'll probably reach your limit right away; won't you? Kuhuhu~❤
そんなに胸が気になるなら、さあたっぷり揺らして見せつけてやろう❤\n自分の体よりも大きな胸で勝手に興奮してそこで果てるといい❤,If you're so obsessed with my chest; then let me show you how they bounce and sway.❤ Get excited by breasts bigger than your own body and cum right here~❤
ククク❤やはり少しも耐えられなかったな❤\n最上級モンスターの最高のおっぱいを前に、人間が耐えられるはずがないのだ。\n格の違いを思い知っただろう？,Kuhuhu~❤ As expected; you couldn't resist it at all~❤ There's no way a human could endure the amazing breasts of a top-class monster. You must have realized the difference in our levels; didn't you?
ふ、目の前で胸を揺らされただけで、勝手に発情して勝手に射精❤\n矮小な生き物は、ずいぶんと脆い理性しか持たないんだな。\nククク❤,Ufu; just by having my chest shaken in front of you; you get so excited and ejaculate on your own.❤ Small creatures have such fragile wills; don't they? Kuhuhu❤
さあ、カードマスターよ。最高の快楽を味合わせてやろう…❤,Come here; Cardmaster! I'll make you taste the ultimate pleasure...❤
ほら捕まえた…❤今から胸を揺らしてやるから、抵抗せずに搾られてしまえ❤ふふふ❤,Look; I've caught you...❤ I'm going to start shaking my breasts now; so don't resist and just let yourself be milked~❤ Fufufu~❤
これで終わりだな。ほら、ほら、ほら❤,This is the end. Here I go~❤
ほお、この体格差で逃げるとはやるじゃないか。,Wow; you managed to escape despite the difference in size.
だが、そんなに固くなったチンコでどれだけ我慢できるかな？\n自分からこの谷間に飛び込んでもいいんだぞ？ふふふ❤,But how long do you think you can hold out with a cock that hard? You could always just dive into my cleavage yourself; you know? Fufufu.❤
む、逃げたか。意外と理性が強いことだ。\nあと少しこの谷間の中にいれば、射精の快楽を味わえたというのに、\nもったいないやつめ。,Hmm; you escaped. You're surprisingly strong-willed. If it had stayed in my cleavage a little longer; you could have experienced the pleasure of ejaculation. What a waste.
まあいい。また捕まえて谷間に閉じ込めてやるからな。\nその蕩けかけた体で次は耐えきれるかな？ふふふ❤,Well; fine. I'll catch you again and trap you in my cleavage all over. Do you think your weakened body will be able to endure it next time? Fufufu.❤
もう射精が近いようだな。ほらほらほら、とどめにたくさん揺らしてやろう❤,It seems like you're close to finishing. Then I'll do this. I'll give you a good shake and finish you off~❤
腰がうずいて仕方ないのだろう？さっさと果ててしまえ❤,Your hips must be aching terribly; right? Just go ahead and cum already~❤ 
頭の中はまっしろか？全身パイズリで射精するのは最高に気持ちいいぞ❤,Has your mind gone completely blank? I bet cumming from a full body titjob feels amazing~❤
ククク、腰をそんなにヘコヘコさせて、みっともないぞ❤そのまま谷間に漏らしてしまえ、カードマスター❤,Kuhuhu; you look so embarrassing; shaking your hips like that.❤ It's okay. Just let it all out into my cleavage; Cardmaster~❤
イクのか？敵に負けて出してしまうのか？,Are you going to come? Are you going to give in and lose to your enemy?
ほらほら、とどめだ。たっぷり上下に揺らしてやろう❤,Here I go. This will finish you. I'll shake you up and down a bunch~❤
全身を甘い感触に包まれて天国だろう❤ほうら、蕩けた脳みそでわたしに屈服しろ❤出してしまえ❤,Wrapped all over in this sweet sensation; it must be heaven for you.❤ Come on; let your melted brain surrender to me~❤ Let it all out~❤
そろそろ耐えられないんだろう？とどめに激しくもみこんでやる。ほらほらほら！,You can't hold on much longer; can you? I'll give you a final; intense massage. Here I go! Take this!
おや、ずいぶんとおとなしいじゃないか。もう逃げるのはやめたのか？,Oh my; you're being quite docile; aren't you? Have you given up trying to run away?
おっぱいにされるがままだな。変態め❤,You're just letting my breasts do as they please; aren't you? You pervert~❤
もう気持ちよさで頭が働かないのだろう？このまま果てていいぞ。,You're feeling so good you can't think straight; can you? Give in; just like this.
ククク、無様だな。もう逃げる気力もわかないようだ。\nそのまま谷間に溺れてしまえ、カードマスター❤,Kuhuhu; pathetic. Seems you don't even have the strength to escape anymore. Just drown in my cleavage; Cardmaster~❤
どうした？抵抗が弱々しいぞ？気持ちよすぎてもう抗えないのか？\nククク❤,What's wrong? Your resistance is getting so weak. Does it feel too good to fight anymore? Kuhuhu~❤
ほらほら、抵抗をやめたご褒美だ。たっぷり上下に揺らしてやろう❤,Then here; I'll give you a reward for giving in. I'll shake you up and down even harder~❤
快楽に呑まれて情けなく喘いで、すっかり無抵抗だな❤マゾめ❤,Consumed by pleasure and moaning so pathetically; you're completely defenseless now.❤ You masochist~❤
腰のところを重点的にもみこんでやる。ほらほらほら！,I'll focus on massaging your waist now. Here we go! Take this!
胸に体をあずけて、\nされるがままにパイズリを受けるのは気持ちいいだろう？,Doesn't it feel good to just relax your body against my chest and let me titfuck you?
快感に負けたようだな。もう逃げる気なんてないのはお見通しだ❤\nさっさと負けろマゾ❤,Seems you've given up on escape and have succumbed to the pleasure~❤ Then hurry up and lose; you masochist~❤
どうだ？体中を胸に擦られるのは最高だろう？,How is it? Doesn't having your whole body rubbed against my chest feel amazing?
安心して気持ちよくなるといい❤\n落ちないようにしっかりおっぱいで捕まえておいてやるからな❤,I hope you feel nice and safe.❤ I'll make sure to hold you tightly with my breasts so you don't fall.❤
このまま果てていいぞ。どうせ圧倒的な体格差は覆らない❤,You can go ahead and lose just like this. After all; nothing will change the overwhelming difference in our sizes.❤
わたしの胸は気持ちいいだろう？さっさと谷間に溺れてしまえ❤,Doesn't my chest feel amazing? Hurry up and drown in my cleavage~❤
抵抗したところで無駄だ。男はこの快楽の谷間から出ることはできない。\nククク❤,It's useless to resist. A man can't escape this valley of pleasure. Kuhuhu~❤
ほらほら、たっぷり上下に揺らしてやろう❤,Here; look; I'll shake you up and down a bunch.❤
喘ぎ声が出ているぞ❤情けないな❤,You're moaning so much.❤ How pathetic~❤
ほら、腰のところを重点的にもみこんでやる。むにむにむに❤,Here; I'll focus my massage on your waist. Squish; squish; squish~❤
体の力を抜くんだ。おっぱいに身を任せるのは気持ちいいぞ？ふふ❤,Seems your body is finally relaxing. Doesn't it feel better when you just let yourself be carried away by my breasts? Fufu~❤
ほらほらほら❤わたしのパイズリにどれだけ耐えられるかな？,Watch. Here I go. Aha~❤ How long do you think you can endure my paizuri?
あぁ、がまんできない…❤ううっ…❤,Ah; I can't hold it in anymore...❤ Ugh...❤
クク、何をしている？\nわたしの体を見つめながらチンコを握って、まさかオナニーか？,Kuhu; what are you doing? You're just staring at my body and holding your dick. Are you seriously masturbating?
圧倒的な力の差を前に、自ら敗北を選んだというわけか❤,In the face of the overwhelming difference in our power you chose to accept your loss and defeat yourself; huh?❤
このおっぱいには勝てない…❤\nいや、このおっぱいに早く負けたい…❤\nそう心が思ってしまったのだろう？,I can't win against those breasts...❤ No; I just want to lose to those breasts already...❤ Is that what you're thinking right now?
ほら、軽くおっぱいを揺らしただけでその表情❤\n犬みたいに盛ってお前にはプライドが無いのか？,Look; if I just jiggle my boobs a little; you make such a lewd face.❤ You're getting all worked up like a dog in heat. Don't you have any pride?
無いだろうな。\nあるならばこうしてバカにされているのに、\n無様にチンコを擦っているはずはないのだからな❤ククク❤,I don't think so. If you did; you wouldn't still be rubbing your cock so shamelessly while I'm mocking you.❤ Kuhuhu~❤
ううっ❤ち、ちがう…❤これはぁ…❤,Ugh...❤ N-no...❤ That's not...❤
違う？ならばこのおっぱいから目を離してみろ❤,No? Prove it then. Try taking your eyes off my breasts.❤
自分の体より大きかろうと…、途方もなくやわらかそうだろうと…、\nお前にかけらでもプライドが残っているならば簡単なことだろう❤,Even if they're bigger than your body... Even if they look incredibly soft... If you have even a shred of pride left; it should be easy for you.❤
こうやって揺らされて、手で揉みこまれて・・・❤\nどうだ？目は離せたか？,Even if I shake and knead them with my hands like this...❤ How about it? Can you look away?
はあ、はあ…❤すごい…❤ううっ❤,Hah; hah...❤ Amazing...❤ Ugh...❤
クク、目を離すどころか完全に釘付けじゃないか❤,Kuhu; not only can you not look away; but you're completely captivated~❤
特大おっぱいを見ながらの敗北オナニーは気持ちがいいか？\nああ、言わなくても分かる、その蕩けた顔を見ればな❤,Does staring at my huge breasts and losing feel good? Ah; you don't have to say anything. That blissful look on your face is my answer~❤
あ、ああっ、もうぅ…❤,Ah; ahh; it's too much...❤
まったくたかだか乳揺れ程度で、ずいぶん情けないことだ。\n早漏め❤,Honestly; getting all worked up over something as trivial as a little breast jiggle is pretty pathetic. Premature ejaculator~❤
さあ、最後に思いっきりおっぱいを揺らしてやる❤,Alright; I'll shake my boobs one last time and finish you off~❤
イ❤ケ❤,Come on.❤ Cum~❤
あはぁ❤❤❤,Ahh!❤❤❤
クク、おっぱいに触れる事もなく果てるとは無様だな❤,Kuhu; you came without ever even touching my breasts. How pathetic~❤
ほかの男どももどうだ？\nムラムラしているのならそばに寄るといい。\n近くで見るこの胸は、迫力があるぞ？ククク❤,How about the rest of you? If you're feeling restless; just come closer. My chest looks even more impressive up close; don't you think? Kuhuhu~❤
うぅ、お、おっぱいぃ…❤,Ugh; your... Your breasts...❤
クク、お前もこの特大おっぱいに屈したのか❤\nここにはオナニー中毒の犬しかいないようだな❤,Kuhu; have you also fallen for my enormous breasts?❤ It seems like there are only masturbation-addicted dogs around here~❤
揺れるおっぱいを見ただけで犬みたいに盛って\nお前たちにはプライドが無いのか？,Just by looking at bouncing breasts; you get excited like dogs in heat. Don't you have any pride?
無いだろうな。\nあるならば今も無様にチンコを擦ってないはずだからな❤,Probably not. If you did; you wouldn't be shamelessly rubbing your cock right now.❤
ううっ、くそぉっ…❤,Ugh; damn...❤ 
はは、悔しがっているふりが上手だな❤\n本気で悔しがっているなら、このおっぱいから目を離せるはずだろう？,Oh my; you're really good at acting frustrated.❤ If you were really frustrated; though; you'd be able to take your eyes off my breasts; right?
結果はさっきのやつで分かっているがな❤\nほら軽く体を上下に動かしてやろう・・・❤,We already know how this goes from the last guy; don't we? Look; I'll gently move my breasts up and down...
はひぃっ、すごい…❤,Ahh; amazing...❤
クク、やはりな❤\nお前も目を離すどころか完全に釘付けじゃないか❤,Kuhu; just like I thought~❤ You're completely captivated. You just can't look away; can you?❤
わたしがダプン❤ダプン❤とおっぱいを揺らしているだけで\nお前たちは次々と自ら敗北していく❤\n情けなくて涙が出そうだよ❤ククク❤,Just by bouncing my breasts like this...❤ Bounce; bounce~❤ You all keep surrendering all on your own; one after another.❤ It's so pathetic it almost makes me want to cry!❤ Kuhuhu~❤
うはぁ❤❤❤,Ah... Amazing...❤❤❤
おっぱいにまだ目線を感じるぞ？\n次にこの特大おっぱいで果てるのは誰だ？ふふふ・・・❤,Do I still sense someone staring at my chest? Who will be the next to lose to my massive breasts? Fufufu...❤
くっ、やるじゃないか。\nだが、お前も限界じゃないのか？,Hmph; not bad. But you're about to reach your limit too; aren't you?
ほら、見てみろ、この特大おっぱいを。\nお前の全身を包み込んでも余りある大きさだ❤,Hey; look at these enormous breasts. They're so big they could wrap around your whole body and still have room to spare.❤
いい事を教えてやろう、お前達との戦いでわたしは汗をかいている、\nもちろんおっぱいの谷間の中はむれむれだろうな❤,I'll tell you a secret. Fighting you and your allies has made me all sweaty; and that obviously means my cleavage is all sweaty and slippery; too~❤
わたしに止めを刺す前にむれむれおっぱいを全身で味わってみないか❤,Before you finish me off; why not enjoy my slick breasts to the fullest?❤
攻撃する,Attack
攻撃しない,Don't attack
うぐ、不覚…。,Ugh; so stupid...
どうした？攻撃しないのか❤,What's wrong? You stopped attacking.❤
クク❤そんなにチンコを膨らませて、\n全身パイズリを味わいたいみたいだな❤,Kuhu.❤ Judging by your hard-on; it seems you want to experience my full-body titjob.❤
ではまずおっぱいの谷間がどれだけむれているか見せてやろう❤,Well then; why don't I show you just how sweaty my cleavage is~❤
あ、甘い匂いが❤❤❤はひぃっ・・・❤,Ah; that sweet smell...❤❤❤ Hahhh...❤
クク❤至近距離で嗅ぐこの匂いはたまらないだろう？\nおや自分でしごき始めたのか？,Kuhu~❤ Isn't this scent just irresistible up close? Oh my; have you started stroking yourself?
おっぱいの谷間に溜まった匂いを嗅いだだけで猿も同然だな❤\nさっきまでの勇ましい顔はどこへ行ったのやら。,Just by smelling the scent trapped between my breasts; you've become better than a monkey. Where did that brave face from earlier go?
自分の手で射精するのもつまらない。\nさあオナニーなど比にならない快感を味合わせてやる❤,But stroking it with your own hand is so boring. I'll give you a pleasure that just masturbating could never compare to~❤
うはぁああぁ❤❤❤,Uwaaah!❤❤❤
どうだ？汗とフェロモンがこもったおっぱいの監獄は❤,How do you like it? My prison of breasts filled with sweat and pheromones.❤
うぁぁ…❤はひぃ…❤,Ugh...❤ Hahhh...❤
挟み込んだだけで蕩けた顔をしているが\nわたしはまだおっぱいを動かしていないぞ？,All I did what squeeze you; and you're already making such a lewd face. You know I haven't even started moving my breasts yet; right?
クク❤では全身パイズリをしてやろう、覚悟しろよ❤,Kuhu~❤ I'm going to start my full-body titjob now; so get ready!❤
うぅ…やめ❤,Uhhh... S-stop...❤
わたしはお前とは違うのでな、最後まで油断はしない。\n止めてやるものか❤,Unlike you; I won't let my guard down until I win. There's no way I'm letting you stop me.❤
うぁ、あひぃ❤❤❤,Ohh; ahh...❤❤❤
クク❤どうだ全身がチンコになったようだろう？\nやわらか特大おっぱいが、チンコはもちろん全身を擦り上げるのだ。,Kuhu~❤ How does it feel to have your entire body treated like a cock? The way my big; soft breasts rub against every part of you.
それに加え、汗がローション代わりになって滑りも増している、\n我慢なんて出来ないだろう❤,What's more; my sweat is acting like lotion; making it even slipperier. You won't be able to hold back at all~❤
ほら、もう限界だろう、もっと早くパイズリしてやるからイってしまえ❤,Look; you're already at your limit. I'll make my titjob even faster; so hurry up and cum~❤
うぁああああ❤❤❤,Uaahhhh!❤❤❤
さあ、特大おっぱいに全身を挟まれながらイケ❤❤❤,That's it; cum with your entire body completely enveloped by my enormous breasts~❤❤❤
クク❤わたしのおっぱいが白くなってしまったな❤\n攻撃を止めてくれて感謝するよ、\nおっぱいに負けたマゾ男❤,Kuhu~❤ You've turned my breasts completely white~❤ Thank you for not attacking and losing to my tits instead; you masochist~❤
ぐっ、このわたしが再び追いこまれるとは…。,Ugh; I can't believe I'm about to lose again...
だが、お前も限界じゃないのか？,But you're at your limit too; aren't you?
お前も見ていただろう、この特大おっぱいに挟まれてイったマゾを❤\nお前の全身もこのおっぱいで包み込んでやろう❤,You must have seen it; the last masochist who got crushed between these enormous breasts.❤ I'll wrap your whole body in these tits; too.❤
そこでじっとしていろ❤\nすぐに天国に連れて行ってやる❤,Just stay still~❤ You'll be in heaven soon~❤
くっ、不覚…。,Damn; so stupid...
ふふ❤お前も攻撃しないのか❤,Kuhu~❤ You stopped attacking; too.❤
そんなにチンコを膨らませて、さっきの全身パイズリを見て、\nお前もこの特大おっぱいに挟まりたかったのだろう？,I bet you got watching that full-body titjob earlier. Don't you want to get squeezed between these huge breasts; too?
期待通り、\nまずはおっぱいの谷間がどれだけむれているか見せてやろう❤,Just like last time; I'll start by showing you how much my cleavage is sweating.❤
あふぅ、あっ、ああっ…❤❤❤,Fuh; ah; ahh...❤❤❤
クク❤おっぱいの谷間に溜まった\nむれむれフェロモンを嗅いだだけでオナニーを始めるとは❤\nお前もさっきのマゾと変わりないな❤,Kuhu.❤ Just smelling the pheromones trapped in my cleavage; you already started stroking yourself.❤ You're no different from that masochist from before~❤
自分の手で射精するのもつまらないだろう？\nオナニーなんて比にならない快感を味合わせてやる❤,But wouldn't it be boring to cum from just stroking it yourself? I'll give you a pleasure that just masturbating could never compare to~❤
どうだ？わたしの汗とフェロモンがこもったおっぱいの監獄は❤,How is it? Your prison of my sweat- and pheromone-infused breast~❤
あう、あううぁぁ…❤,Aah; aah...❤
挟み込んだだけで蕩けた顔だな❤だが、わたしはまだ動かしていないぞ？,All I did what squeeze you; and you're already making such a lewd face. You know I haven't even started moving my breasts yet; right?
