default
死神少女,死神少女
[1].１ターンに１度、LPを500払い相手フィールド上の「ゾンビ」状態のモンスター１体を選択して発動できる。そのモンスターに2000ポイントのダメージを与える。相手フィールド上にモンスターが存在しない場合、この効果は相手プレイヤーを対象に発動することもできる。\n[2].相手が墓地からモンスターを特殊召喚したとき発動する。そのモンスターに2000ポイントのダメージを与える。,[1].１回合１次，可以支付500點LP、選擇對手場上１體「殭屍」狀態的怪獸發動。給予該怪獸2000點傷害。如果對手場上沒有怪獸，則這個效果可以選擇對手玩家發動。\n[2].對手從墓地特殊召喚怪獸時發動。給予該怪獸2000點傷害。
[3].このカードが手札に存在し相手フィールド上にアンデッドタイプのモンスターが2体以上存在する場合、自分フィールド上のモンスター１体をコストにして発動できる。このカードを手札から特殊召喚する。,[3].當這張卡在手牌，對手場上有２體以上的不死族種類怪獸存在，可以將自己場上１體怪獸作為代價來發動。這張卡從手牌特殊召喚。
ふとももコキで弱点攻撃時に拘束攻撃を行う。,交戰時如果以腿交攻擊到對手弱點則會進行追加攻擊。
あなた、死に穢されているわね…。,あなた、死に穢されているわね…。
あなたも、死に穢されているわね…。,あなたも、死に穢されているわね…。
あなたのいるべき場所は死の世界よ。\n甘いキスで昇天させて、すぐに送ってあげる…❤,あなたのいるべき場所は死の世界よ。\n甘いキスで昇天させて、すぐに送ってあげる…❤
あら、キスされても耐えるだなんて、たいしたものね。\nわたしのキス、立っていられなくぐらい気持ちいはずなのに❤,あら、キスされても耐えるだなんて、たいしたものね。\nわたしのキス、立っていられなくぐらい気持ちいはずなのに❤
でも、ふふ、その表情を見る限り、\nあまり長くは耐えられないんでしょう？\nやせ我慢はすぐに終わりにさせてあげる…❤,でも、ふふ、その表情を見る限り、\nあまり長くは耐えられないんでしょう？\nやせ我慢はすぐに終わりにさせてあげる…❤
くすくす❤気持ちよく眠りにつけたようね❤\n死神に看取ってもらえて、あなたは幸福だわ。,くすくす❤気持ちよく眠りにつけたようね❤\n死神に看取ってもらえて、あなたは幸福だわ。
死の世界から帰ってくるなんて、悪い子…❤,死の世界から帰ってくるなんて、悪い子…❤
またすぐに逝かせてあげる❤\nほら、こうやってキスしてあげれば魂がとろけちゃうでしょう…？,またすぐに逝かせてあげる❤\nほら、こうやってキスしてあげれば魂がとろけちゃうでしょう…？
あら、キスされても耐えるだなんて、\nそんなにこの世にとどまりたいの？\nわたしのキス、立っていられなくぐらい気持ちいはずなのに❤,あら、キスされても耐えるだなんて、\nそんなにこの世にとどまりたいの？\nわたしのキス、立っていられなくぐらい気持ちいはずなのに❤
往生際が悪いあなたもあとどのぐらい耐えられるのかしらね。\nキスの気持ちよさでびくびくってチンポが震えちゃってる。くすくす❤,往生際が悪いあなたもあとどのぐらい耐えられるのかしらね。\nキスの気持ちよさでびくびくってチンポが震えちゃってる。くすくす❤
死神にキスされると、魂を抜かれてしまうの。,死神にキスされると、魂を抜かれてしまうの。
強い意志を持てば耐えられるのだけれど、\nあなたはどうかしら？\nわたしの口づけで蕩けずにいられる？ちゅっ❤,強い意志を持てば耐えられるのだけれど、\nあなたはどうかしら？\nわたしの口づけで蕩けずにいられる？ちゅっ❤
足でこすられてうれしい？\n気持ちよくないなんて強がってもムダ❤\nこすりつけられるたびに、あなたのチンポ、喜んでる❤,足でこすられてうれしい？\n気持ちよくないなんて強がってもムダ❤\nこすりつけられるたびに、あなたのチンポ、喜んでる❤
ストッキングがすべすべしてて、\nチンポの横側なでられるだけで、\nぞくぞくってしちゃうんでしょ？,ストッキングがすべすべしてて、\nチンポの横側なでられるだけで、\nぞくぞくってしちゃうんでしょ？
エナジー出したら動けなくなるのに、\n足先から逃げることができない❤\n足なんかに負けちゃうんだもん。人間ってかわいいね❤くすくす❤,エナジー出したら動けなくなるのに、\n足先から逃げることができない❤\n足なんかに負けちゃうんだもん。人間ってかわいいね❤くすくす❤
わたしの細くて白い指、きれいでしょ？\n今からあなたのチンポを握って、\nシコシコ❤シコシコ❤優しく上下にしごいてあげる❤,わたしの細くて白い指、きれいでしょ？\n今からあなたのチンポを握って、\nシコシコ❤シコシコ❤優しく上下にしごいてあげる❤
魂を扱うときと同じぐらい、繊細に優しく触ってあげるわ。\nきっとすぐに恍惚としてしまうはず・・・❤\nさあ、夢心地のまま冥界に送ってあげる❤,魂を扱うときと同じぐらい、繊細に優しく触ってあげるわ。\nきっとすぐに恍惚としてしまうはず・・・❤\nさあ、夢心地のまま冥界に送ってあげる❤
くす❤わたしの脚をじろじろ見て、\n一応わたし死神なのよ？\nエッチな目で見るなんて不敬な子ね❤,くす❤わたしの脚をじろじろ見て、\n一応わたし死神なのよ？\nエッチな目で見るなんて不敬な子ね❤
ほら、あなたがジッと見ていた脚を押し付けてあげる。\n膝でズボンの上から、ぐり、ぐり・・・❤\nあん❤硬いもののが押し返してくるわ❤,ほら、あなたがジッと見ていた脚を押し付けてあげる。\n膝でズボンの上から、ぐり、ぐり・・・❤\nあん❤硬いもののが押し返してくるわ❤
この硬いものが柔らかくなるまで\nパンパンに詰まった中身を吐き出させてあげる❤\n不敬な子はカラカラになるまで搾り取って、冥府送りよ。くすくす❤,この硬いものが柔らかくなるまで\nパンパンに詰まった中身を吐き出させてあげる❤\n不敬な子はカラカラになるまで搾り取って、冥府送りよ。くすくす❤
