default
モス,飛蛾娘
[1].このカードが場に出たとき相手モンスター1体を選択して発動する。そのモンスターに「麻痺」を付与する。,[1].這張卡出場時，選擇對手１體怪獸發動。賦予該怪獸「麻痺」。
蛾の姿をしたモンスター娘。一日中寝ていることが多く、たまに起きては果物などを食べて暮らしている。全身がふかふかとしており、触るととても気持ちいい。相手を麻痺させる粉は本来外敵から身を守るためのものだが、この子は男の動きをとめて精を搾る時にも使用している。,飛蛾姿態的魔物娘。睡眠時間很長，偶爾才會起身尋找水果覓食。全身有蓬鬆的絨毛，摸起來觸感非常舒服。能夠使對方麻痺的鱗粉原來是用來抵禦外敵用的，但她也會在搾取男人精液時用來讓對方無法動彈。
わたしの鱗粉でしびれさせちゃうよ。えいやー。,以我的鱗粉麻痺你。嘿呀。
あれ、どうしたの？顔が赤くなってるよ？,奇怪，怎麼了嗎？你臉好紅喔。
あー、前にわたしに負けたこと、思い出しちゃったんだ。それじゃあ、もう戦うのは無理かな？くすくす❤,我知道了，你想起來之前敗給我的記憶對不對？那麼你已經無法跟我戰鬥了對不對？嗯哼哼❤。
あんまりおっぱい大きくないけど、パイズリで気持ちよくしてあげるね。,雖然我胸部沒有很大，但是乳交起來還是很舒服的喔。
んっしょ、んっしょ...❤えへへ、おちんちん挟まれて気持ちいい？そのまま力抜いちゃっていいよ。,嘿咻、嘿咻……。欸嘿嘿，小雞雞被夾起來舒服嗎？你可以繼續享受喔。
おっぱいでおちんちんを挟んでっと…。うん、パイズリしてあげる❤,用胸部夾小雞雞……。幫你乳交喔。
服の上からても、けっこうおっぱいの柔らかさ伝わるでしょ？おちんちんにたくさん擦りつけてあげるね。,就算隔著衣服，你也能感受到我胸部的柔軟對吧？我會努力摩擦你的小雞雞的。
我慢できなくなったら、服の上にたくさんかけていいからね。えへへ、出して❤出して❤,如果忍不住的話，射在我的衣服上也沒關係喔。欸嘿嘿、射吧～射吧～。
おっぱいでおちんちん挟んであげるね。よいしょっと。,用胸部夾住小雞雞。嘿咻。
どうかな？わたしの胸あんまり大きくないけど、ちゃんとズリズリできてるかな？んふふ、その顔、けっこう気持ちいいみたいだね❤,感覺如何？我的胸部雖然沒有很大，但是要小幅摩擦還是做到的喔。嗯哼哼，那個表情，好像在告訴我你很舒服呢。
戦うのは終わりにして、そのままとろけてていいよ。胸の間にいっぱい精液出してね。,你可以就這樣發情導致戰鬥輸掉喔。在我的胸部上面大量射出來吧。
おちんちん、手でしごいて気持ちよくしてあげる。,我用手來幫小雞雞舒服起來。
こうやってぎゅってにぎって、前後に動かすんだよ。よいしょ、よいしょっ、と…❤,就像這樣緊握住前後挪動。嘿咻、嘿咻……。
んふ、おちんちん捕まえた。手で作った筒でしこしこしてあげるね❤,嗯哼哼，抓到你的小雞雞了。接著雙手成筒狀幫你做。
さきっぽから根元までゆっくり、しーこしこ❤しーこしこ❤,我會慢慢從龜頭摸到陰囊。
敵の女の子におちんちん捕まえられちゃったね。ほら、しこしこー❤,你被敵對女孩子抓住小雞雞了喔。然後還要被她幹了。
あは、手を動かすたびに体がビクビク反応しちゃってる。,啊哈，我的手每動一次你的身體就會有反應呢。
わたしみたいな弱いモンスターにおちんちんいじめられて気持ちよくなっちゃうんだー。しこしこ❤しこしこ❤,被我這種弱小怪獸卡虐待小雞雞很爽嗎？
わたし、ふともものふかふかしているところからね、\nいけない粉が出ているの。\n触ると体がびりびりして動けなくなっちゃうやつ。,我大腿有嫩肉的地方，\n會飛出色色的鱗粉喔。\n身體碰到就會麻麻的動不了呢。
でもね、それをおちんちんにつけると、とっても気持ちいいんだって。\nおちんちんが敏感になってそのうえずーっとびりびり快楽が走っちゃうのかな？,但是如果塗在小雞雞上面會變得非常舒服喔。\n小雞雞不僅會變得很敏感還會一直有觸電般的快感喔。
一回試してみたいよね？ほら、ほら、ふとももにおちんちん入れていいよ❤,要不要試試看？沒問題喔，我可以讓你把小雞雞插到我的這對大腿間喔。
んふ、おちんちんふとももで捕まえちゃった。このままたくさん腰を動かしてあげるね。,嗯哼哼，我的大腿抓到你的小雞雞了。接下來我會用力為你扭腰的。
ふともものお肉でたくさん気持ちよくなって？ほらほらー❤,被我的大腿肉夾住的感覺舒服嗎？嗯哼哼。
ふとももでおちんちん挟んであげるね。ほら、むぎゅー❤,我用大腿肉夾你的小雞雞喔。嗯哼哼。
あは、挟んだとたんに腰がひくひくしちゃってる。でも、そこはおまんこじゃないんだよ。,啊哈哈，啊哈哈，一夾下去腰就抖起來了。但是那裡不是我的小穴喔。
おちんちん気持ちよくて止まらない？ふとももの間で無駄うち射精しちゃうかな？,是因為小雞雞太舒服了根本停不住？想要在這對大腿間隨便射嗎？
くすくす❤わたしみたいな弱いモンスターに、\n気持ちよくしてくださいっておねだりしちゃうんだ❤\n鱗粉でおちんちんぴりぴりして、我慢できなくなっちゃった？,嗯哼哼，竟然求我這種弱小怪獸卡說自己想要舒服，\n是因為小雞雞被鱗粉弄到麻麻的所以受不了了嗎？
くすくす❤わたしみたいな弱いモンスターに、\n気持ちよくしてくださいっておねだりしちゃうんだ❤,嗯哼哼，竟然求我這種弱小怪獸卡，\n說想要舒服起來呢。
ねえ、どんなことしてほしいの？\nせっかく降参してくれたんだもん。\nわたしにできそうなことならしてあげるよ❤,欸，你想要我怎麼做？\n畢竟你難得投降一次，\n只要是我能做的就幫你做。
手で気持ちよくなりたいの？\nわかった、それじゃいっぱいシコシコしてあげるね❤,想要用我的手來舒服？\n我知道了，那就幫你手交喔。
え？わたしのおっぱいで挟んでほしいの？\nんー、そこまで大きくないけど、わかったやってあげるね❤,欸？想要用我的胸部夾你？\n嗯～，雖然不是很大，但你要就幫你做吧。
ぎゅってハグしながらふとももに挟んでほしいの？\nそんなことしたら鱗粉で麻痺がひどくなっちゃうかもしれないけど\nしてほしいんだもんね❤んふふ、いいよ、やってあげる❤,想要我抱緊你再用大腿夾嗎？\n要是我真的這麼做可能會因為鱗粉讓你刺痛得受不了喔？\n但是你想要的話我還是幫你做。
きゃ❤どぴゅって勢いよく飛んできた❤\nあんまりシコシコ耐えられなかったね❤\nわたしの手、そんなに気持ちよかった？,呀啊，以好驚人的勢頭飛過來呢。\n你對手交沒有抵抗力嗎？我的手有那麼舒服嗎？
わっ、おっぱいの間でびゅくびゅく脈打ってる❤\nちゃんと挟んで気持ちよくできてよかった❤,哇啊，竟然在胸部中激烈顫抖著呢，\n能被我夾真是太好了呢。
んふ、びくびくって体が動いてるけど、出しちゃったのかな？\nふともものところに熱いのがかかった感触がする❤\n出し切れるようにぎゅって脚を閉じてあげるね❤,嗯哼哼，竟然身體一直抖個不停，你是已經射了嗎？\n大腿可以感覺到溫熱的液體呢，\n我縮緊大腿把那些全擠出來喔。
あっ、ああっ・・・。,啊、啊啊……。
体がしびれているのに、頑張ってシコシコしてるの？ふふ、そんなにおちんちん、我慢できなかったんだ❤,明明身體都已經在麻痺了，還拼命想要自慰嗎？嗯哼哼，小雞雞有這麼難受就是了呢。
わたしみたいな雑魚モンスター相手に興奮しちゃうなんて、みっともないんじゃないかな。くすくす❤,竟然會因為我這種弱小怪獸卡而興奮，真是難看呢。
あううっ…。気持ちいいぃ…。,啊嗚嗚……。好舒服喔……。
お目目がとろーんとしてきてるね。オナニーしてるうちに、わたしの鱗粉がおちんちんにもいっぱい付いちゃったみたい。,你的眼睛都已經恍神了呢。因為你在自慰的關係，鱗粉在這之中塗抹到你的小雞雞上了喔。
吸い込むと体がしびれちゃう粉だけど、体につくと、その箇所がずーっとピリピリして、敏感になっちゃうんだよ。,這原本是吸入體內造成全身無法動彈的鱗粉，但是如果塗在身上的話可以讓該處麻麻的且變得敏感。
おちんちんもいつもよりとっても気持ちいいでしょ？こんなに気持ちいいとシコシコ止まらなくなっちゃうね❤,是不是有感覺小雞雞變得比平常還要舒服呢？舒服成這樣你的手淫一定停不下來了吧。
あっ、だめっ…。もう出るっ…❤,啊、不行……。要出來了……！
くすくす。全然我慢できないじゃん。はやーい❤,嗯哼哼。你完全沒辦法忍耐呢。好快喔。
いいよ。ほらわたしの体にかけて？君のエナジー吸収してあげる。,可以喔。射在我身體上吧。我來吸收你的能量。
きゃっ、すっごいたくさん出た❤,呀啊，射的量好驚人喔。
麻痺した手であんまり早くシコシコできてなかったはずなのに、すごい量だね❤わたしの前でのオナニーそんなによかったのかな？くすくす♪,手腕被麻痺的時候應該沒辦法快起來才對，竟然還可以射這麼多，是因為在我面前自慰的關係嗎？嗯哼哼。
自分からおちんちんシコシコして負けちゃうんだ。くすくす❤,竟然自己摸小雞雞後輸掉了。嗯哼哼。
上級モンスターなのにわたしみたいな弱いモンスターに夢中になるなんて、恥ずかしくないの？,你明明是上級怪獸，竟然被我這種弱小怪獸給迷住不覺得丟臉嗎？
この間も、わたしでオナニーして負けちゃったよね？すっかりオナニー中毒だね。,你上次也在我面前自慰輸掉了呢。你已經愛上公開自慰了呢。
わたしの手でされるのを想像してシコシコしているのかな？それなら、ほら…。,是在想像被我手交的同時自慰嗎？這樣的話，那麼我就……。
手で筒を作ってあげるから、この中に出していいよ？,將雙手做成筒狀給你看，讓你可以在裡面射精喔。
もしおちんちんをこの中に入れてたら、手でぎゅって握られて、そのまま前後にしこしこしこ…❤きっと気持ちよかっただろうね。,如果小雞雞能真的進到裡面來的話，我的手會緊緊把你握住，然後前後搓揉……一定會很舒服呢。
でもあなたは、シコシコされる前に我慢できなくなっちゃって、自分の手でシコシコし始めちゃったの。感じられるのは自分の手の感触だけなんて、もったいないね。くすくす❤,但是你啊，在可以被我手交以前已經忍不住用自己的手來手淫了呢。所以你能感受到的只有自己的手，好可惜喔。嗯哼哼。
くぅうっ・・・❤,咕嗚嗚……。
今度バトルするときは、シコシコしてもらえるまで我慢してようね。ほら、もうそろそろイっちゃうんでしょ？出していいよ。,下次對戰的時候，要努力忍耐到我幫你做的時候喔。那麼，你現在差不多要射了吧？可以射了喔。
