default
ツインスネイク,Twinsnake
頭の部分と足先が蛇になっている魔物。実は蛇が本体で体は疑似餌のようなものにすぎない。女体で獲物をおびき寄せ相手に抱き着き、快楽を味合わせているうちに、毒の牙を撃ち込む。捕食に気づいた時には体も蛇体に絡みつかれており、脱出は不可能である。,A monster with hair and feet like snakes. In reality, the snakes are the main body, and the rest is just a type of bait. It lures its prey in with its feminine body, embraces them, and while they are experiencing pleasure, injects its venom into them with its fangs. By the time the prey realizes they are being hunted, their body is already entangled in the snakes, making escape impossible.
特性：「凍結弱点」\n[1].このカードが特殊召喚に成功した時、または相手モンスターを破壊したときに発動する。「次の戦闘で攻撃回数+1」を自身に付与する。,Ability: "Freeze Weakness" [1]. This ability activates when this card is successfully Special Summoned or when an opponent's monster is destroyed. It grants itself "+1 attack count in the next battle."
戦闘時に相手に弱点を付与する。「おっぱいに弱い」相手に拘束攻撃を行う。,During combat, inflict a weakness on the opponent. Perform a binding attack if the opponent is "weak to breasts."
EU37_paizuri,
ふとももむっちりしててエロいでしょ❤\nここに手を挟んでみる？\nほら・・・❤,Don't my thighs look so plump and sexy?❤ Want to try putting your hand between them? Here...❤
くすくす❤まぬけな顔ー。\n女の子の体温、あったかいよねー❤\nもっとイイことしてあげるから、そのまま動いちゃダメだよ・・・❤,Kuhuhu; you're making such a silly face. A girl's body feels so nice and warm; doesn't it?❤ I'll do something really nice for you; so don't move...!❤
あたしの体って疑似餌なの。頭の蛇が実は本体なんだよー。\nこの体で獲物をおびき寄せて、毒の牙をばくり❤\nそれがいつものやり方。,My body's just bait; you know. The snakes on my head are actually the real me. I lure in my prey with this body first; and then I bite them with my venomous fangs! That's how I always do hunt.
え？バラしちゃっていいのかって？\nくすくす❤疑似餌だってわかってても、気持ちよさは本物だから、大丈夫❤\nアンタもふとももで挟まれたら、動けなくなるよ。ほら・・・❤,Huh? Why am I telling you? Kuhuhu~❤ Even if you know it's just a decoy; the pleasure is very real; so it doesn't matter.❤ Once you're trapped between my thighs; you won't be able to move! Watch...❤
きゃは、あたしのふとももそんなに気持ちいいんだ？\nチンポ挟まれてビンビンじゃん❤,Kyaha; do my thighs really feel that good? I can feel your dick getting all excited between them.❤
むちむちしたところに男って弱いよねー。\nほら、ふとももを交互に動かしてしごいてあげる❤\nチンポさっさとイっちゃえ❤,Men are weak to plump parts; right? Look; I'll move my thighs back and forth and stroke it for you.❤ Come on; hurry up and cum for me~❤
胸で挟んであげる❤\nあたしの胸、張りがあるから弾力がすごいんだー。,I'll squeeze you with my chest~❤ My breasts are really firm; so they're nice and bouncy.
