default
アーチャー,弓箭手
弓の扱いに長けた女性の兵士。弓の命中率は高いが筋力は強くないため、あまり威力の高い攻撃はできない。道具の手入れが趣味で彼女の身に着けているものはいつでも新品同様である。\n　器用な手先を活かした手コキが得意。きれいに修繕した手袋で男性を一方的に喘がせることに言い知れぬ喜びを感じている。,擅長弓箭的女性士兵。雖然弓箭命中率高但因為力道不夠強的關係攻擊威力並沒有很高。有維修裝備的興趣因此她的衣服總是跟新的一樣。\n　她擅長靈活運用手指的手淫。她會用仔細保養的手套玩弄男性的陰莖，感受對方的嬌喘聲。
戦闘時「手コキに弱い」を付与する。相手の弱点に攻撃した場合、追加攻撃を行う。,交戰時賦予對手「手交弱點」。且如果攻擊到對手弱點時，會進行追加攻擊。
ふふ、手コキ好きなんだ？それじゃもっといいことしてあげる…❤,哼哼，喜歡手交嗎？那麼我就幫你做舒服的事情……❤。
もう限界だね。ほら、びゅっびゅっー❤,已經到極限了嗎？來，射給我看啊❤。
えー、こんなに気持ちいいの振り払っちゃうんだ。もったいなーい。,欸？明明這麼舒服卻逃走？很可惜耶。
チンポもっとシコシコされたくなかった？言えば続きをしてあげるよ？くすくす❤,小弟弟還想被手淫嗎？只要跟我說我就繼續幫你做喔，嗯哼哼❤。
きゃ、もう、逃げなくったっていいじゃん。チンポしこられて気持ちいいんだからさー。素直になりなよ。,哎呀，真是，你幹嘛逃走啦。你不是小弟弟被幹得很舒服嗎？要老實一點啦。
あと何回かシコシコってしてあげれば射精できてたかもよ？くすくす❤想像しちゃった？そんな状態のチンポでどれだけ耐えられるのかな？,說不定你再被幹幾下就會射精了喔？嗯哼哼❤，有在想像對不對？變成這樣你小弟弟還能忍耐多久呢？
うりうりうりー❤手コキ気持ちいいでしょー。,感覺到我的手套觸感了嗎❤，被女人手淫好舒服喔。
この手袋にいっぱい出しちゃっていいんだよ？エナジー吸い取ってあげる❤,你可以在這個手套中大量射精喔，我會把你能量吸光光❤。
シコシコするたびに腰が浮いちゃってるね。くすくす。,每次手淫你身體就抖一下，嗯哼哼。
おちんちん限界でしょ？もう負けちゃえば？ほらほらー。,小弟弟到極限了嗎？你準備要輸了嗎？說啊是怎樣啊❤。
シコシコいっぱいしてあげる。気持ちよくなっちゃえ。,我會持續幫你弄的。所以只要享受就好。
手でシコシコされるの好きなら耐えられるわけないよ。さっさと、負けちゃえ。,喜歡被人手淫的話是不可能忍耐得住的。所以輸掉也不奇怪喔。
あは、まだ振り払えないの？気持ちいいのに流されてたらおちんちん射精しちゃうよ？くすくす。,啊哈哈，你還不想甩開我嗎？要是任由快感驅動身體的話小弟弟會射精的喔？嗯哼哼。
わたしあんまり強くないけど、手コキだけは得意なんだー。ほら、シコシコシコ❤,我不是很強，但是擅長手交。所以我只能用手幹你❤。
カリ首に指をひっかけて、シコシコ❤シコシコ❤,手指抓住你龜頭，轉動❤。
大事な昇級試験だけど、シコシコされるの気持ちよくて逃げられないねー❤,明明是重要的升階考核，但是被手淫太舒服了根本不想抵抗❤。
マスターの言うことなんて聞かなくていいよ？シコシコされて負けちゃおうよ。,你可以不用聽主人的命令喔，敗在女性怪獸的手淫下吧。
このまま逃げずにいてくれたら、あとでいいこといっぱいしてあげるかも？なんちゃって。,如果你不逃走就這樣射的話，說不定還會被做更多舒服的事情喔。啊，我隨便說的你別亂想。
射精したって大丈夫。他にいっぱいモンスターはいるんだし、素直に気持ちよくなった方が得じゃない？,你可以射精的喔。不是還有很多其他怪獸在嗎？你就專心享受舒服的事情不是比較賺嗎？
シコシコいっぱいされて頭真っ白でしょ？降参してほしいなぁ❤試験はまた今度頑張ろうよ。,被人不斷手淫腦袋無法思考了嗎？想投降了嗎？下次再努力如何啊？
忠誠心なんてシコシコされたらどっか行っちゃうよね？くすくす❤,所謂忠誠意志是只要被手淫就會飛走的喔，哼哼哼❤。
わたし、手先だけは抜群に器用なんだよ？いまから手コキでイイコトしてあげる。,我啊，只有手指靈活這個優點。所以接下來就幫你手交。
二本指でかるーくチンポを挟みながらしゅっしゅってしごくの…。どう？たったこれだけの動きでも気持ちいいもんでしょ？,兩根手指輕輕夾住小雞雞然後套弄……。如何？只是這點動作你就舒服得受不了對吧？
