default
巨乳アラクネ,Busty Arachne
EU48_paizuriAnime,
EU48_oppai,
EU48_paizuriBindAnime,
胸がとても大きなアラクネ。天井から糸を伝って現れると、その大きな胸がゆさりと揺れて、かなりの迫力がある。男は不意の襲撃に警戒するどころか、間抜けな顔でその胸に見とれてしまい無防備な姿をさらしてしまうという。\n男を胸を使ってからかうのが好きで、わざとらしく胸を揺らしたり目の前で揉んで見せたりして、男を挑発してくる。彼女の胸はシルクのようになめらかな感触で、顔やペニスを擦られればたちまち恍惚としてしまう。どれだけ挑発されても理性を強く保ち、彼女の誘惑をはねのけなければならない。,An arachne with large breasts. The sway and jiggle of her large chest sways creates an impressive view when she hangs from the ceiling by her webs. This sight can mindlessly captivate men and prevent them from attacking; leaving them defenseless. She likes to tease men with her breasts; and will provoke them by deliberately massaging and bouncing her breasts in front of their eyes. Her breasts are as smooth as silk; and will cause any man to instantly fall into ecstasy after she rubs their face or penis between them. No matter how much she teases you; you must keep calm; and resist her temptations. 
[1].このカードが場に出た時、相手キャラクターを1体選択して発動できる。そのモンスターに500ポイントダメージを与え、「拘束」を付与する。\n[2].このカードは「拘束」状態の相手と戦闘する場合、攻撃回数が1増加する。,[1]. When this card is played; select 1 opponent. Inflict 500 damage and the "Restraint" status on them.
[3].このカードが相手モンスターを戦闘で破壊したとき発動する。自分の墓地からランダムにトラップカードを１枚手札に加える。\n,[3]. When this card destroys an opponent's monster in battle; activate this effect: Add 1 random Trap Card from your Graveyard to your hand.
戦闘時「おっぱいに弱い」を付与する。,Inflicts "Breast Fetish" during combat.
はぁい❤こんにちは。\nあなたのことわたしの糸でぐるぐる巻きにしてあげるわね❤,Alright~❤ Nice to meet you. I'll wrap you in my web nice and tight; okay?❤
逃げても無駄よ？\n蜘蛛の眼はどれだけ早い動きでも正確に捉えられるんだから。\nえい❤,There's no escaping me; naughty boy. An arachne's eyes can accurately track your every move; no matter how fast. Caught you~❤
はううっ・・・❤,Hah...❤
あらあら…❤糸に巻き付けられただけでイっちゃったの？\nアラクネの糸には男をうっとりさせる成分が入っているけれど…。,Oh my...❤ Did you cum just from being wrapped in my web? Arachne silk does contain a component that stimulates men; but...
それにしても縛られるだけでイっちゃうなんてね。\n変態マゾさんは縛られるのがそんなにうれしかったのかしら❤\nくすくす❤,Still; it's a little sad you came just from this; don't you think? Are you really that excited about being tied up; you perverted masochist?❤ *Giggle*❤
あううっ・・・❤,Ahh...❤
くす、糸で締め付けられると、なぜだかじんわり気持ちいいでしょ？\n獲物が逃げ出さないように、\n獲物をうっとりさせる成分がわたしの糸に含まれているの。,Fufu; it feels really good when my web tightens around you; doesn't it? My web contains a compound that stimulates my prey in order to keep them from escaping.
でも、おちんちんもちゃんと気持ちよくなりたいわよね？\nそのままうっとりしていれば、\nすぐにわたしのおっぱいで気持ちよくイかせてあげるわ❤うふふ❤,Though; you want your penis to feel good too; don't you? As long as you stay there; all dreamy like that; I'll use my breasts to make you cum.❤ Ufufu~❤
うふふ、ぐるぐる巻きにされてかわいそう❤\nだってほら・・・❤,Ufufu; poor boy; all wrapped up and helpless.❤ Look...❤
こうやって目の前にえろぉい谷間があるのに、なんにもできないんでしょ？\n体をそらして気を紛らわすこともできないし、\nずっとおちんちんの前でたぷたぷ揺らされたら、たまらないわよね❤,You can't bring yourself to do anything with such erotic breasts swaying before your eyes; can you? You can't turn your body to look away; and it's so sexy when I keep jiggling them in front of your penis like this~❤
