default
エルル,艾露露
闇属性のモンスターを好んで使うD級のカードマスター。特殊召喚を多用し、初心者を苦しめる。鍵開けなどの盗賊としての技能を身に着けており、手先が器用。そんな彼女の手コキは絶品で、戦闘後に彼女の虜になってしまう男が後を絶たないという。また大きな胸を活かしたパイズリも得意。男性が彼女に勝つためには強い理性が必要だろう。,喜歡屬性闇屬性怪獸的Ｄ階卡片玩家。因為特殊召喚的卡很多對初學者來說非常難打。有學習開鎖等盜賊技能，手指非常靈活。也因此她的手淫是極品，在戰鬥後被她魅惑的男人不是少數。同時她也擅長活用大胸部的乳交。男性想要戰勝她需要有強力的理性。
ん？この辺じゃ見ない顔ね。初心者のカードマスターかしら。,嗯？以前沒看過你呢。是新人卡片玩家嗎？
はじめまして。わたしは、エルル。D級のカードマスターよ。,初次見面你好。我的名字是艾露露。是Ｄ階卡片玩家。
あなたのランクはF級？ふーん、まだカードを始めたばっかりなんだ。,而你的階級是Ｆ級？喔～這才剛開始使用卡片而已呢。
さっそくバトルと行きましょ。上級者として軽く倒してあげる。,那麼趕快對戰吧。作為高階玩家，我會輕鬆打倒你。
やっほー。{ランク名}級カードマスターくん。また会ったわね。バトルする？,午安啊。{ランク名}階。又見面了呢。要對戰嗎？
この間わたしが負けたのは運よ。運。今度は勝つわ。さあ行くわよ！,上次我輸掉是因為運氣的關係，是運氣喔。這次我會贏的。那麼開始吧！
この間みたいに、キャロルのおっぱいでまた負けさせてあげるわ。ふふふ、せいぜい楽しみなさい。,我會讓你跟上次一樣輸給卡蘿兒的胸部。嗯哼哼，好好期待吧。
ふふ、前はわたしの勝ちだったわね。またこてんぱんにしてあげる。,嗯哼哼，上次是我贏了不是嗎，這次也要徹底打敗你！
やっほー。F級カードマスターくん。また会ったわね。バトルする？,你好啊ー。Ｆ階。又見面了呢。要對戰嗎？
え？もうF級じゃない、{ランク名}級になったって？\nへぇー、すごいじゃない。,欸？已經不是Ｆ階了，現在升到{ランク名}階了？\n好厲害喔。
とはいえまだわたしより下のランクでしょ。\n前回たまたま負けちゃったけれど、今日はわたしが勝つんだから。\nさあ行くわよ！,不過那還是在我之下呢。\n上次又輸了，但是這次我會贏的。\n那麼開始吧！
でも結局、またわたしのモンスターに負けちゃうんでしょ？\nふふ、ランクが上がったところでパイズリにアヘらされてるようじゃ\n仕方ないわね❤,但是你最後還是會敗給我的怪獸對吧？\n嗯哼哼，你就算昇階了還是會被乳交弄到高潮呢，\n真是沒辦法呢。
この間みたいに、キャロルのおっぱいで負けさせてあげるわ。\nせいぜい楽しみなさい❤,讓你像上次那樣敗給卡蘿兒的胸部。\n讓我好好享受吧。
でも結局、またわたしに負けちゃうんでしょ？\nランクが１つ上がったところで、たいして変わらない❤\n今日もこてんぱんにしてあげる❤,但是最後還是會敗給我吧？\n就算你昇了階級，內在也不會改變呢。\n我今天也要徹底打敗你。
やっほー。E級カードマスターくん。また会ったわね。バトルする？,午安。Ｅ階。又見面了呢。要對戰嗎？
やっほー。{主人公}。\n今時間ある？それならわたしとバトルでもしましょう。,你好啊。{主人公}。\n現在有時間嗎？那麼來跟我對戰吧。
同じDランク同士、闘技場に向けてしっかり調整していかないとね。\nこの間は負けたけど、今日は勝たせてもらうわ！,我們Ｄ階卡片玩家，得要想辦法以競技場為基準調整牌組呢。\n上次雖然敗給你了，但這次我會贏的！
くぅ、格下に負けるなんて屈辱…。次は負けないわ！,嗚，竟然敗給比我低階的……。下次不會輸了！
はい、わたしの勝ち。やっぱりF級とD級じゃ、実力が違うわよね。クスクス。,啊哈，是我贏了。果然Ｆ階跟Ｄ階的實力完全不同呢。嗯哼哼。
