default
煙猫,Cheshire
煙で体ができた猫。姿があいまいでつかみどころがないが、煙を実体化させて作り出される胸やふともは極上の女体であり、男を簡単に骨抜きにする。煙の中には人間を魅了する成分が含まれており、猫の体に顔を埋めて思い切り吸い込めば、たちどころに骨抜きになってしまう。,A cat yokai with a body made of smoke. While her form is vague and elusive; her chest and thighs; which are created by solidifying her smoke; are the epitome of feminine form and easily render men powerless. The smoke contains substances that enchant humans; and any man who buries his face in her feline form and breathes too deeply will find himself instantly captivated.
[1].このカードは自身が対象に選択された場合以外、効果によるダメージを受けない。\n[2].このカードが自分フィールド上に４ターン以上存在する場合、以下の効果を持つ。\n・このカードと戦闘をした相手に「発情(800)」を付与する。\n[3].自身が付与した状態異常のダメージによって相手フィールド上のモンスターが墓地へ送られたとき発動する。このカードのコピーを自分フィールド上に１体特殊召喚する。\n,[1] This card does not take damage from effects unless it is targeted directly.\n[2] If this card remains on your field for 4 turns or more; it gains the additional effect: 'Inflict "Arousal (800)" on any opponent that battles this card.'\n[3] Activate this effect when a monster on the opponent's field is sent to the graveyard due to damage from a status ailment inflicted by this card. Special Summon 1 copy of this card to your field.
[1].このカードは自身が対象に選択された場合以外、効果によるダメージを受けない。\n[2].このカードが自分フィールド上に４ターン以上存在する場合、以下の効果を持つ。\n・このカードと戦闘をした相手に「発情(800)」を付与する。\n[3].自身が付与した状態異常のダメージによって相手フィールド上のモンスターが墓地へ送られたとき発動する。このカードのコピーを自分フィールド上に１体特殊召喚する。\n[4].自分ターン終了時に発動する。自身のHPを1500ポイント回復する。\n,[1] This card does not take damage from effects unless it is targeted directly.\n[2] If this card remains on your field for 4 turns or more; it gains the additional effect: 'Inflict "Arousal (800)" on any opponent that battles this card.'\n[3] Activate this effect when a monster on the opponent's field is sent to the graveyard due to damage from a status ailment inflicted by this card. Special Summon 1 copy of this card to your field.\n[4]. At the end of your turn; this card recovers 1500 HP.
EU42_thighJob,
EU42_paizuriAnime,
にゃは❤お前にわたしの姿が捉えられるかにゃあ❤\n煙で自在に姿を変えられるから、\nほら、お前の横に手を作って、脇をくすぐったりもできるのにゃあ❤,Nyaha!❤ Do you really think you can catch me; nya?❤ I can change my shape at will with my smoke; you knoyw. Look; I can even create a hand beside you and tickle you like this; nya~❤
くすぐったいかにゃ？急にこちょこちょされたら\n耐えられるやつは少ないのにゃ❤\n完全に無防備なチンポは・・・❤,Hey; are you ticklish? Nyot a lotta guys can handle being tickled outta nyowhere.❤ And your cock's completely defenceless...❤
わたしの胸で挟んで気持ちよくしてやるのにゃ❤\nこしょこしょされて体が跳ねれば、チンポも谷間でズリズリ擦れるにゃ❤\nセルフパイズリで自爆するといいにゃ❤こしょこしょこしょ～❤,I knyow; I'll trap your cock between my breasts and make you feel real good~❤ While you're shaking and bouncing from my tickles; you'll end up thrusting between my cleavage too; nya~❤ Go on; use my boobs to feel real nyice and finish yourself fur me!❤ Tickle tickle~❤
にゅはん❤人を化かすのは楽しいのにゃ❤\n煙で色香をマシマシにしてやれば、男はすぐに引っかかるのにゃ❤,Nyha~❤ Tricking people is so much fun; nya.❤  If I amp up my allure by giving them a pawff of smoke; guys fall fur you supurr quick; nya~❤
たとえば、ほれ、おっぱいを一回り大きくして揺らしてやるのにゃ❤\nにゃはは、目が釘付けにゃ❤\n分かっていてもつい目が吸い寄せられるのにゃ❤,Fur example; look; I'll make my boobs even bigger and sway them like this.❤ Nyahaha; you can't look away!❤ You even knyow it's a trick; and your eyes still get drawn to them; nya~❤
