default
シスター,Sister Maria
E級のカードマスター。癒しの力を軸にしたデッキを使用する。使用モンスターの攻撃力は低めだが、回復とともに段々と攻撃力を上げてくるので要注意。\n　彼女が信仰している教団は、「女性による男性の庇護」をうたっており、男性カードマスターがいる現状をよしとしていない。そのため各地で男性カードマスターを「改心」させるためのバトルを積極的に持ち掛けている。彼女はまだカードマスターとしては新米だが、その熱意は人一倍あり、今回の大会でも上のランクに上がる前の男性マスターに積極的にバトルをしかけている。\n　彼女が使用する女性モンスターはすべて胸が大きく、自身もその大きな胸を使ったプレイが得意。パイズリやぱふぱふに持ち込まれたら、並ので男性ではその快楽を振り払えない。,An E-rank cardmaster who uses a deck centered around healing magic. While the attack power of her monsters is relatively low; they gradually increase in strength as they heal; so don't underestimate her. The cult she follows advocates for "male protection by women" and disapproves of the existence of male cardmasters. To this end; she actively challenges male cardmasters to battles in order to "convert" them to her beliefs. Although she is still a novice as a cardmaster; her enthusiasm is unmatched; and she is actively challenging male masters in the tournament who haven't reached the higher ranks. All the female monsters in her deck have large breasts; and she herself is skilled at using her own large breasts in her attacks. If she catches her opponent in her puff-puff or paizuri; an average man will have no chance of resisting the pleasure she offers.
あら、はじめまして。わたし、この街の神殿でシスターをやっているものです。,Oh; it's nice to meet you. My name is Maria. I’m a sister of this town's church.
あなたもカードマスターなんですね。普段の戦いでお怪我などはされていませんか？,It seems that you’re a cardmaster as well. Have you been hurt in your recent battles?
わたくしどもの教義では、魔力に富んだ女性こそ戦うべきだと説いております。男性の方には争いではなく癒しと快楽を与えるべきだとも。,Our faith teaches us about how battles should be left to women with higher mana. It also teaches us that men should not be fighting; and instead be given pleasure and comfort.
ましてサキュバスとの戦いとなれば、男性を駆り出すなんて愚かです。すべて女性にゆだねてしまうのが、より賢い選択と言えるでしょう。,Not to mention that sending men to fight succubi is itself a foolish idea. It’d be much wiser to leave that to women.
え？自分はそうは思わない？男だって戦える？あら、そうですか。それなら…。,Oh; you don’t think so? You think that men can also fight succubi? I see. Then in that case...
あなたにも教えの素晴らしさを体感していただけるよう、ぜひ一戦お願いいたしますわ。快楽で戦いへの意志を溶かしてさしあげます❤,I’d be grateful if you’d agree to a battle with me; so that you might also experience the wonders of our faith. I’ll melt your fighting spirit with pleasure~❤
また会いましたね。この間は負けてしまいましたが、今度はそうは行きませんよ。,We meet again. I might have lost last time; but this time will be different.
わたしのカードたちの力で、あなたに教えの素晴らしさをきちんとお伝えいたします。,With the power of my cards; I’ll make you understand the wonders of our faith.
それではバトルを始めましょう。快楽で蕩けさせてあげますね❤,Let’s begin our battle. I’ll melt you with pleasure~❤
うふふ❤またわたしたちの教義を体験したくなったのですか？,Fufu~❤ You want to experience the wonders of our faith once more? Is that it?
それでは前回同様、気持ちいい敗北を教えてさしあげますね。たくさん気持ちよく癒されてください❤,Then I’ll teach you the sweet pleasure of defeat just as before. Simply relax and enjoy~❤
ううっ、お強いんですね。まだまだわたしの修行が足りないようです。,Ugh; you’re strong. It seems that I still lack training.
いつかあなたにも教えの意味が伝えられるように、もっと精進せねば…。それではまたいつか再戦お願いいたします。,I must devote myself even more so that one day you’ll come to understand our faith... To that end; I hope we can have another battle someday.
うふふ、わたしの勝ちです。男の人が戦いには不向きだということがよくわかったでしょう？,Fufu; it’s my win. Have you finally understood why men are unfit for battle?
まだ入信への決心はつかなかったみたいですが、どうせこの快楽を忘れることはできません。,It seems that you’re still hesitant about joining our faith; but you won't be able to forget how good you felt either way.
ランクアップなど目指さなくていいですよ。ずっと気持ちいいことをして過ごしましょう？それでは対戦ありがとうございました。,You don’t have to aim for promotions and such things. Why not just keep feeling good instead? Oh; and thank you for the battle.
あなたのターンからですね。いいバトルにしましょう。,It’s your turn. Let’s have a good battle.
わたしのターンからですね。,It’s my turn.
ドローします。,Draw.
わたしのターン、ドロー。,It’s my turn; draw.
{使用カード}を上級召喚いたします。,Summon {使用カード}!
{使用カード}を召喚します！,Summon {使用カード}!
ううっ、あうう・・・❤,Hauuu...❤
うふふ❤一度女神さまの教えを味わったその体では、\nもはや戦う意思を保てぬようですね❤,Fufu~❤ You shall quickly lose your fighting spirit now that your body has tasted the teachings of our Goddess~❤
何度肉体を再付与されようと意味のないことです❤\n魂に染みついた愛はぬぐえないのですから。\nさあ、またあなたに愛を体験させ、すぐに昇天させてさしあげますね❤,Once it has been engraved on your soul; it can never be washed away. It’s no use; no matter how many times you come back~❤ Come; I’ll let you experience my love and make you ascend once again~❤
さらにもう1枚発動！,And activate one more card!
ターン終了時に{使用カード}の効果発動！味方全員を回復させます。,When the turn ends; activate {使用カード}’s effect! Heal all allies.
ターン終了時に{使用カード}の効果発動！味方全員のHPを300ポイント回復です。,When the turn ends; activate {使用カード}’s effect! Heal all allies for 300 HP.
ターン終了時に{使用カード}の効果発動！味方全員のHPを200ポイント回復です。,When the turn ends; activate {使用カード}’s effect! Heal all allies for 200 HP.
召喚時に{使用カード}の効果発動！処刑人モンスターに「再生」を付与！,When summoned; activate {使用カード}’s effect! Grant all Executioner-type monsters [Regeneration]!
召喚に成功したとき、{使用カード}の効果発動！処刑人モンスターに永続的な回復効果を付与！,When successfully summoned; activate {使用カード}’s effect! Grant all Executioner-type monsters a permanent healing effect!
敵モンスターを墓地へ送ったとき{使用カード}の効果発動！処刑人モンスターに「再生」を付与！,When an opponent monster is sent to the graveyard; activate {使用カード}’s effect! Grant all Executioner-type monsters [Regeneration]!
{使用カード}の効果を発動！処刑人モンスターたちに再生能力を付与です！,Activate {使用カード}’s effect! Grant all Executioner-type monsters the ability to regenerate!
雷撃よ、敵を打ち倒せ。{使用カード}を発動！,Lightning; strike down my enemies. Activate {使用カード}!
{使用カード}を発動します！相手モンスター全体に500ダメージです！,Activate {使用カード}! Deal 500 damage to all enemy monsters!
永続魔法{使用カード}を発動！ターン終了時ごとに味方を回復します。,Activate continuous spell; {使用カード}! Heal all ally monsters when the turn ends.
永続魔法{使用カード}を発動！味方全員を毎ターン回復します！,Activate continuous spell; {使用カード}! Heal all ally monsters every turn!
ライフを1000払い、永続魔法カード"{使用カード}"発動！,Pay 1000 LP to activate the continuous spell; {使用カード}!
ライフを1000払い、永続魔法"{使用カード}"発動！自分のモンスターは回復のたびに攻撃力がアップします！,Pay 1000 LP to activate the continuous spell; {使用カード}! When my allied monsters are healed; increase their attack power!
ライフを1500払い、{使用カード}を発動！デッキから天使モンスターを特殊召喚！,Pay 1500 LP to activate the spell; {使用カード}! Special summon an Angel-type monster from the deck!
わたしのライフをコストに{使用カード}を発動！デッキから天使モンスターを特殊召喚！,Sacrifice LP to activate the spell; {使用カード}! Special summon an Angel-type monster from the deck!
敵の呪文から味方を守る盾となれ。{使用カード}を発動！このターンの間、効果ダメージを半減させます！,Become a shield to protect my allies from the spells of my enemy! Activate {使用カード}! For this turn; damage taken is reduced by half!
無駄です！「{使用カード}」を発動！このターンの間、炎属性の効果ダメージを回復に変換します！,It’s useless; activate [{使用カード}]! For this turn; change damage from Fire Attribute card effects into healing!
装備魔法カード発動！{使用カード}！,Activate magical equipment card; {使用カード}!
魔法カードを発動！{使用カード}！,Activate spell card; {使用カード}!
トラップカードを発動します！{使用カード}！,Activate trap card; {使用カード}!
カードをセット。,Card set.
カードを伏せます。,I'll place this card face down.
わたしと楽しいことしましょ？{防御カード}を攻撃！,Let’s feel good together. I'll attack {防御カード}!
気持ちよくしてあげますね。{防御カード}を攻撃！,I’ll make you feel good. Come; {防御カード}!
{使用カード}で{防御カード}を攻撃します！,{使用カード}; attack {防御カード}!
うう、なにもできませんね…。ターンエンドです。,Ugh; I can’t do anything... Turn end.
このターンは身動きが取れません…。ターンエンド。,I can’t make an action this turn... Turn end.
ターン終了です。,Turn finished.
わたしのターンはおわりです。ターンエンド,My turn’s over. Turn end.
こんなところですね。ターンエンド。,That should be enough. Turn end.
むぅ、攻撃を妨害されるとは…。,Aww; my attack was blocked...
服の上からでも分かるぐらい大きな胸が自慢なんです。\n戦った相手からは、とてもやわらかいと評判なんですよ❤,I’m sure you know how large my breasts are; even through my outfit. I’m quite proud of them. My opponents always tells me how soft they are~❤
あなたのこともたっぷりこの胸で癒してさしあげますね❤\nさあ、骨抜きになってくださいな❤,I shall soothe you; too; with my these breasts~ Now; please; allow me to weaken you~❤
わたしたちの教義では、\n相手のことを癒すことを最も善いこととしています。,In our faith; comforting someone is considered to be the greatest deed you can perform.
あなたにもパイズリで奉仕してさしあげます。\n存分に体をリラックスさせてください❤うふふ❤,I offer boobjobs freely; even to you. Now; please relax yourself and enjoy~❤ Ufufu~❤
わたしの胸、とても大きいでしょう？この大きな胸で、\n男の人の大事な部分を挟んであげたいんですが、いかがですか❤,My breasts are rather large; wouldn't you say? I am certain you would enjoy your precious parts being sandwiched between them~❤
ふふ、強くは拒否しないんですね。やっぱり男の方の理性って弱い…❤,Fufu; so you’re not against it. Men really are weak-willed...❤
わずかな抵抗も、こうやってぎゅっとペニスを包み込んでしまえば、\n腰から蕩けてしまいますね❤\nうふふ、そのまま快楽でふにゃふにゃになっていてください❤,Even if you try to resist; your hips will simply melt down in pleasure once I wrap your penis tightly between my breasts like this~❤ Ufufu; please keep enjoying it like this until you’re exhausted~❤
わたしの胸、とても大きいでしょう？\nこの大きな胸の谷間で、\n男の人の大事な部分、挟まれたくはないでしょうか。,My breasts are rather large; wouldn't you say? I am certain you would enjoy your precious parts being trapped in their cleavage.
わずかに抵抗はしていても、こうやってぎゅっとしてしまえば、\nふふ、腰が抜けてしまいますね❤\nそのままマスターのことなど忘れて快楽に溺れてください❤,Even if you try to resist; your hips will simply melt down in pleasure when I wrap your penis tightly like this~❤ Forget all about your master and drown in pleasure~❤
さあ、どうぞ❤顔をたっぷりおっぱいで挟んであげます。,Now; here you go~❤ I’ll sandwich your face between my breasts.
柔らかい感触と甘いおっぱいの匂いをたくさん楽しんでくださいね？\nぱふ❤ぱふ❤,Please enjoy the softness and sweet scent of my breasts~❤ Puff-puff~❤
抵抗などせずに快楽を味わってください。\nほら、胸でお顔を挟んで、ぱふぱふ❤ぱふぱふ❤,Please don’t resist and enjoy them. Here; I’ll sandwich your face with my breasts~ Puff-puff~❤ Puff-puff~❤
体から簡単に力が抜けてしまいますね。\nそのまま楽にしてれば、気持ちいい敗北が待っていますよ。うふふ❤,Your body loses strength so easily. A blissful defeat awaits you if you keep enjoying this. Fufu~❤
毎日いろいろなことを考えて、いつも心はくたくたでしょう？\nわたしの胸で顔を優しく挟んで、その疲れを癒してさしあげます。,Deep down; having to think of so many things every day must be exhausting. Let me heal all your weariness with my face gently sandwiched between my breasts.
次どのカードを出すべきかなんて、考えなくていいんです。\n難しいことは忘れて、心をからっぽにしてください。ぱふぱふ❤ぱふぱふ❤,You don’t have to think about what card you’re going to use next. Forget about difficult things and empty your mind. Puff-puff~❤ Puff-puff~❤
主従関係なんてどうでもいいと思いません？\n皆ただ神に仕えるだけです。マスターとの関係など\nかりそめの契約にすぎません。,Don’t you think your master-subordinate contract is insignificant? Everyone serves the Lord in the end; after all. Your contract is simply trivial in comparison.
だからほら、おっぱいに甘えててもいいんですよ。\nマスターのことを忘れられるように\nたくさんぱふぱふしてあげますね❤ぱふぱふ❤ぱふぱふ❤,That’s why; you can keep getting pampered by my breasts. I’ll give you even more so that you’ll forget all about your master~❤ Puff-puff~❤ Puff-puff~❤
