default
エルル,艾露露
タイガ,泰卡
プラント,芙蘭
ムニン,姆妮
フレア,弗雷雅
受付さん,櫃台小姐
シスター,修女
ギルド地下通路,公會地下通道
Place/MorugenUnderground,Place/MorugenUnderground
情報収集,收集情報
デッキ編集,編輯牌組
タイトルに戻る,回到標題
特殊オプション,特殊選項
ロード,讀取
セーブ,存檔
回想,回想
作戦会議,作戰會議
(特殊)２周目プレイ,(前篇)第二輪遊戲
(特殊)街に戻った状態にする,(前篇)回到街上
少し歩いて頭もはっきりしたし、受付さんに今の状況について聞くことにしよう。,少し歩いて頭もはっきりしたし、受付さんに今の状況について聞くことにしよう。
分かりました。状況を説明しますね。\nん・・・？,分かりました。状況を説明しますね。\nん・・・？
あいたた・・・。あれ、わたし・・・。,あいたた・・・。あれ、わたし・・・。
・・・・！,・・・・！
エルルさん。目を覚ましたんですね！\nよかった…。,エルルさん。目を覚ましたんですね！\nよかった…。
体は大丈夫ですか？どこかおかしいところなどはありませんか？,体は大丈夫ですか？どこかおかしいところなどはありませんか？
ありがと、うん…。大丈夫みたい。\nかなり体がだるいけれど、魔力を使い果たしたって感じのだるさよ。\n体に変な感じはしないわ。,ありがと、うん…。大丈夫みたい。\nかなり体がだるいけれど、魔力を使い果たしたって感じのだるさよ。\n体に変な感じはしないわ。
はぁ・・・・。まだ現実感がないけど、\nわたしサキュバスになってたのよね。,はぁ・・・・。まだ現実感がないけど、\nわたしサキュバスになってたのよね。
人間に戻れて、本当によかった…。\n{主人公}、あなたのおかげよ。ありがとう…。,人間に戻れて、本当によかった…。\n{主人公}、あなたのおかげよ。ありがとう…。
・・・・♪,・・・・♪
エルルさんはほっとしたような顔で、そう言った。僕もエルルさんが無事なようで一安心だ。,エルルさんはほっとしたような顔で、そう言った。僕もエルルさんが無事なようで一安心だ。
僕らがエルルさんの回復を喜んでいると、向こうの方で足音が聞こえてきた。,僕らがエルルさんの回復を喜んでいると、向こうの方で足音が聞こえてきた。
おーい、戻ったよ。\nやっぱりこっちの道もダメみたい。\n結界でふさがれてた。,おーい、戻ったよ。\nやっぱりこっちの道もダメみたい。\n結界でふさがれてた。
やはりそうでしたか…。,やはりそうでしたか…。
・・・・？,・・・・？
いま目覚めたばかりの、{主人公}さんとエルルさんにも\n状況を説明しますね。,いま目覚めたばかりの、{主人公}さんとエルルさんにも\n状況を説明しますね。
お二人が気絶後、\nわたしたちは地下通路から町の外への脱出を図りました。\nところがどの通路にも見えない壁が存在していたんです。,お二人が気絶後、\nわたしたちは地下通路から町の外への脱出を図りました。\nところがどの通路にも見えない壁が存在していたんです。
そうそう。\n何か所か見て回ったんだけど、全部だめ。\n外へ行く道と、お城につながる道が結界でふさがれてたの。,そうそう。\n何か所か見て回ったんだけど、全部だめ。\n外へ行く道と、お城につながる道が結界でふさがれてたの。
どうやら敵は城を占拠し、\nこの街を守る二重結界を起動したらしいのです。,どうやら敵は城を占拠し、\nこの街を守る二重結界を起動したらしいのです。
この街には二つの強力な結界が備えられています。\n街をぐるりと囲むものが１つ。城のまわりを囲むものが１つ。,この街には二つの強力な結界が備えられています。\n街をぐるりと囲むものが１つ。城のまわりを囲むものが１つ。
１度作動したら、結界石が破壊されない限り２週間は維持されます。\n結界を作動した者の許しがなければ、\n結界を通りぬけて移動することはできません。,１度作動したら、結界石が破壊されない限り２週間は維持されます。\n結界を作動した者の許しがなければ、\n結界を通りぬけて移動することはできません。
つまり、わたしたちは\n完全に外と隔絶されてしまった、というわけですね。\nこれでは逃げることも援軍を呼ぶこともできませんわ。,つまり、わたしたちは\n完全に外と隔絶されてしまった、というわけですね。\nこれでは逃げることも援軍を呼ぶこともできませんわ。
幸いここは非常用の地下通路。\n食糧の備蓄はあるので\n結界が切れるまで潜んでおくことは可能ですが…。,幸いここは非常用の地下通路。\n食糧の備蓄はあるので\n結界が切れるまで潜んでおくことは可能ですが…。
・・・それはやめておいた方がいいかもしれないわね。,・・・それはやめておいた方がいいかもしれないわね。
あのね、わたし、サキュバスになっていたときに、\n頭の中に何度も声が響いてきたの。,あのね、わたし、サキュバスになっていたときに、\n頭の中に何度も声が響いてきたの。
小さい女の子のかわいらしい声、\nその声がわたしたちに命令をしていたわ。\n転移陣の占領は終わった、あとは街中で人間を搾り取れ、そうすれば…,小さい女の子のかわいらしい声、\nその声がわたしたちに命令をしていたわ。\n転移陣の占領は終わった、あとは街中で人間を搾り取れ、そうすれば…
その搾り取った力が、女王様を復活させるって。,その搾り取った力が、女王様を復活させるって。
女王の復活…？どういうことなのでしょうか。,女王の復活…？どういうことなのでしょうか。
詳しいことは分からないわ。「搾り取った魔力を集めたら、\n女王様をお招きし復活の儀式を行う」って…。\n頭の中の声はそう言ってたの。,詳しいことは分からないわ。「搾り取った魔力を集めたら、\n女王様をお招きし復活の儀式を行う」って…。\n頭の中の声はそう言ってたの。
・・・・・。,・・・・・。
僕はギルドマスターに見せてもらった転移陣の様子を思い出した。あそこには巨大な魔結晶があり、街中から魔力を集めることができると言っていた。,僕はギルドマスターに見せてもらった転移陣の様子を思い出した。あそこには巨大な魔結晶があり、街中から魔力を集めることができると言っていた。
もしかしたら魔結晶に魔力を集めるのかもしれない,もしかしたら魔結晶に魔力を集めるのかもしれない
・・・！なるほど。確かにそれはありえますね。,・・・！なるほど。確かにそれはありえますね。
この街には多くのカードマスターが集まっています。\nその魔力を根こそぎ集めてしまえば、\nそれは途方もないエネルギーになるでしょう。,この街には多くのカードマスターが集まっています。\nその魔力を根こそぎ集めてしまえば、\nそれは途方もないエネルギーになるでしょう。
その力を使えば、\n女王にかけられた強力な封印を解き、\n完全復活させることもできるのかもしれません。,その力を使えば、\n女王にかけられた強力な封印を解き、\n完全復活させることもできるのかもしれません。
女王が復活すれば、その影響下にあるサキュバスもみな強化されます。\nこの街にいるたくさんのサキュバスも強くなって・・・。,女王が復活すれば、その影響下にあるサキュバスもみな強化されます。\nこの街にいるたくさんのサキュバスも強くなって・・・。
まじ？\nもう詰んでるじゃんあたしたち。\nそんなことになったらこの街だけじゃない、どこの街も滅ぼされちゃうよ。,まじ？\nもう詰んでるじゃんあたしたち。\nそんなことになったらこの街だけじゃない、どこの街も滅ぼされちゃうよ。
地下に潜んでたって、どうにもならない。\nそんな・・・。わたしの故郷の村もこのままじゃ・・・。,地下に潜んでたって、どうにもならない。\nそんな・・・。わたしの故郷の村もこのままじゃ・・・。
