default
サキュバススナイパー,魅魔狙擊手
[1].このカードが召喚に成功したとき手札を1枚捨てて発動できる。「大剣の女剣士」1体を自分フィールド上に特殊召喚する。\n[2].1ターンに1度、相手フィールド上のモンスター1体を選択し、手札を２枚捨てて発動できる。そのモンスターに「魅了」を付与する。,[1].當這張卡通常召喚成功時，可捨棄１張手牌發動。生成１體「巨劍女劍士」特殊召喚到自己場上。\n[2].１回合１次，可選擇１體對手場上怪獸，捨棄２張手牌發動。賦予該怪獸「魅惑」。
鋭い視線で男を釘付けにする狩人のサキュバス。矢に魅了の魔力を込めて飛ばすことができるほか、魔眼の使い手であり男と至近距離で見つめ合うことで、相手に強い恍惚感を与えることができる。,以銳利的視線吸引男性目光的獵人魅魔。除了可以將魅惑的魔力注入弓矢中射擊，還可以利用魔眼在近距離注視男性，使對方感受到強烈的恍惚感。
わたしの目を見なさい。魅了してあげる❤,看我的眼睛。我要把你魅惑。
頭がぼーっとして、エッチなことしか考えられないでしょ？そのままじっとしてなさい。ふふふ❤,腦袋一陣恍惚，變得只能思考色色的事情對吧？然後你就這樣別動吧。嗯哼哼。
服越しで悪いけど、胸で気持ちよくしてあげる。チンポを谷間に挟んでっと…。,抱歉我不脫衣服，直接用胸部讓你舒服。用乳溝夾住陰莖……。
ズリズリされてどれだけ持つのかしら。さっさと谷間に白旗あげちゃいなさい。くすくす❤,在乳交下你能撐多久呢。給我在乳溝中繳械吧。哼哼哼。
胸で挟んであげるわ。小ぶりなおっぱいだけど、案外悪くないはずよ。,我要用胸部夾你。雖然是很小的胸部，但是觸感應該不差。
サキュバスの肌だもの。しっとりしてて手で触っているだけでも気持ちいい…。そんなところにチンポを閉じ込められたら、どうなっちゃうのかしら。,畢竟是魅魔的皮膚。觸感柔嫩用手摸起來非常舒服……。要是你的陰莖被關在這種東西上的話，後果不知道會怎樣呢。
ふふ、たっぷり体感なさい。気持ちよく吸い尽くしてあげる❤,哼哼，你就好好體驗那種感覺吧。我會讓你舒服得被吸乾。
おっぱいでされるのは好き？たくさん挟んであげるわ。,喜歡被胸部幹嗎？那麼我就就來夾你這種胸控。
ほら、こうやってチンポの先っぽをズリズリ、ズリズリ…❤腰がビクビクしちゃうでしょ。,你看，我正在夾你的龜頭並且動起來……啊，你的腰顫抖起來了呢。
でも、これだけじゃもどかしいわよね。なら自分から腰を突き入れなさい。たくさん竿もパイズリしてあげる❤うふふ❤,啊，只有這樣很難過對吧？那就給我自己扭腰插進來。那麼我就會連整根陰莖一起幫你乳交。
ほら、逃げちゃダメ。女の脚にチンポいじめられるの、気持ちいいよ？,喂，不可以逃跑。畢竟能被女人用腿虐，想爽都來不及了呢。
膝でグリグリグリっていじめてあげる。たくさん喘ぎなさい。ふふふ…❤,接著我的腿會動起來幹你。你只要嬌喘就可以了。哼哼哼……。
脚でいじめてあげるわ。ほら。,我要用腿幹你。過來。
膝をチンポに押し当てて、ぐりぐり、にゅこにゅこ❤こんなことされて気持ちよくなっちゃうなんて、あなた変態ね。,小腿壓住你的陰莖，上下擺弄。被女人這樣幹會爽，你是變態呢。
戦闘中なのに、気持ちよくされて武器持てなくなっちゃうんだ？ふふ、いいわよ。さっさと手放して、わたしに体を任せなさい❤,明明還在戰鬥中，你卻爽到武器都拿不穩？哼，那就放開吧。接下來一切都交給我來做就好。
ねえ、さっきからわたしの脚見てるわよね。女の脚が好きなの？,喂，你從剛才開始就看著我的腿。你是喜歡女人的腿嗎？
それならほら、ふとももの間に挟んであげる。すりすりこすりつけてあげるから、あなたも欲望のままに腰を振りなさい？,那麼我就把你夾在大腿內。我會擺動起來，你也給我順從慾望扭腰。
あら❤そんなもの欲しそうな顔をしちゃってどうしたの？\nくすくす、「気持ちよくしてください」だなんて、\nサキュバス相手に頼んじゃうんだ。,哎呀，你怎麼一臉想要的樣子啊？\n哼哼哼，你說「請幫我做」啊，\n這是可以拜託魅魔的事情嗎。
どうせただの試験だし、サキュバスに搾り取られても\n殺されたりしないものね❤\nそう思ったらもう我慢できなくなっちゃったのかしら❤,反正只是考核，就算被魅魔榨了也不會被殺呢。\n想到這一點就忍不住了對不對？
ほら、どうやって搾り取ってほしいのか、\n口に出していってごらんなさい。\nあなたの浅ましい欲望、受け止めてあげるわよ❤,好了，你想怎樣被榨？\n給我自己說出來。\n我會接受你那卑賤的慾望。
胸で挟んでほしいのね❤\n男はほんと好きよね、女のおっぱい❤\nサキュバスにパイズリされて、さあ骨抜きになりなさい❤,想要被我用胸部夾？\n男人真的很愛女人的胸部呢。\n那就讓你被魅魔乳交，被幹到爽翻吧。
足でいじめてほしいの？\nあは、さすがは自分から降参しちゃうようなマゾね❤\nいいわ、わたしの足で腰砕けにしてあげる❤,想被我用腳虐？\n哈哈哈，真不愧是自願過來投降的被虐狂。\n好啊，我用腳把你幹到腿軟。
あはん❤胸がどろどろ❤\nサキュバスのパイズリはどうだったかしら、ってすっかりアヘ顔ね❤\n試験中にそんな顔晒してみっともないわ❤,啊哈哈，我的胸口髒死了。\n被魅魔乳交後，你的表情已經壞掉了呢。\n在考核中露出那種表情真是太丟人了。
ふふ、びくんびくんって激しく痙攣して\nそんなにわたしの足は気持ちよかった？\nサキュバスにいじめてもらえてよかったわね、マゾ豚くん❤,哼哼哼，喜悅的痙攣起來了。\n你就這麼你喜歡我的腳嗎？\n可以被魅魔虐真是太爽了對吧？你這隻被虐豬❤。
あっ、ああっ・・・。,啊、啊啊……。
くすくす❤そっか、自滅しちゃうんだ。,嗯哼哼，這樣啊，你想自爆啊。
さっきまで戦っていた相手の前に来て、見下ろされながらオナニー。普通ならありえないと思うけど、マゾのあなたにとっては最高の状況なのよね？,走到要戰鬥的對手面前，被她俯視著自慰。普通人根本不可能這樣想，但是對身為被虐狂的你來說這是最棒的情境對吧？
せっかくだから、ほら、おまけしてあげる。,機會難得，我送你個禮物。
魅了の魔眼よ。頭がぼーっとして、エッチなことしか考えられないでしょ？わたしの命令がなければ体を動かすこともできないわよね。,魅惑魔眼。腦袋空白什麼也不能想了對吧？沒有我的命令你甚至根本動不了身體喔。
その状態でオナニーしたらどうなるか❤ふふふ、ほら早くオナニーを再開しなさい。これは命令よ。,這種狀態下自慰的話你會怎樣呢？哼哼哼。好了趕快給我繼續自慰。這是命令。
あっ、ああっ❤なにこれぇ…❤気持ちいいっ❤,啊、啊啊❤，這是什麼感覺……❤，好舒服喔❤。
くすくす❤とーっても間抜けな顔。魅了されながらオナニーなんてし続けたら脳みそ壊れちゃうかも。,嗯哼哼，一臉蠢樣。被魅惑的同時還自慰腦袋說不定會壞掉呢。
でも、別にいいでしょ？気持ちいいんだもの。わたしの命令でシコシコすること以上に、今のあなたにとって大事なことはないはずよ。,但是對你來說沒差對吧？因為這樣很爽。只要能被我命令自慰，除了自慰以外什麼都不需要了呢。
さあ、どんどん扱いて、最高に気持ちよくなって…。わたしに精を捧げなさい❤脳みそとろけさせられながら、気持ちいい自爆オナニーで命を吐き出すの。,好了，速度加快，讓自己體驗最棒的快感……。把精液獻給我，破壞自己的腦袋，在舒服的自爆敗北中把生命射出來。
ほら、出せ❤ イケ❤ このマゾ男❤,好了，給我射！你這被虐男！
はひぃっ…❤,哈咿……❤。
あはっ、ずいぶんたくさん出たわね。魅了されながらのオナニーは最高だったかしら？,哈哈哈，射了好多出來呢。被魅惑同時自慰的快感最棒了對吧？
それにしても、こう何度も自滅しちゃうなんて、すっかり病みつきになっちゃったみたいね。この先わたしに勝てるのかしら。くすくす❤,話說你都這樣自爆好幾次，這已經是有病了吧。這樣子你以後能贏得瞭我嗎？哼哼哼。
マスター自ら敵にエナジーをささげて回復させて…。ふふ、男って本当にダメね。気持ちいいことには絶対に勝てないみたい。,玩家自己對敵人獻上能量讓她回復……。哼，男人真的都垃圾呢。對快感完全沒抵抗力呢。
敵にエナジーをささげて回復させて、ふふ、男って本当にダメね。気持ちいいことには絶対に勝てないみたい。,竟然對敵人獻上能量讓她回復？哼，男人真的都廢物。對快感完全沒抵抗力。
他の人もわたしのところでオナニーしてみる？魅了しながら見下ろしてあげるわよ。くすくす❤,其他人也來我這邊自慰如何？我會魅惑你並俯視你的自慰。哼哼哼。
くすくす❤そっか、やっぱり他の男も自滅しちゃうんだ。,哼哼哼，果然其他男人也想要自爆呢。
誘惑されるまま自分からやってきて、魅了しながらオナニー見てほしいっておねだりしちゃう❤普通ならありえないと思うけど、マゾのあなたにとっては最高の状況なのよね？,被誘惑後自己走過來，希望被魅惑還要我看你自慰。普通人根本不會這麼做，但是對被虐狂來說是最棒的情境對吧。
ほら、言った通りにわたしの魔力であなたもおかしくしてあげる。,那麼，我就用我的魔力讓你的神智混亂吧。
どう？実際に魅了の魔眼を受けてみた感想は。頭がぼーっとして、エッチなことしか考えられないでしょ？わたしの命令がなければ体を動かすこともできないわよね。,實際接受魅惑魔眼的感想如何？腦袋空白除了色情以外什麼也不能想對吧？你已經沒有我的命令就不能動了呢。
その状態でオナニーしたらどうなるか…❤ふふふ、ほら早くオナニーを再開しなさい。これは命令よ。,你在這種狀態下自慰下場會很慘喔……那麼，你就趕快給我自慰吧。這是命令。
くすくす❤とーっても間抜けな顔。この快楽が味わいたくて、仲間を見捨ててオナニー始めちゃったのよね。魅了状態でシコシコし続けたら、脳みそ壊れちゃうかも。,嗯哼哼，一臉蠢樣。想要體驗這種快感，最後拋棄同伴開始自慰起來了。在魅惑狀態中持續自慰的話，腦袋說不定會壞掉喔。
あはっ、あなたもずいぶんたくさん出したわね。魅了されながらのオナニーは最高だったかしら？,哈哈哈，你也射了好多出來呢。被魅惑的同時自慰感覺最棒了對吧？
次々に敵にエナジーをささげて回復させて、ふふ、男って本当にダメね。気持ちいいことには絶対に勝てないみたい。,一個接一個自己來對敵人獻上能量讓她回復，哼哼，男人真的都是廢物呢。對快感完全沒有抵抗力。
うぐっ、やるわね、あなた…。,嗚，你真厲害呢 ……。
脚でいじめてあげたのに、それじゃ不満なのかしら。力を抜いてくれればすぐにでも天国に送ってあげるのに。,我都特地用腳虐你了，這樣還不好？如果你能被幹到我恍神我就能送你上天堂呢。
服越しのパイズリじゃ満足できない？胸より脚の方がお好みかしら？なら…。,穿衣乳交不能滿足你？跟胸部比起來用腳比較爽？那麼……。
ねえ、こうやって膝を使ってグリグリされるのは嫌い？,欸，你不喜歡被女人用腿幹嗎？
一方的にチンポを脚で弄ばれて、気持ちいいでしょ？軽く前後に動かすだけで、びりびりって快感が流れちゃう。,可以在動彈不得的狀態下被女人用腿幹很爽對吧？我會溫柔前後動起來，你會得到宛如觸電般的快感。
戦いなんかするより、こうしてわたしに可愛がられている方が、ずっと楽しいわよね。ほら、顔もとろけてきた❤,對你來說，與其跟我戰鬥不如被我這樣疼愛還比較輕鬆吧。你都已經在發情了。
そのまま快楽に身をゆだねなさい。夢見心地のまま吸い取ってあげるわ❤,你就這樣把身體交給快感吧。我會讓你很舒服得被吸乾。
きゃあっ、理性が強い…。,呀啊，真是理性堅強……。
くすくす❤そう、それでいいのよ。男だもの、気持ちいいのには勝てないわ。,嗯哼哼，對，這樣就好。你是男人，對快感沒有抵抗力。
こうやって膝ですりすりされるだけで、声が出ちゃうほど気持ちいい。そんな状況で女の子に逆らえるはずがないの。,被女人用腿幹就爽到叫出聲音來了呢。你變這樣的話就再也無法忤逆女孩子了喔。
ねえ、肌の感触はどう？サキュバスの肌だからしっとりして吸い付くみたいでしょ？すりすりされてたまらないわよね❤,欸，肌膚的觸感如何？因為是魅魔肌膚，所以柔軟有彈性感覺陰莖被整根緊緊吸附住對吧？被這樣幹真的爽到受不了呢。
はうぅう、気持ちよすぎてぇ…❤,哈嗚嗚、好舒服喔……。
そりゃそうよ。一度女モンスターの快感を受け入れてしまったら、心のバリアがなくなるの。,廢話。只要主動接受女性怪獸的快感，心靈的防護罩就會消失。
その状態で受ける快楽は通常の何倍も気持ちいい。例えば甘い息を吹きかけられながら、脚を数回震わせるだけで絶頂しちゃうぐらいに。,這種狀態接收到的快感會是平常的數倍。是我在你耳朵旁吹氣，或是腿動幾下就能讓你射精的程度。
あっ、あひぃっ…❤ああっ…❤,啊、啊咿……，啊啊……。
くすくす❤かわいい喘ぎ声。膝で大事なところをいじめられて、そんな声出しちゃうんだ。,哼哼哼，真是可愛的嬌喘聲。被人用腿幹重要器官，竟然還能叫出那種聲音啊。
ほら、イきなさい。まったく抵抗もできないまま、わたしの脚に屈するのよ。,好了，給我射。在完全不能抵抗的狀態中，屈服在我的腳下！
ふふ、あっけないわ。女の脚に大事なエナジーをこんなに捧げて…。満足できたかしら？,哼，真可恥。竟然把能量獻給女人的腳……。對你來說很爽對吧？
頑張ってあと少しまで追い詰めたのに、無駄になっちゃったわね。くすくす❤,明明拼命把我逼到絕境，結果一切化為無了呢。哼哼哼。
さっきあなたのお仲間も、わたしの脚でメロメロにされてカッコ悪くイかされちゃったわ。見てたでしょ、あのときの気持ちよさそうな顔❤,剛才你的同伴也被我的腳給魅惑然後丟人的射了。你看見了吧？他射精時的喜悅表情。
そのまま快楽に身をゆだねなさい。あなたも夢見心地のまま吸い取ってあげる❤,把自己的身體交給快感吧，我會讓你舒服得被榨取。
仲間がこうやって搾り尽くされるのを見て、自分もやられてみたいなぁって心のどこかで思っていたんでしょう？,看見同伴被這樣榨乾，所以自己也想要……你打從心底這樣想對吧？
欲望に負けた状態で受ける快楽は通常の何倍も気持ちいい。例えば甘い息を吹きかけられながら、脚を数回震わせるだけで絶頂しちゃうぐらいに。,敗給慾望時接受到的快感是平常的數倍喔。那會是我在你臉頰上吹氣、腳抖幾下就能讓你射精的程度呢。
わたしたちの勝ちね。オナニーなんかで試験に落ちて、恥ずかしくないのかしら。くすくす❤,是我們贏了。竟然因為自慰而沒通過考核，不覺得羞恥嗎？哼哼哼。
脚で気持ちよくされてイっちゃったわね。くすくす❤マゾな男は簡単で助かるわ。,被我用腳搞到射了呢。哼哼哼，是被虐男可以簡單搞定真是太好了。
あは、服にこんなにかけて、パイズリ、ずいぶんと気持ちよかったみたいね。これでわたしたちの勝ち。あっけなかったわ。,哈哈哈，明明我有穿衣服，但是乳交還是太舒服了呢。這麼一來是我們贏了。真是沒用呢你。
昇格試験を受け、試験官が使う女性モンスターに敗れた僕は、床に膝をついて女性モンスターに見下ろされていた。,在升階考核中我敗給考官使用的女性怪獸，跪倒在地上被女性怪獸俯視著。
ま、初心者が相手なら順当な結果ね。,就這樣吧，面對新人這是當然的結果。
我慢できなくなって自分から扱いちゃうような人に、わたしが負けるはずないわ。くすくす❤,我根本不會輸給沒辦法控制欲望而自慰的男人我呢。哼哼哼。
脚でいじめられるの、気持ちよかったんでしょ？ちょっといじめてあげただけで耐えられなくなって射精❤なかなか滑稽だったわよ。くすくす❤,被腳虐的的感覺很爽嗎？我只是隨便玩你就讓你射精了呢，真是滑稽的戰鬥呢。哼哼哼。
わたしの胸はどうだったかしら？柔らかくて気持ちよかったでしょ？くすくす❤,我的胸部感覺如何？很柔軟很舒服對吧？哼哼哼。
ううっ…❤,嗚嗚……❤。
さてと、それじゃあ魔力を搾り取らせてもらうわね。大丈夫、すぐに終わるから。,那麼，接下來我來榨取你的魔力好了。別怕，很快就會結束。
はううっ…❤,哈嗚嗚……❤。
こうやって膝でしてあげると、男ってすぐにイっちゃうの。本当は死ぬまで搾り取ってあげたいけれど…。,只要我用腿這樣幹，男人就會馬上射呢。其實我很想把你榨死但是……。
マスターが見ているからちょっとしかしてあげられないわ。残念ね。くすくす❤,我主人在看我所以我只能做一點點。真是可惜呢。哼哼哼。
あっ、ああっ…❤,啊、啊啊……❤。
サキュバスの肌って素敵でしょ？触れているだけでうっとりしちゃうすべすべの肌。,魅魔肌膚的觸感很棒對吧？你感受到那是柔軟光滑的肌膚對吧。
