default
大剣の女剣士,巨劍女劍士
[1].相手ターン開始時に発動する。自分フィールド上のランダムなモンスター1体に、「戦闘ダメージ1割減」（1ターン）を付与する。\n,[1].對手回合開始時發動。隨機賦予自己場上1體怪獸「戰鬥傷害10%減輕」（1回合）。\n
大きな剣を巧みに使う頼もしい女剣士。後衛を守るすべに長けていて、彼女への護衛の依頼はいつも絶えない。大きな胸が自慢であり、柔らかい胸を活かしたパイズリが得意。,能夠靈活運用巨劍的優秀女劍士。因為擅長護衛後方同伴，她的護衛委託絡繹不絕。她有著非常自豪的大胸部，並且能靈活用那柔軟的乳房進行乳交。
[1].戦闘時に「おっぱいに弱い」を付与する。,交戰時賦予對方「胸部弱點」。
[2].このカードは「おっぱいに弱い」相手から受ける戦闘ダメージが半分になる。,困難以上時，此卡受到有「胸部弱點」狀態角色給予的戰鬥傷害半減。
さっきからわたしの大きな胸ばかり見ているな？気になるか？,你從剛才就盯著我的大胸部看。你喜歡大胸部的女人嗎？
わたしは肉弾戦も得意だが、こういう夜の技も得意だ。ほら、胸で挟んで気持ちよくしてやろう。,我雖然擅長肉搏戰鬥，但也擅長夜晚用的技巧。乾脆就用胸部夾你好了。
どうした？挟まれただけでもうイきそうなのか？たかが胸相手にその弱さ。女の胸がよっぽど好きなのだな。ククク❤,怎麼了？被夾就想射了嗎？這只是胸部而已，你也太弱了吧。就這麼喜歡女人的胸部？嗯哼哼。
戦う上では邪魔になるこの胸だが、パイズリの上手さを褒められることが存外多くてな。お前も挟んでやろうか？,這對在戰鬥中礙事的大胸部，常常在乳交的時候被稱讚。你也要不要也試看看？
ふふ、この話をすると男はすぐ期待した目をする。特にお前みたいな、女の胸に目がない男はイチコロだ。,嗯哼哼，我一講這話男人都會馬上露出期待的眼神。特別是像你這種只會看女人胸部的男人更是一擊就沉。
ほら、いくぞ、思いっきり谷間で締め付けてやる。挟んですぐにもらすなよ？,躺好，我要用乳溝緊緊夾死你。但別給我一夾就射。
お前、女の胸が好きだろう？さっきから視線でバレバレだ。,你啊，喜歡女人的胸部吧？你那視線非常明顯呢。
ほら、こうやっておっぱいを手で揺らせば…。ふふ、戦いのことなんてどうでもよくなってしまうよな？,你看我這樣用手捧著胸部並且搖晃起來……。嗯哼哼，你就馬上覺得戰鬥怎樣都好了呢。
お前が見とれているおかげで、簡単に捕獲できた。さあ、イクまでじっとしていろ。たっぷりわたしの胸で気持ちよくしてやる。,多虧你看我看傻眼，才讓我簡單得拘束你。你就這樣發呆到射吧。我會用我的大胸部來讓你舒服。
ふふ、この話をすると男はすぐ期待した目をする。ほら、いくぞ、挟んですぐにもらすなよ？,哼，我這樣講男人都馬上露出期待的神情。躺好，別給我一夾就射。
お前の勃起しているソレを胸で挟んでやろう。ほら…。,用我的大胸部夾住勃起的那根東西。躺好……。
どうだ？締め付けが強いから、乳の感触がたまらないだろ？この状態で上下に激しく動かせばどうなるか。ふふ、せいぜい楽しむといい。,感覺怎麼樣？我加強壓緊的力量的話，對乳房的觸感也會更明確吧？接下來我就在這狀態上下移動。嗯哼哼，你就好好享受就是。
くく、試験の最中だというのにお前は何を言っているんだ？\nわたしに気持ちよくしてくれと頼むなど、\n降参宣言も同義じゃないか❤,嗯哼哼，在考核中說什麼呢？\n拜託我讓你舒服，\n不就是投降的意思嗎。
マスターがその有様では、昇格など夢のまた夢❤\nお前のようなやつを上のランクにあげたら、\nサキュバスの餌食になるだけだからな❤,如果玩家是這副德行，升階根本只是妄想。\n讓你這種東西升階只剩增加魅魔的食物而已。
ほら、お前がさっきから見ているわたしの胸を使って\nさっさと試合を終わらせてやろう❤\nせいぜい気持ちよく負けてしまえ❤軟弱者が❤,我知道了，就用你從剛才開始就一直盯著看的胸部幫你做。\n讓我立刻結束這場對戰。\n你會舒服的敗北，軟腳蝦。
ほら、お前がさっきから見ているわたしの胸を使って\nさっさと終わらせてやろう❤\nせいぜい気持ちよく負けてしまえ❤軟弱者が❤,我就用你從剛才開始就一直盯著看的這對胸部幫你做。\n趕快結束吧。\n讓你舒服的敗北，弱者。
ふ、ベルトで締め付けながらのパイズリは気持ちよかったか？\n谷間の中でぎゅうぎゅう締められながらチンポを痙攣させて、\nずいぶん幸せそうな顔だな。ククク❤,嗯？被皮帶勒紧同時被乳交的感覺很舒服嗎？\n我可以感覺到在乳溝中的陰莖在痙攣，\n但你卻一臉很幸福的樣子。哼哼哼。
あっ、ああっ・・・。,啊、啊啊……。
ふふ、もう降参か？わたしの胸を見ながら夢中でしごき始めて、恥ずかしいやつだな。,嗯？要投降了？愛上我的胸部然後開始自慰，真是無恥的傢伙。
なぜか知らないが男というやつは、この大きな脂肪の塊が気になって仕方がないようだ。,不知道為什麼男人這種生物，都特別喜歡這種巨大的脂肪呢。
ベルトでぎゅっと締めているこのおっぱい❤。こうやって谷間を締めているとパイズリをしたときの乳圧が強くなって、楽に男をイかせられるんだ。,這對在皮帶下彈動的胸部，用力朝內緊縮，就可以讓男人舒服的射了。
オナニーなどせずにまともに戦っていれば、パイズリで果てることもできただろうに❤,就算你不自慰認真戰鬥，也只會在我的乳交下敗北吧。
ほら、かわいそうなお前にパイズリのまねごとをしてやろう。胸を揺らすから好きなだけ見ろ❤変態❤,那麼，我就在可悲的你面前做假乳交吧。盡情看我的乳搖吧，變態。
ああっ、すごい、ゆさゆさ揺れてぇっ…。,啊啊、好厲害、晃得好棒……。
ククク❤女の前でひざまずいて必死におっぱいを目で追っている。滑稽な姿だな。,嗯哼哼，在女人面前發抖眼睛拼命的追著奶子。真是可笑啊。
さあ、胸が揺れる早さに合わせてしごくといい。最初はおっぱいを味わせるようにゆっくり大きく動かしてやる…。,接著，我乳搖的速度加快，你手淫速度也要跟著變快。我一開始會像是為了要讓你慢慢體驗胸部的觸感而緩慢大幅度的動……。
そしてある程度高まってきたら、次は胸をぎゅっと押しつぶして細かく早く…❤,然後你興奮到一定程度後，胸部會緊緊壓迫你，以快速短促的方式擺動……。
あひぃっ…❤,阿咿……。
もう出るのか？そうか、それならさっさと果てろ。,要射了嗎？這樣啊，那你就射吧。
わたしにエナジーを差し出せ。空想のパイズリで谷間に無駄打ちしてしまえ、この変態❤,對我獻上能量。在妄想的乳交中對想像的乳溝內射出來，你這變態。
ふふっ、たくさん出したな。エナジーがたっぷり溶けていてなかなかに美味だ。,嗯哼哼，射了好多出來。內涵豐富的能量相當美味呢。
今回もまたオナニーで自爆か。試験に合格したくて来ているのか、わたしの胸に負けたくて来ているのか、分からんなこれでは。ククク❤,你這次也在自慰中自爆了呢。我已經搞不清楚你是為了通過考核而來的，還是為了敗給我的胸部而來了呢。哼哼哼。
試験のことなど忘れて自分から谷間に射精。胸に弱いお前には昇格は厳しいかもしれんな。ククク❤,把考核的事情忘光自己在我乳溝中射精。對胸部沒抵抗力的你來說升階似乎根本不可能呢。哼哼哼。
仲間を見捨てての裏切りオナニー。どうだ満足したか？そのとろけ顔を見る限り、聞くまでもなさそうだな。ククク❤,拋棄同伴的背叛自慰感覺如何？非常滿足嗎？看你那副發情臉，似乎不用聽你回答了呢。哼哼哼。
ふふ、どうしたお前も降参か？わたしの胸を見ながら夢中でしごき始めるやつらばかりじゃないか。恥さらしめ。,哼哼，怎麼你也要投降嗎？都盡是些看見我的胸部就想自慰的傢伙呢。真是不知羞恥。
ククク、バカにされているのに視線はおっぱいに釘付けとは。なぜか知らないが男というやつは、この大きな脂肪の塊が気になって仕方がないらしいな。,哼哼哼，被罵了反而視線更加盯著奶子看。不知道為什麼，男人都很喜歡這種巨大脂肪呢。
ベルトでぎゅっと締めているこの巨乳❤こうやって谷間を締めているとパイズリをしたときの乳圧が強くなって、楽に男をイかせられるんだ。,看我這個被皮帶舉起來的巨乳，我只要把這對巨乳向內擠壓，就能輕易讓男人爽喔。
そしてある程度高まってきたら、次は一気に絶頂に持っていくように、胸をむぎゅっと押しつぶして細かく早く…❤,然後等你興奮到一定程度，我就快速而短暫激烈甩動讓你一口氣達到高潮。
もう出るのか？揃いそろって早漏だな。ほら、それならさっさと果てろ。,要射了？你們全部都早洩啊。那麼就趕快射吧。
今回もまたオナニーで自爆か。試験に合格したくて来ているのか、わたしの胸に負けたくて来ているのか、これでは分からんな。変態め❤,你這次也在自慰中自爆了。已經搞不懂你是為了通過考核而來還是為了敗給我的胸部而來了，真是變態呢。
モンスターに続いてマスターまで自滅するとは。試験のことなどおっぱいで忘れてしまったか？胸に弱いお前には昇格は厳しいかもしれんな。ククク❤,繼怪獸卡之後這次是玩家自己來自爆了嗎？只要有奶子就可以不管考核了？看來對於喜歡胸部的你來說升階還是太難了吧，哼哼哼。
仲間を見捨てての裏切りオナニー。他の連中も自分で自分をなぐさめるか？オカズぐらいなら提供してやるぞ❤ククク❤,這可是拋棄同伴的背叛自慰喔。其他人要不要也來試看看？如果需要胸部的話我可以提供喔，哼哼哼。
くっ…。なかなか、やるじゃないか。このままじゃ負けてしまうな…。,咕……。還挺厲害的嘛。這樣子我就要輸了……。
だが、お前はそれでいいのか？元気よく勃起したソレは、そのままになってしまうぞ？,但是你這樣子可以嗎？你那根好動勃起的東西，放著他不管真的好嗎？
わたしとしては、勃起したままお預けなんてことはせずに、気持ちよくイかせてやりたいんだがな。,我覺得只有勃起不射精很難受，想讓他舒服射出來呢。
例えば、この胸の間にソレを挟んで、何度も上下に揺さぶったり…❤,例如說，我可以用這對胸部夾住那根，然後不斷上下搖擺……。
望むなら思いっきり挟み込んで乳圧も味合わせてやる。この谷間で扱かれるのは最高に気持ちいいぞ❤,如果你想要的話我可以緊緊壓住讓你感受乳房的魄力。被這對胸部幹可是最高級的快感喔。
ふふ、チンポを跳ねさせているじゃないか。もう答えは決まっているみたいだな。ククク❤,哼哼，陰莖在跳動呢。看來你已經決定好答案了呢。哼哼哼。
くっ、意志が固いな。無念…。,嗚、意志真堅定。可惡啊……。
それでいい。男は欲望に素直じゃないとな。,就是這樣。男人就該服從自己的慾望。
さあ、そこに横になれ。優しく挟みこんでやる。,給我躺好。我會溫柔夾住你。
はひぃっ…❤,哈咿……。
どうだ？ベルトで締め付けているから手を使わなくても中々の乳圧だろう？,感覺怎麼樣？皮帶已經勒得很緊，就算不用手也十分有壓迫感對吧？
手でぐりぐりとおっぱいを押し付けてやれば、たいていの男は泣いて喜ぶ。だが、ここは体だけ使ってイかせてやることにしよう❤ほらっ、体を上下に揺さぶれば…❤,如果我還會用手輔助壓迫的話，男人還會爽到哭喔。但是我現在會只用身體讓你射。就像這樣上下擺動身體……。
はああっ、きもちいいっ…❤,哈啊啊、好舒服喔……。
ふふ、ゆさゆさと跳ねるおっぱいの波、気持ちいいだろう？快楽で脳がとろけるというのはこういう感覚を言うのだ。,哼哼，上下跳動的胸部讓你很爽對吧？所謂快感讓腦袋發情就是這種感覺喔。
