default
パトラ,Patra
F16_hipJob,
闘技場に挑戦する(必要ランクポイント:{$needPoint}),Challenge the Arena (Required Rank Points: {$needPoint})
今はやめておく,Not right now
体術にすぐれた蛇使いのカードマスター。現在ＤランクだがＣランク昇格も近いと言われている。能力が高い蛇モンスターを特殊召喚ですばやく盤面にそろえ、そこから速攻で相手を倒す戦術を得意としている。\n　基本的に誠実で真面目な性格だが、ふとした気まぐれで人の持っているものを奪いたくなる強欲さが顔を出すことがある。彼女の巧みな体術で本気で快楽を与えられれば、男の意思など軽く捻じ曲げられてしまうため、彼女との距離感には十分注意した方がよいだろう。,A cardmaster who specializes in snake monsters and martial arts. Currently D-rank but approaching promotion to C-rank. Her strategy revolves around rapidly deploying powerful snake creatures to overwhelm opponents before they can react.\nShe is generally honest and serious; though she has a greedy streak and will sometimes take things that catch her eye. In combat; her martial arts mastery allows her to pleasure men in ways that can bend them to her will. Keeping your distance is advisable when facing her.
あら、期待のルーキーくんじゃない。\n昇格おめでとう。\nさすがにわたしを倒しただけはあったわね。,Oh my; if it isn't the Promising Rookie! Congratulations on your promotion. I'd expect nothing less from someone who defeated me.
もしキャミーなんかに負けちゃったら、\nわたしショックで仕方ないわ。\nあの子普通のバトルはすごく弱いのよ。格闘とかもできないし。,If you had lost to someone like Cammy; I would have been absolutely devastated. That girl is so weak in normal battles. She can't even fight for real.
でもちゃんと、あのおっぱいの快楽に負けずに勝ち上がった。\nそれでこそ、期待のルーキーよね。\nこの先もどんどん勝ちなさいね。ちょっとだけ応援してるわ。,But you managed to advance without giving into the pleasure of her breasts. I guess that's why they call you the Promising Rookie! Keep on winning from here on out. I'm rooting for you; just a little bit.
それはさておき、ほら、バトルしましょう？\n闘技場では負けたけれど、今日は勝つわよ。\n蛇たちの力を、たっぷり味合わせてあげる❤,Anyway; hey; would you want to battle? I lost in the arena; but I know I'll win today. I'll let you thoroughly feel the power of my snakes!❤
あら、期待のルーキーくんじゃない。\n今日は街で昇格試合前の肩慣らしというところかしら。\nどう？またわたしとバトルしてみない？,Oh my; if it isn't the Promising Rookie. Are you warming up in town before your promotion match today? Then how about it? Want to battle with me again?
あなたの実力にとって、わたしはちょうどいい相手のはずよ。\nほら、カードを構えなさい。\n蛇たちの力を、たっぷり味合わせてあげる❤,I should be just the right opponent for your skill level. Come on; ready your cards. I'll let you thoroughly feel the power of my snakes!❤
あら、期待のルーキーくんじゃない。\n今日も街でバトルかしら。,Oh my; if it isn't the Promising Rookie. Battling in town again today?
あなたはわたしより格上だけれど、\n何度だって挑んでみせるわ。\n蛇ってしつこい生き物なの❤,You may be higher ranked than me; but I'll challenge you as many times as it takes. Snakes are persistent creatures; you know~❤
ほら、バトルしましょう？\n闘技場では負けたけれど、今日は勝つわよ。\n蛇たちの力を、たっぷり味合わせてあげる❤,So; shall we battle? I lost in the arena; but I'll win today for sure. I'll let you thoroughly feel the power of my snakes!❤
ふふ、またわたしとバトルしたいの？\n昇格戦を前にしてよっぽど緊張してるのね。\nいいわ、ギリギリまで調整に付き合ってあげる。,Fufu; you really want to battle with me again? You must be feeling quite nervous before your promotion match. Alright; I'll help you train until the very last minute.
あなたはわたしより格上だけれど、\nこの間はわたしの勝ちだったわね。\n今日も勝たせてもらおうかしら❤,You may be higher ranked than me; but I won last time; didn't I? I'm certain I'll claim victory again today.❤
ん？前回のようにはいかない？\nそう、あなたが蛇に絡みつかれて耐えられるか、楽しみね❤\nさあ、いくわよ❤,Hmm? It won't go like last time? I see; then I'm looking forward to seeing if you can endure being coiled by my snakes.❤ Now; here I come~❤
あら、期待のルーキーくんじゃない。\nまた昇格戦前の調整？\nでもこの間みたいに負けちゃったら逆によくないわよ❤,Oh my; if it isn't the Promising Rookie. Practicing before another promotion match? But if you lose to me like last time; that wouldn't be good for you; you know~❤
わたしに負けて、負け癖ついて、\nエッチなことにどんどん弱くなっちゃうかも❤\nふーん、それでもまた試合を挑むんだ❤,If you keep losing to me; you might develop a habit of losing; and become increasingly weak to naughty attacks.❤ Hmm; and yet you still want to challenge me?❤
いいわよ、いいバトルにしましょう❤\nやるからには全力で、蛇たちの力を、たっぷり味合わせてあげる❤,Alright; let's have a good battle.❤ I'll go all out and let you thoroughly feel the power of my snakes!❤
う・・・。強い。\nやっぱり実力が違うわね。\nありがとう、いい経験になったわ。,Ugh... You're strong. There really is quite the difference in our abilities. This fight was a good learning opportunity. Thank you.
くす❤わたしの勝ちね❤\nびゅくびゅく射精できて気持ちよかった？,*Giggle*❤ Guess I won; huh?❤ Did it feel good to ejaculate so intensely?
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,You haven't reached the rank points required to challenge (Current rank points: {ランクポイント}).
{主人公}さん、こんにちは。今日は応援に来ちゃいました！\nここまでの連勝おめでとうございます。,Why hello; {主人公}. I thought I would come by and cheer you on today! Congratulations on your winning streak so far; by the way.
・・・・！,....!
闘技場での試合は順調なようですね。\nこの間までFランクだったのにすごいです！,You seem to be doing well in your arena matches. It's amazing to think you were only F-rank not too long ago!
そういえば{主人公}さんは、\nもうCランク昇格に十分なポイントが貯まっていますよね？,By the way; {主人公}; you've already accumulated enough points for a C-rank promotion; right?
それなら今日の試合でもし勝てば、\nCランク昇格戦に挑戦できるようになりますよ！,If you win today's match; you'll be able to challenge the C-rank promotion battle!
ランクポイントが十分に貯まった選手同士で試合をし、\n勝った人だけが上のランクへの挑戦権を得る仕組みなんです。,Our system is set up in a way to ensure that only players who have accumulated enough rank points compete against each other; and only the winner gets the right to challenge for a higher rank.
逆に言えば今日の試合相手の人も昇格戦間近ということ。\nDランクの強者同士、厳しい試合になると思いますが、\n{主人公}さん、頑張ってください！応援してます！,Conversely; that means that today's opponent is also close to promotion. It will no doubt be a tough match between two powerful D-rank masters. Even so; please do your best; {主人公}! I'll be cheering for you!
ふふ、頼もしい目をしています。気合は十分という感じですね！\n試合楽しみにしています！,Fufu; you have such a determined look in your eyes. You seem to be fully motivated! I'm looking forward to watching the match!
さあ、やってきました期待のルーキーの試合です！\nいまのところ初戦から３連勝！絶好調の{主人公}選手！,Ladies and gentlemen; let's get this match underway! Our first contender; with three consecutive wins under his belt and no defeats since his arena debut; here in top fighting form; we have the highly-anticipated rookie; {主人公}!
サキュバスに勝ったという彼の実力は本物のようです、\n今回もその力を見せてくれるのか！,His skill in battle has left no doubt in his ability to face the succubi! Will he show us that power again today?
観客席にふと目を向けると、受付さんがこちらに向かって手を振っていた。応援してもらえると思うと、なんだかうれしくなって元気が湧いてくる。この試合には負けられない！,Glancing at the audience seats; I could see the receptionist waving to me. When I think about having someone here to support me; I feel somehow happy and energized. There's no way I can lose this match!
さて、そんな連勝中の彼の試合の相手はこの人、パトラ選手です！,Now; for his opponent! Here to challenge his winning streak; we have Patra!
巧みな体術と蛇のモンスターが強力に相手を攻める！\nDランクでも上位のマスターです。\nこれまでのトリッキーなマスターたちとは一味違うぞ！,She's a powerful cardmaster who utilizes both skillful martial arts and her snake-type monsters! Even as a D-rank; she stands as a top-tier master. This opponent may prove far trickier than the ones our rookie has faced before!
観客のみなさまはご存じの方も多いと思いますが、\n今日はお互いに昇格戦への挑戦を賭けた試合です！,I believe many of you in the audience are already aware; but today; both contestants are vying for a chance at a promotion match!
勝った方が昇格戦に挑むことができ、\n負けた方はランクポイントを大きく没収されてしまいます。\nカードマスターにとって大事な一勝負・・・！,The winner will get that chance; while the loser will have a significant amount of rank points deducted. This will be a crucial match for both cardmasters...!
果たして彼女の猛攻に期待のルーキーは耐えられるのでしょうか！\nCランク昇格に近づくのは誰か。今回も目が離せません！,Can the Promising Rookie withstand Patra's fierce onslaught? Who will get one step closer to that C-rank promotion? I know I say this a lot; but I just can't look away!
はじめまして。わたしはパトラ。\n強い新人が出てきたって聞いて、戦えるのを楽しみにしていたの。\n正々堂々戦いましょう。,Nice to meet you. I'm Patra. I heard a strong newcomer had emerged recently; and I've been looking forward to fighting you. Let's have a good fight; fair and square.
よろしくお願いします！,I look forward to our battle!
僕が勝ちますよ！,I'll win for sure!
元気がよくていいわね。\nいい試合ができそう。,You're full of energy; aren't you? That's wonderful. It looks like this'll be a great match.
あら、威勢がいいのね。\nわたし強い男って好きよ。あなたはどれほどかしら。,Oh; you're quite spirited; aren't you? I rather like strong men. Though; I wonder; just how strong are you?
って、ふふ。わたしの脚、気になる？,That said; fufu... Have you perhaps taken an interest in my legs?
・・・っ!,...!
動きやすいようにスリットを入れているのだけれど、\n見ちゃう人もけっこういるのよね。,The slits in my dress are only meant to make movement easier; but there are quite a few people who end up looking; you know?
あなたが望むなら、\nこの脚であなたのこと絡めとって天国見せてあげる❤,If you desire; I'd be happy to wrap my legs around you and show you heaven~❤
蛇のように絡みつく下半身、\nその快感にとろけている間にすぐ試合が終わるわ。\nふふふ❤,My lower body will entwine around yours; like a snake around its prey; and as you melt from the pleasure; the match will be over before it can even begin. Fufufu~❤
ううっ・・・・❤,Ugh...❤
まったく、昇格戦のための大事な試合だっていうのに、男ってダメね❤,Honestly; even in such an important match for promotion; men are still so hopeless; aren't they?❤
さあ試合をはじめましょ。\n軽くあしらってあげる❤,Let's start the match. I'll take it easy on you~❤
わたしの蛇モンスターたちに締めあげられても、\nその闘志を保てるのかしらね？ふふふ❤,I wonder... Will you be able to maintain your fighting spirit as my snake monsters tighten around you? Fufufu~❤
決着ー！！勝者は{主人公}選手！,The match is decided! The winner is {主人公}!
パトラ選手をまさかの速攻撃破！\nDランク上位の選手すら、この新人選手を止められないのか！,He has managed to strike down Patra with a surprising swift assault! It seems even the top-tier D-rank masters can't slow this rookie down!
開始前はパトラ選手のふとももに見とれていたとは思えません。\n試合が始まればそこからは本気！\n怒涛の攻めでパトラ選手を下してしまった！,And to think; the rookie was mesmerized by Patra's thighs right before the match started. Once it had begun; however; he was nothing but serious! With a relentless attack; he managed to defeat Patra!
パトラ選手もさすがの強さ、\n{主人公}選手をあと少しまで追い詰めましたが、\n最後に勝ったのは{主人公}選手！,Patra's strength was as impressive as always; and while she pushed her opponent to his limit. in the end; it was {主人公} who emerged victorious!
期待のルーキーはDランク上位のマスターを見事打ち破りました！\nこのまま一気にCランク昇格まで行ってしまうのか！,The Promising Rookie has brilliantly toppled the top D-rank master! Fighting like this; could he truly continue this win streak all the way into C-rank?
熱いバトルのすえ、Dランク上位のマスターを見事打ち破りました！パトラ選手も一歩も譲らぬ試合でしたが、{主人公}選手、危なげなく勝利です！,After an intense battle; they brilliantly defeated the top D-rank master! Although Patra put up a fierce fight; in the end {主人公} secured a decisive victory!
ううっ、強いわね。\n快楽を使って戦うようになってから、\n男性マスターに負けたのは初めてよ。,Ugh; you're strong. This is the first time I've ever lost to a male master since I began using pleasure attacks.
ここで勝てないのなら、\nまだわたしがCランクに上がるのは先になるみたい。\nあなたの活躍を応援しているわ。,It seems like it will still be a while before I'm ready to move up to C-rank if I can't even win here. I'll be cheering for you!
闘技場Cランク昇格戦に挑戦できるようになりました。,You've become eligible to challenge for the Arena C-rank promotion match!
闘技場の勝利報酬を得た！,I earned the victory reward from the arena!
始まる前から脚にメロメロね。\nあんまりエッチな攻撃で勝つのは好きじゃないのだけれど・・・。,You're already crazy for my legs before the match has even started. I don't really like winning with overly lewd attacks; but...
そんな間抜けな顔されたらいじめたくなっちゃうわ❤\nくすくす❤,If you make such an adorable face; I can't help but want to tease you~❤ *Giggle*❤
この脚で気持ちいいことされたい？\nそんな不埒なことを考えているならあなたの負けはすぐよ。,Do you want me to pleasure you with my legs? If you're already thinking such indecent things; you're bound to lose in no time at all.
あなたの先攻ね。さあかかってきなさい。,It's your turn first. Come on; bring it on.
わたしが先攻ね。行くわよ。,I'll play first. Here I go.
カードをドロー。,Draw a card.
わたしのターン。カードをドロー。,My turn. Draw a card.
モンスターをコストにして、{使用カード}を上級召喚！,Sacrificing my monster; I'll advance summon {使用カード}!
{使用カード}を召喚！,Summon {使用カード}!
さらにもう1枚発動！,I'll play another card!
特殊召喚に成功したとき,Whenever I successfully special summon a monster
相手モンスターを破壊したとき,Whenever I destroy another monster
{&効果分岐セリフ}、{使用カード}の効果発動！自身に二回攻撃を付与！,{&効果分岐セリフ}; I can activate the effect of my {使用カード} to double its attack!
{&効果分岐セリフ}、{使用カード}の効果発動！自身に連続攻撃能力を付与！,{&効果分岐セリフ}; I can activate the effect of my {使用カード} and allow it to perform back-to-back attacks!
{&効果分岐セリフ}、{使用カード}の効果発動！相手プレイヤーに毒状態を付与するわ！,{&効果分岐セリフ}; I can activate the effect of my {使用カード} to inflict the poison status on my opponent!
{&効果分岐セリフ}、{使用カード}の効果発動！相手プレイヤーに毒をプレゼントよ。,{&効果分岐セリフ};I can activate the effect of my {使用カード} and give my opponent the gift of poison.
{&効果分岐セリフ}、{使用カード}の効果発動！自身の攻撃力を600ポイントアップ！,{&効果分岐セリフ}; I can activate the effect of my {使用カード}! Increase your attack power by 600 points!
{&効果分岐セリフ}、{使用カード}の効果発動！攻撃力がアップするわ！,{&効果分岐セリフ}; I can activate the effect of my {使用カード}! Its attack power increases!
丸のみにしてあげる。{使用カード}の効果発動！{使用カード}の攻撃力よりHPが低いモンスター1体を場から取り除くわ！,Go and swallow our enemy whole. I activate the effect of my {使用カード}! I will remove one monster from the field with HP lower than her current attack power!
ふふ、{使用カード}の効果発動！{使用カード}の攻撃力よりHPが低いモンスター1体を丸のみにするわ！,Fufu; I activate {使用カード}'s effect! She'll swallow one monster with HP lower than her attack power!
魔法カード{使用カード}を発動！\n手札から闇属性レベル４以下のモンスターを特殊召喚するわ。,I'll activate the spell card {使用カード}! It allows me to special summon a level 4 or lower Dark Attribute monster from my hand.
魔法カード{使用カード}を発動！\n手札から闇属性の下級モンスターを特殊召喚するわ。,I'll activate the spell card {使用カード}! It'll allow me to special summon a low-level Dark Attribute monster from my hand.
{使用カード}を発動！\n蛇モンスターに２回分のダメージ半減装甲を付与するわ。,Activate {使用カード}! I'll grant one of my snake monsters armor that halves the damage it takes for two turns.
守りを固めていくわよ。{使用カード}を発動！\nモンスターにダメージ半減装甲を付与するわ。,I'm going to strengthen my defense. Activate {使用カード}! I'll grant my monster damage-reducing armor.
ふふ、攻撃は通さないわ。\n手札を１枚捨てて、トラップカード、{使用カード}を発動！,Fufu; your attacks won't get through. I discard one card from my hand and activate the trap card {使用カード}!
あなたの攻撃を無効にし、\nデッキから下級の爬虫類モンスターを特殊召喚！,I'll negate your attack and special summon a low-level reptile monster from my deck!
残念、そこには罠がしかけてあるの。\n手札を１枚捨てて、トラップカード、{使用カード}を発動！,Too bad for you; I have a trap set. I discard one card from my hand and activate the trap card {使用カード}!
プレイヤーへの直接攻撃を無効にし、\nデッキからレベル４以下の爬虫類モンスター１体を特殊召喚する！,I can negate a direct attack aimed at me and special summon one level 4 or lower reptile monster from my deck!
闇属性モンスターが破壊されたとき、\n1000LPを払い、{使用カード}を発動！,When a Dark Attribute monster is destroyed; I can pay 1000 LP to activate {使用カード}!
このカードが場に残っているならば、\n２ターン後に破壊されたモンスターを復活させるわ。,If this card stays on the field for two turns; it will allow me to revive a monster from my graveyard.
ただではやられないわよ。\n闇属性モンスターが破壊されたとき、1000LP払い、\n{使用カード}を発動！,I won't go down without a fight. When a Dark Attribute monster is destroyed; I can pay 1000 LP to activate {使用カード}!
時間が来たようね。よみがえりなさい！,It seems the time has come. Rise from the dead!
魔法カードを発動！{使用カード}！,I'll activate a magic card! {使用カード}!
トラップカードを発動！{使用カード}！,I'll activate a trap card! {使用カード}!
装備魔法カード発動！{使用カード}！,I'll activate an equipment spell card! {使用カード}!
カードをセットするわ。,I'll set a card.
カードを伏せる。,I'll place a card face down.
わたしも行くわ。{防御カード}を攻撃！,My turn. I think I'll attack your {防御カード}; here I come!
わたしも攻めるわよ。{防御カード}に攻撃！,I'll attack too. {防御カード}!
わたしからもイイことしてあげる。{防御カード}を攻撃！,I'll do something nice for you as well. I'll attack {防御カード}!
快楽を味わいなさい。{防御カード}を攻撃！,Savor the pleasure of my attack; {防御カード}!
力を見せてあげなさい。{使用カード}で{防御カード}を攻撃！,Show them your strength; {使用カード}! Attack {防御カード}!
攻めるわよ。{使用カード}で{防御カード}を攻撃。,I'm going on the offensive. I'll attack your {防御カード} with {使用カード}.
行きなさい。{使用カード}で{防御カード}を攻撃。,Go ahead. {使用カード}; attack {防御カード}.
くっ、何もできないわね…。ターンエンド。,Ugh; I can't do anything... End turn.
手札が厳しい…。ターンエンド。,My hand is no good... End turn.
ターンエンドよ。,Turn end.
これで終わりね。ターンエンド,That's it for now. Turn end
ターンエンド。あなたのターンよ。,Turn end. It's your turn.
ううっ、あうう・・・❤,Ugh; ahh...❤
くすくす❤そんな意志の弱い子を復活させてどうするのかしら。\nすっかり夢心地で、心ここにあらずって顔をしてるわよ？,*Giggle*❤ What are you hoping to achieve by reviving such a weak-willed servant? He's completely lost in a dream; with a look on his face as if his mind is elsewhere; see?
エッチな攻撃？そんなのするまでもないんじゃないかしら。,A lewd attack? That's hardly necessary.
ほら、蹴りとばしてあげる。せやっ！,Here; I'll start things off with just a kick. Take that!
モンスターに喘がされて無防備ね？\nまずは小手調べ。わたしは普通に攻撃させてもらうわ。,You're completely defenseless; moaning under my monster's touch; aren't you? First; let's test how you handle this. I'll just attack you normally.
気持ちいいことのあとに痛い目にあうのを繰り返していると\n脳がおかしくなっちゃうかもしれないわね。せいやっ！,If I keep you in a cycle of feeling good and getting hurt; your brain will most likely break. Take that!
まずは小手調べ。わたしは普通に攻撃させてもらうわ。,First; let's test the waters. I'll just attack normally for now.
気持ちいいことと痛い目にあうのを繰り返していたら\n脳がおかしくなっちゃうかもしれないわね。せいやっ！,If you keep going from feeling good to getting hurt; your mind should break. Here I go!
