default
フラワー,Flower
F11_bustShowAnime,
F11_paizuriWing,
村娘に化けていた下級サキュバス。キノコのカードを好んで使う。純真そうな見た目でありながら、相手の能力を下げて無力化し一方的にいたぶるのが好きというサディスティックな一面を持つ。胸が体格の割に大きく、パイズリが得意。,A lower-class succubus disguised as a villager girl. Prefers to use mushroom cards. She might look innocent; but holds a sadistic side that enjoys lowering her opponent’s abilities and bully them one-sidedly. She has quite the big breast and is skilled in titjobs.
下級サキュバスとして一見平凡な能力に見えるが魔力を隠すのが得意であり、たいていのカードマスターには見抜かれない擬装ができる。エルルは魔力観察については上位ランクのマスター並みの実力があるため、今回は擬装がバレてしまった。もし何も気が付かなければ、完全に油断したところをいつの間にかキノコの力で弱体化させられて、一方的に精を搾り取られてしまっていただろう。,Although her abilities might seem average for a lower-class succubus; she’s skilled at hiding her own magical power that your average cardmasters cannot see through. She was exposed by Eruru because she had magic observation skill on par with a high-ranked cardmaster. If she hadn’t been exposed; she would’ve weakened them while they were unaware and drained their energy one-sidedly.
村娘に化けていた下級サキュバス。キノコのカードを好んで使う。純真そうな見た目でありながら、相手の能力を下げて無力化し一方的にいたぶるのが好きというサディスティックな一面を持つ。胸が体格の割に大きく、パイズリが得意。\n下級サキュバスとして一見平凡な能力に見えるが魔力を隠すのが得意であり、たいていのカードマスターには見抜かれない擬装ができる。エルルは魔力観察については上位ランクのマスター並みの実力があるため、今回は擬装がバレてしまった。もし何も気が付かなければ、完全に油断したところをいつの間にかキノコの力で弱体化させられて、一方的に精を搾り取られてしまっていただろう。,A lower-class succubus disguised as a villager girl. Prefers to use mushroom cards. She might look innocent; but holds a sadistic side that enjoys lowering her opponent’s abilities and bully them one-sidedly. She has quite the big breast and is skilled in titjobs. Although her abilities might seem average for a lower-class succubus; she’s skilled at hiding her own magical power that your average cardmasters cannot see through. She was exposed by Eruru because she had magic observation skill on par with a high-ranked cardmaster. If she hadn’t been exposed; she would’ve weakened them while they were unaware and drained their energy one-sidedly.
導入イベントをスキップしますか？,Do you want to skip the introduction?
OPイベントをスキップしますか？,Do you want to skip the opening event?
ランクポイントが貯まった僕は、ランクアップのために再びギルドの建物を訪れていた。,I’ve finally gathered enough rank points and; once again; I came to the guild.
新人マスターさん、ギルドへようこそ！\nお元気そうですね。,Welcome to the guild; Newbie! You seem lively today!
もうランクアップ試験ですか？\nこの短い期間で、さすがです！,You want to take the rank-up exam? It hasn’t even been that long; impressive!
Dランクの昇格に来ました。,I came to be promoted to D-rank.
EランクからDランクに昇格するためには、\nクエストを１つクリアしてもらうのが条件です。,The requirement to increase your rank from E-rank to D-rank is to clear 1 quest.
ちょうどあなた宛てに依頼が届いているので、\n今回はそれをこなしてもらうことにしましょう。,It just so happens that a quest had just arrived asking for you; so this time we’ll have you handle it.
クエストの内容は\n「街付近に現れたサキュバスの調査」です。,The details of the quest is “To investigate about the succubus appearance near the town”.
そのサキュバスって…。,Is this succubus; the one I...
はい。あなたが街の近くで出会ったというサキュバスですね。\n衛兵へ報告いただきありがとうございました。\nそのときの報告がギルドにも上がってきています。,Correct; it’s about the succubus you encountered near the town. We’re thankful that you reported it to the guards and that report has been sent to the guild.
情報を見る限り下級のサキュバスのようですが…。\n普段この辺りにサキュバスは現れませんし、出現したのがたとえ下級サキュバスであったとしても注意すべき事態であるとギルドは考えます。,Based on that information; it seems to be a lower-class succubus... Normally; succubi don’t appear around the town which is why the guild considers this a matter of high importance even if it’s involving lower-class succubus.
そこで、目撃者であるあなたに、\nこの件のくわしい調査をお願いしたいわけです。,And that’s why we are asking you; a first-hand eyewitness familiar with the case in question; to investigate about the succubus appearance.
なるほど。,Understood.
とはいえ新人マスターさんはまだ調査などは不慣れでしょうから、\n今回はパートナーをつけさせてもらいますね。,That being said; a newbie cardmaster might not be familiar with how to do investigations. That’s why we brought you a partner to help.
そう言うと受付のお姉さんは、部屋の奥の方を見て手招きをした。,As the receptionist lady says that; she gave a signal to someone inside the room.
こんにちは。わたしはエルル。\nDランクのカードマスターよ。はじめまして。,Hello; I’m Eruru. A D-rank cardmaster. Good to meet you.
あなたは、まだこの街に来たばかりでしょう？\nカードも初心者なんだっけ？,Didn’t you just come to this town recently? And you’re a newbie cardmaster too?
ふむふむ。なるほど。修行は長くやってきたけど、\n実戦経験はあまりない感じなのね。\nわかったわ。,Hmm; I see. You’ve been training for a long time, but you don’t have much actual combat experience.
まあ、FランクからDランクに\nあっという間に上がってきているんだし、実力は間違いなさそうね。\n期待してるわ。,Well; if you got from F-rank to D-rank in such a short time then I’m sure you’ve got the strength to back it up. I’m expecting a lot from you.
それで、わたしは魔力の痕跡を調査したり\n偵察任務を行うのが専門分野なの。,You see; I specialize in investigating traces of magical power and carrying out reconnaissance missions.
今回のクエストでは、君が戦ったっていうサキュバスのことを\nわたしの能力で調べようってわけ。わかった？,For this quest; I’ll be using my abilities to investigate more about that succubus you fought. Got it?
こんにちは。わたしはエルル。\nDランクのカードマスターよ。って、あら…。,Hello; I’m Eruru. A D-rank cardmaster. Good to meet... wait...
あなた、わたしと何回か戦ったことがあるわね。\n覚えている？ほら…❤,We’ve fought multiple times before; no? Don’t you remember me? Hora...❤
エルルはにやにやした顔で、手でわっかを作り、からかうように上下に動かして見せつけてきた。,Eruru has a big grin on her face as she makes a ring with her hand and teased me by moving it up and down.
うふふ。わたしの手コキでイかされちゃってた子が、\nもうＤランクに挑戦かぁ…。\nずいぶんと頑張ったじゃない♪,Ufufu; the kid who came from my handjob is now about to try getting D-rank... You must’ve worked so hard～♪
