default
生意気キャロル,輕挑的卡蘿兒
盗みが得意な女の子。胸をわざとらしく揺らしながら歩いて男性の視線を誘導し、その隙にポケットから大事なものを盗んでいく。,擅長偷竊的女孩子。會利用乳搖來誘導男性的視線，並趁機從對方口袋中偷走對方重要的東西。
[1].胸で快楽攻撃をしたとき相手に「おっぱいに弱い」を付与する。\n[2].プレイヤーの弱点に攻撃したとき発動する。相手のデッキの一番上のカードを奪って自分の手札に加える。,交戰時如果以乳交攻擊則會賦予對方「胸部弱點」。\n此卡攻擊到對方玩家弱點時發動。將對方玩家牌組最上方的卡加入自己手牌。
わたしの大きいおっぱいで気持ちよくなっちゃう？\nほら、こんな風におっぱいで挟んで…❤,想不想用人家的大奶子來爽啊？\n就是這樣這樣用奶子夾你……。
むぎゅーってしてあげれば、たまんないっしょ？\nあはは、腰浮かせちゃって、素直ー❤,這樣用力一擠之後，你就會爽到忍不住了對吧？\n啊哈哈，爽到扭動起來了，好老實喔。
わたし、おっぱいには自信あってさ、\n上級モンスター相手でもこのおっぱいで勝てちゃうことあるんだよね。,人家對自己的奶子很有自信，\n就算是要跟上級怪獸打也可以靠這對奶子贏。
ほら、服がはち切れそうなぐらいおっきいでしょ？\n谷間見る？\n見たいならたくさん見せてあげるよ。ふふふ❤,你看，這是幾乎要撐破衣服的大小對不對？\n你在看我乳溝嗎？\n想看的話我就讓你看個夠喔。嗯哼哼❤。
パイズリで気持ちよく負けさせてあげる。ほら…。,那我就讓你舒服得敗給乳交喔。嗯哼哼❤。
挟まれてズリズリされるの、気持ちいいっしょ？\nくすくす、顔がキモくなってるよ。\nそんな蕩け顔さらしちゃって、恥ずかしいんだー❤,被夾起來揉弄的感覺很舒服對吧？\n嗯哼哼❤，你的表情變好噁心喔。\n在女孩子面前露出那種爽樣不覺得丟人嗎？
そのままじっとしてなよ。\nさっさと終わらせて、谷間に中出しさせたげる❤,你就這樣繼續被幹不要動喔。\n我會馬上打倒你，讓你在我乳溝中內射出來。
チンポ、手でしごいてあげよっか。気持ちいいよ？\n,我幫你手淫雞雞吧。我的手淫很爽的喔。\n
シコシコシコって適当に上下させてるだけで、\n男ってすぐイっちゃうんだよね。\nほら、実際に体感させてあげる…❤,不過男人只要被人隨便摸幾下，\n就會馬上射了就是。\n你實際體驗一下是不是真的如何？
あは、チンポ手に捕まえられちゃったね。このままシコったげるよ。,啊哈哈，我的手抓到你雞雞了。開始手淫了喔。
ガシガシガシって激しく扱かれたい？いいよ。やったげる。ほら…❤,想要被我狠狠快速手淫嗎？好啊。幫你做。欸嘿嘿……❤。
戦いの最中なのにチンポ、ギンギンじゃん❤\nわたしの体見て、興奮しちゃった？,明明還在戰鬥中，雞雞卻硬硬的。\n是因為看見我的身體所以興奮起來了嗎？
それじゃほら、服を引っ張って谷間見せたげる❤\n見とれてるあいだに、アンタのチンポシコシコしちゃうね。\nほら、しこしこしこー❤,那麼我就拉開衣服給你看乳溝。\n然後對看到入迷的你的雞雞進行手交。\n啊哈哈，抓到了喔。
あは❤近寄ってきて何するのかと思ったら、\nチンポ気持ちよくして～って、なっさけないこと言い出した❤,啊哈哈❤，想說你靠近我要幹嘛，\n沒想到是來拜託我讓自己的雞雞爽起來的呀。
そんなに我慢できなかったわけ？\nさすがは低級ランクのマスターだね❤理性弱すぎ❤,你就這麼忍不住嗎？\n真不愧是低階級卡片玩家，理性有夠脆弱❤。
そんなに我慢できなかったわけ？\nさすがは低ランクマスターのモンスターだね❤理性弱すぎ❤,你就這麼忍不住嗎？\n真不愧是低階級卡片玩家的怪獸卡，理性有夠脆弱❤。
そんなに我慢できなかったわけ？かっこわる❤\nサキュバスに勝ったくせにわたしには負けるわけ？理性弱すぎ❤,你就這麼沒辦法忍耐嗎？好遜喔❤。\n明明打得贏魅魔卻輸給我？理性好脆弱❤。
そんなに我慢できなかったわけ？かっこわる❤\n男のモンスターなんてしょせんこんなもんか❤\nきゃははは❤理性よわーい❤,就這麼忍不住嗎？好遜喔❤。\n男的怪獸卡都是這副德性。\n呀哈哈哈哈❤，理性好弱❤。
ぷっ、バカにされてるのに「おっぱいで挟んでぇ」とか言ってるし❤\nそんなにイキたいなら抜いてあげるよ❤\nあたしのパイズリに何秒耐えられるかな～❤,嗯哼哼，在被嘲笑後大喊「請用胸部幫我夾」。\n你這麼想射就幫你做吧，\n你能在人家的乳交中撐過幾秒呢～❤。
ぷっ、バカにされてるのに「手でしごいてぇ」とか言ってるし❤\nそんなにイキたいなら抜いてあげるよ❤\nガシガシ扱かれても悲鳴あげるなよ～❤,嗯哼哼，被人嘲笑後大喊「請用手幫我弄」。\n你這麼想射就幫你做吧，\n我會狠狠幹你到不斷哀嚎求饒～❤。
ぷっ❤どんだけ飛ばしてんの？\n雑にシコられたぐらいでこんなに出して、チンポ弱すぎっしょ❤\nザーコ❤,噗❤你這是要飛多遠啊？\n我隨便弄幾下你就射這麼多，你雞雞也太弱了吧，\n廢～物❤。
あはは❤ズリズリされて全然耐えられないじゃん❤\nあたしのおっぱいヤバいぐらい気持ちよかったっしょ？\n腰抜かしてガクガク痙攣してるし。どんだけだよ❤ザーコ❤,啊哈哈❤，你被我用奶子幹之後就完全沒辦法忍耐了耶。\n我的奶子有糟糕到讓你爽到受不了嗎？\n你腿軟了躺在地上抖動呢。這到底是有多爽啊？廢～物❤。
あは、わたしのおっぱいに夢中じゃん？それならほら…。,啊哈哈，你眼睛裡面只有我的奶子對不對？那麼我就……。
デッキの一番上のカードを盗まれた！,牌組最上方的卡片被偷走了！
アンタのデッキからカードいただき。くすくす❤,收下你牌組的卡片嘍。嗯哼哼❤。
あっ、ああっ・・・。,啊、啊啊……
なになに？自分から降参しちゃうの？,怎麼了？要來投降嗎？
敵の女の子の前にやってきて、しこしこーって…。ぷぷぷ、恥ずかしすぎでしょ❤,自己走到敵對女孩子面前，然後摸雞雞給她看……❤。嗯哼哼，不會覺得很可恥嗎？
男としてプライドとかないの？それとも、プライドなんてわたしのおっぱい見てたら忘れちゃったのかな？,你沒有身為男人的尊嚴嗎？還是說看見我的奶子後就把尊嚴給忘光了呢？
ほらほら、裏切り者のアンタには、ご褒美にたくさんおっぱい揺らしてあげる❤,那好喔，就給你這個背叛者獎勵，我用力乳搖給你看。
はううっ…。,哈嗚嗚……。
あははは。しごく速度はやーい❤味方のことなんて忘れてバカみたいにオナニー。それなのに気持ちいいんだ？,啊哈哈哈。手淫速度好快喔，這是把自己同伴全忘光的愚蠢自慰耶。這種自慰很爽對不對？
いいんだよ、好きなだけおっぱい見てて。わたしにエナジーささげて回復させてくれるんだもんね。たくさんサービスしちゃう。,沒關係喔，你就盡情看我的奶子吧。向我獻上能量讓我回復吧。我會好好服務你的。
ほーら、服をめいっぱい指でおろして、谷間の絶景をプレゼント❤,你看我手指把衣服扯下來，給你看乳溝。
あ、ああっ…❤すごい…❤,啊、啊啊……好棒……。
ぷぷぷ。たかが谷間なのに、男ってほんとバカ。エナジー捧げさせてくださーいって自分からおっぱいに屈服しちゃうんだもん。,嗯哼哼。明明只是一條乳溝而已，男人真的都白癡耶。給你看這個就會屈服然後自己送能量給女孩子的奶子。
ほら、さっさと扱きなー。わたしの気分次第で、谷間サービスすぐ終わっちゃうかもよー。,好了，趕快用力幹自己到射。畢竟這個乳溝服務可是會按我的心情結束的喔。
ああっ、だめっ…。やめないでっ…❤,啊啊、不要……。拜託繼續給我看……。
あはは、みっともなさすぎでしょ。ふつう敵の前でそんなお願いしちゃう？,啊哈哈，真是有夠噁心喔。一般來說會在敵人面前說這種話嗎？
谷間でイきたいなら、さっさとイケよ。この変態マーゾ❤,想射在乳溝上的話，就趕快給我射。你這變態Ｍ男❤。
はひぃっ…❤,哈咿……。
あんっ、すごい勢い。おっぱいがどろどろじゃん。オナニーでどんだけ出すんだよ、変態❤,啊哈～，射精的勢頭好棒喔。奶子都黏黏的呢。你是想靠自慰射多少出來呀，變態❤。
ほんと谷間に何回負けるの？雑魚すぎじゃん。おっぱいマゾの変態マスター❤ぷぷっ。,我說你在乳溝前面敗北幾次呢？有夠廢的耶。你真的是變態奶子Ｍ男卡片玩家耶❤，噗呼呼。
あっという間に負けてくれてラッキーって感じ？谷間で負けてるようじゃ、この先ないよ？雑魚マスター❤くすくす❤,你是不是能馬上輸給乳溝反而覺得很幸福？但是你連乳溝都打不贏的話就誰也贏不了了喔？你這廢物玩家❤，嗯哼哼❤。
あっという間に負けてくれてラッキーって感じ？ほら、他の男もわたしでオナニーしていいんだよー？くすくす❤,能馬上輸掉很爽對不對？啊，其他男人也可以過來對著我自慰喔。嗯哼哼。
あはは。ほんとに別のやつもオナニーしはじめちゃった❤,啊哈哈。真的有別的男人過來自慰了耶。
揃いも揃って敵の女の子の前にやってきて、しこしこーって…。ぷぷぷ、恥ずかしすぎでしょ❤,就算一起上最後也只是在敵對女孩子面前自慰……。呼哈哈，你們好丟臉喔❤。
ほら…アンタにも、裏切ったご褒美にたくさんおっぱい揺らしてあげる❤これが見たかったんでしょ？,那麼……我也送背叛者的你獎勵的乳搖喔。你就是想看這個才來自慰的對吧？
あはは。しごく速度はやーい❤味方のことなんて忘れてオナニー満喫、気持ちいいねー。,啊哈哈。手淫的速度好快喔❤，把同伴全忘光的自慰好爽喔。
いいんだよ。好きなだけおっぱい見てて。だって、わたしにエナジーささげて、回復させてくれるんだもんね。いっぱいサービスしちゃう。,可以喔。我可以讓你看奶子喔。畢竟你都特地帶能量過來要幫我回復不是嗎？所以我可以服務你喔。
谷間むぎゅーって寄せて、パイズリするみたいにゆさゆさ揺らしてぇ…。スケベなチンポにセクシーアピール❤,我會擠壓乳溝，讓奶子像是在幫你乳交一樣晃動……。對你這根好色的雞雞進行誘惑❤。
馬鹿みたいに見とれちゃって、かっこわるーい❤ どんだけ間抜け面さらしているかわかってる？チンポ扱く手も超早いじゃん。,你像白癡一樣看傻了耶，好遜喔❤。你知道你現在的表情有多白癡嗎？手淫雞雞的手速度還超快。
ほらほら、どんどん扱け。谷間サービスすぐ終わっちゃうかもよー。,好好好，要快速自慰。畢竟乳溝服務說不定馬上就要結束了喔。
くすくす。みっともないセリフ。敵の前で屈服おねだりしちゃうんだ？,嗯哼哼，好遜的台詞喔。這是想在敵人面前的屈服懇求嗎？
谷間でイきたいなら、さっさとイケ。この変態マーゾ❤,想射到乳溝上的話就趕快射！你這變態Ｍ男❤。
あは、すごい勢い。谷間まで飛ばすなんてどんだけ出すんだよ、変態❤,啊哈哈，射精的勢頭好驚人。都能飛濺到乳溝上了，你這是想射多少出來啊，變態❤。
ほんと谷間に何回負けるの？雑魚すぎじゃん。おっぱいマゾの変態マスター❤ぷぷぷっ。,我說你這都輸給乳溝幾次了？太廢了吧，該叫你變態奶子Ｍ男玩家了耶❤，噗呼呼。
ほんと、おっぱいに弱い雑魚ばっかりだね。ほら、他の男もわたしでオナニーしていいんだよー？くすくす❤,真是，盡是一些對胸部沒抵抗力的廢物。其他男人也想自慰的話就趕快過來吧。嗯哼哼❤。
きゃあっ…。ううっ、けっこう強いじゃん…。,呀啊……。嗚嗚、有夠強的……。
ねえ、わたしってそんなに魅力ない？おっぱいとかとってもエロイと思うんだけどなぁ。,欸、人家就這麼沒有魅力嗎？人家覺得自己的奶子超色的耶。
ほら、さっきまでアンタが楽しんでたおっぱい。もっともっと味わいたいと思わない？,你看，這是剛才讓你爽過的奶子喔。還想再體驗對吧？
