default
酔いどれバニー,Drunk Bunnygirl
カジノで働くバニーガール。お酒が大好きでいつも持ち歩いている。お客さんにお酒をすすめるときは口移しや谷間に注いで飲ませ、そのついでにチップをねだっては酒代に当てている。快感と酔いで脳が正常な判断能力を失い、大量のチップを彼女に貢いでしまうのだという。,A bunny girl who works at a casino. She loves alcohol and always carries a bottle with her. When she offers a drink to one of her customers; she pours it into her mouth or cleavage; and offers it to her them from there. As she does; she asks for tips and uses them to pay for her drinks. They say that the pleasure and intoxication from drinking this way makes men lose their proper judgment; leading them to lavish her with massive tips.
EU50_pafupafuAnime,
はーい、お客さんにドリンクのサービスよ❤\nコップじゃなくて直接飲ませてあげる❤,Alright; time to serve our customer some drinks!❤ Instead of a glass; though; I'll let them drink off of me~❤
おっぱいでお顔をぱっふん❤\nふふ、むにゅむにゅってされて気持ちいい？,I'll press your face to my boobs~❤ Hehe; doesn't it feel nice having them squish against you?
でも早く逃げないと口の中にむりやりお酒を流し込まれちゃうわね❤\nほら・・・❤,But if you don't get away quick; I'll force the drink into your mouth~❤ Look...❤
あうっ、んぐっ・・・❤はへあっ・・・❤,Agh; ugh...❤ Hah...❤
プレイヤーは酩酊して魔法が使えなくなった!,The player got drunk and can't use magic anymore!
あはは、お酒によわいわね❤\nもうろれつが回らないでしょ？\nそんな状態でカードを使えるのかしら❤,Giggle~❤ Looks like you can't hold your liquor.❤ You can't even speak properly; can you? I wonder if you can use your cards in that state~❤
ほら、またドリンクをサービスしてあげる❤\n谷間から直接飲むの、病みつきになっちゃうでしょ❤,Here; I'll serve you another drink~❤ I'll get you addicted to drinking from between my breasts~❤
ふふ、おっぱいに顔を捕まえられたら逃げられないね❤\nまた魔法が使えなくなるかもしれないけど、\n口の中にむりやりお酒を流し込まれちゃう❤,Hehe; once your face gets caught between my breasts; you can't escape~❤ It might stop you from being able to use magic anymore; but I'll force alcohol into your mouth~❤
くうっ、あうっ❤んぐっ・・・❤,Gah; ahh...❤ Mmm...❤
はーい、またヘロヘロぼうやのできあがり❤\nおっぱいとお酒に溺れて、わけわかんないうちに負けちゃうといいわ❤,Yes! One more tipsy boy ready to go~❤ I'll let you get so lost in boobs and booze you won't even realize you've lost~❤
ってあら？チンポびくびくさせてどうしたの？\nもしかして・・・。,Oh? Why is your penis twitching? Are you maybe about to?...
あっ、らめ、でちゃうぅ・・・❤❤,Ah; no; I'm... I'm going to...❤❤
やん❤脚にどぷどぷかかってる❤\nくすくす❤おっぱいでお酒飲まされて射精しちゃったんだ～❤,Oh my! It's splashing all over my legs!❤ Giggle~❤ Looks like you got tipsy drinking from my breasts and ended up cumming~❤
体が火照って、そこにお姉さんのおっぱいの気持ちよさも加わって、\nわけわかんなくなっちゃった？\nかわいいのね、マスターくん❤,Your body's all hot from the alcohol; and with the pleasure from my breasts on top of it; you got all confused; huh? You're so cute; Master~❤
ハロー。わたしおっぱい大きいでしょ？\nこれで今からあなたのチンポ、気持ちよくしてあげる❤,Hiya! Don't you think my boobs are just massive? Starting now; I'll be using them to make you feel really good~❤
服を着たまま下からチンポを入れちゃえば、\nほら、すごい締め付けでしょ？\n張りのあるおっぱいを激しくゆさぶって、すぐ天国に送ってあげるわ❤,If you put your cock between my breasts from underneaht while I'm still wearing my shirt... See? It'll be a nice; tight squeeze. Then; I'll shake these perky breasts so hard; you'll go straight to heaven~❤
ほら、服をひっぱって隙間をあけてあげるから、\n下からあなたのチンポ、入れちゃいなさい？,Here; I'll pull the bottom of my shirt up some and make space for you; so go ahead and put your cock in; okay?
挟んだあとは、楽しい楽しいシェイクタイム❤\n上下にゆさゆさ、左右交互にずりずり❤\nイっちゃうまでたっぷり楽しませてあげる❤,After your cock's squeezed between my breasts; it's time to give them a fun shake~❤ Up and down; side to side; shake; shake; shake~❤ I'll give you loads of fun until you can't take it anymore~❤
んふ❤\nおっぱいフェチのあなたは、挟またら身動き取れなくなっちゃうみたいね❤,Hehe~❤ With a tit fetish like yours; once you're between mine; there's no escape~❤
チンポもみくちゃにされて、気持ちよさで腰砕けかしら？\nいいわよ、わたしからのサービス、存分に楽しんでいきなさい❤,I wonder; are your legs gonna give out from having your cock played with so much? That's fine. Just enjoy my service to the fullest~❤
いやん❤戦いなんてやめましょ？\nそんなことより、おっぱいで楽しんだ方が絶対に得よ❤,No; wait!❤ Let's not fight; okay? You'll get more out of my tits than doing that~❤
こうやって体をゆさぶったら、\nほら、おっぱいがばるんばるんって\nとってもエッチでしょ？,If I shake my body like this; see how my breasts bounce up and down? It's such a naughty sight, don't you think?
この上下の動きであなたのチンポ、気持ちよーく抜いてあげる❤\nだから暴れちゃいやよ❤えい❤,I'll bounce my breasts on your cock just like this and make you cum~❤ So don't struggle; okay?❤ Here we go~❤
ねえ、わたしにチップちょうだい？\nほら、おっぱいでドリンク飲ませてあげるから～❤,Hey; can you give me a tip? Come on; I'll let you drink from my breasts~❤
んふ、沢山飲んでいいわよ❤\nおっぱいのあまーい匂いに囲まれながら飲むお酒は、とってもおいしいの❤,Hehe; drink as much as you want~❤ Drinking alcohol surrounded by the sweet smell of breasts is the best~❤
メロメロになるまで、たくさんぱふぱふして\n頭のなかまっしろにしてあげる❤,I'll keep pampering you until you're completely smitten and your mind goes blank~❤
あは、自分から気持ちよくしてくださいって頼み込んじゃうんだ❤\nわたしのセクシーな格好見てたら、我慢できなくなちゃったのかしら。,Aha; you ended up begging me to make you feel good~❤ I bet my outfit was so sexy you couldn't resist.
いいわよ、エッチなぼうやくん❤\nおねえさんがおっぱいを使って、\nあなたにたっぷりサービスしてあげる❤,Alright; you naughty little boy~❤ I'll use my tits to make you feel amazing~❤
あは❤なになに？\nもしかしてチンポ射精しちゃった？,Aha~❤ What's this? Did you just cum?
ぱふぱふされて気持ちよくなって\nわたしのお腹にへこへこ～って勝手にこすりつけて、\nエナジー出しちゃったんだ❤,My puff-puff felt so good you started rubbing your dick against my stomach; and ended up shooting out your energy~❤
くすくす❤頭の中まっしろにされて\nみっともない負け方しちゃったね❤,Giggle~❤ Your mind went blank and you ended up losing in such an embarrassing way~❤
あはん❤おっぱいでズリズリしたら、\nすごい勢いで出しちゃったわね❤\nどぴゅどぴゅーって噴水みたい❤,Aha! When I rubbed my boobs against you; you ended up cumming so much.❤ It was like a fountain!❤
わたしのパイズリテク、なかなかのものだったでしょ？\nとろけ顔しちゃって、かわいい～❤くすくす❤,My paizuri technique was amazing; wasn't it? You were making such a lewd face. So cute~❤ Giggle~❤
うっ、ううっ・・・❤,Ugh; ugh...❤
わーお♪あなたには谷間でのお酌は刺激が強すぎたのかしら❤\nお酒でふらふらになりながら、\nわたしの前でシコシコ始めちゃった❤,Oh wow~♪ I guess serving you drinks from my cleavage was too much for you.❤ You're staggering from the alcohol and stroking yourself~❤
顔に押し付けられたおっぱいの感触、忘れられなかった？\nほらぁん、これがあなたをメロメロにしちゃった、\nバニーガールおっぱいよ❤あはぁーん❤,I bet you just couldn't forget the feeling of these breasts against your face. Look; these are the bunny girl breasts that you can't stop thinking about~❤ Ahh~❤
わーお♪わたしのおっぱいを見て一生懸命しごいてる❤\nバニーガールの格好は男の子には刺激が強かったかしら❤,Wow~♪ You're staring at my boobs and stroking so hard.❤ Maybe bunny girl outfits are just a little too much for a boy like you~❤
ほらぁん、これがあなたをメロメロにしちゃった、\nバニーガールおっぱいよ❤あはぁーん❤,Here; these are the bunny girl boobs that drove you wild~❤ Ahh~❤
あううっ、谷間えろすぎるぅ・・・❤,Ahh; her cleavage is so sexy...❤
うふふ❤これはお客さんに飲み物を運ぶときの悩殺ポーズなの❤\nテーブルにグラスを置く時、\nわざとらしく前かがみでだぶん♪,Giggle~❤ This is my killer pose when serving drinks to customers~❤ When I put their glass on the table; I lean forward a little extra~♪
おっぱいを揺らして、\n谷間もがっつり相手に見せつけちゃうのよ❤,Then; I shake my boobs and show off my cleavage to them~❤
ギャンブルに勝ってる相手にはさらにサービスで、\n去り際にほっぺにちゅってしてあげたり、\n肩におっぱいを乗せたりしてあげるの❤,If they're winning; I'll give them extra attention; like kissing their cheek when they're about to leave and resting my breasts on their shoulder~❤
たったこれだけの挑発で、\n男の集中力はぼろぼろ♪\nエッチなことで脳みそいっぱいになって、ギャンブルも勝てなくなっちゃう。,With just this little bit of teasing; a man's concentration falls apart~♪ His mind gets filled with naughty thoughts; and he can't even win at gambling anymore.
ま、あなたの場合、\n集中力をなくすどころじゃなくて、\nシコシコオナニー始めちゃったけど❤,Though; in your case; you didn't just lose your focus. You started jerking off; too~❤
男ってほんと我慢ができないのね。\nくすくす❤,Men really have no self-control. Giggle~❤
ふふ、笑われてシゴくの早くなっちゃった。\nそうそう、あなたみたいにマゾっ気のある人も多いの。,Giggle~❤ When I laughed at you; you started stroking faster. It's alright; there are plenty of people with masochistic tendencies just like you.
おっぱいで集中乱されて、\nそれでどんどんチップを奪われてるのに、\n奪われることに興奮しちゃう、ちょろーいお客様❤,Even though your losing more and more money tipping me; you're so distracted by my breasts you're get excited about paying me—such an easy customer~❤
そんなお客様は、おっぱい見せなくても、\n横でくすくす笑ってあげるだけで\n簡単に思い通りになるのよ❤,Customers like that don't even need me to show them my breasts. Just giggling next to them is enough to get what I want~❤
あなたもきっとそうね。\n谷間を両手で隠して、\nにやにやした顔で見ててあげるだけで、ほら、気持ちよくなっちゃう❤,You must feel the same way. Just by covering my cleavage with both hands and watching with a smirk... See? Doesn't that feel good?❤
あっ、あっ、もう出るっ❤ううっ・・・❤,Ah; ah; I'm about to come~❤ Ugh...❤
ぷっ、くすくす❤\nこのままほっといても射精しちゃうでしょうけど、\nわざわざ負けに来てくれたご褒美をあげる❤,Pfft; hehe~❤ Even if I just leave you like this; you'll probably end up cumming anyways; but I'll give you a reward for coming all this way just to lose~❤
ほらぁ、顔のすぐそばにおっぱいを寄せて、\nはぁい、谷間の上の手をどけてあげるわ❤,Here; I'll bring my boobs nice and close to your face; and I'll move my hand away from my cleavage for you~❤
爆乳おっぱいをその目に焼き付けてイキなさい❤\nあはぁ～ん❤,Burn those big breasts into your mind and cum~❤ Ahh~❤
はぐぅぅ…❤おっぱいぃ…❤❤,Ugh...❤ Boobs... Your boobs...❤❤
あん❤どぴゅどぴゅってすごい勢いで出してる❤\nおっぱいめがけてこんなに出して、\n勝負を捨ててのシコシコオナニーよっぽど気持ちよかったみたいね❤,Oh my~❤ You're cumming so hard and covering my breasts~❤ Even if it means losing the battle; it seems you really enjoyed jerking off to my boobs~❤
わたしの谷間サービスは満足いただけたかしら❤お客様❤\nチップをいっぱいくれるならまたいつでもしてあげるわよ。うふふ❤,I hope you were satisfied with my cleavage service; dear customer~❤ If you give me a big tip; I'll happily do it for you again anytime. Giggle~❤
くすくす❤なぁに？\nあなたもわたしのおっぱいにメロメロになっちゃったの？\n谷間見ながら、しこしこ、しこしこ❤かっこわる～い❤,Giggle~❤ What's this? Have you fallen for my boobs; too?  You're looking at my cleavage; stroking and stroking~❤ So uncool~❤
ほらぁん、これがあなたをメロメロにしちゃった、バニーガールおっぱいよ❤\n勝負を捨てれたご褒美に、好きなだけ見なさい❤あはぁーん❤,Here; these are the bunny girl boobs that made you go crazy.❤ As a reward for giving up; I'll let you look as much as you want~❤ Ahh~❤
ほらぁん、これがあなたをメロメロにしちゃった、バニーガールおっぱいよ❤\n仲間を裏切ったご褒美に、好きなだけ見なさい❤あはぁーん❤,Here; these are the bunny girl boobs that made you go crazy~❤ As a reward for betraying your friends; I'll let you look at them as much as you want~❤ Ahh~❤
うふふ❤これはお客さんをお出迎えするときのポーズなの❤\nずらって出入り口に並んで、\nバニーガールみんなでいらっしゃいませのお辞儀❤,Giggle~❤ This is the pose we use to greet our customers~❤ All us bunny girls line all up at the entrance; bow; and say "Welcome" together~❤
今日は勝つぞーって気合入れてきたお客さんを、\n一発でエッチな思考に誘導しちゃうの❤\n巨乳がばるんっていっせいに揺れて、絶景なのよ。うふふふ❤,Today's guest came in all fired up to win; but I'll turn their thoughts dirty with just one move. My big boobs will bounce and jiggle like crazy; giving them a spectacular view. Ufufufu❤
それでも頑張って集中して、\nギャンブルに勝っちゃう困ったお客さんもいるわ。\nそんなときは追加のサービス♪,There are some customers who manage to concentrate real hard and keep winning. In cases like that; we offer some additional services~♪
去り際にほっぺにちゅってしてあげたり、\n肩におっぱいを乗せたり、\n横でいっぱい「すご～い」ってささやいてあげるの❤,I'll give them a kiss on the cheek when they're about to leave; rest my breasts on their shoulder; and whisper "wow; you're so amazing" in your ear a lot.❤
たったこれだけの挑発で、\n男の集中力ってぼろぼろになっちゃうの❤\nエッチなことで脳みそいっぱいになって、全然勝てなくなっちゃう。,With just this little bit of teasing; a man's concentration falls apart~❤ His mind gets filled with naughty thoughts; and he can't win at all.
ま、あなたの場合、\n集中力をなくすどころじゃなくて、\nシコシコオナニー始めちゃったけど❤くすくす❤,Though; in your case; you didn't lose your focus. You started jerking off instead~❤
ふふ、今の話聞いて、シゴくの早くなっちゃった。\n手の平で踊らされるの想像して興奮しちゃった？\nそうそう、あなたみたいにマゾっ気のある人も多いの。,Giggle~ Looks like hearing that story made me speed up. Did the thought of dancing in the palm of my hand get you excited? It's alright; there are plenty of people with masochistic tendencies just like you.
さっきの人もそうだったわね。\n谷間を見えないようにされて、ただ見下されてるだけなのに、\nしこしこ、しこしこ、全然やめられない❤,The customer from earlier was like that too. Even though I had covered my cleavage so he couldn't see; he just kept stroking and stroking~❤
あなたはどう？しこしこするのやめられる？\nほらぁ、わたしにすっごく馬鹿にされてるよ？\nあ～ん、かっこわるーい❤おっぱいに負けて、理性よわーい❤,What about you? Can you stop stroking? You know I'm making a fool of you; right? Ah; so uncool~❤ Losing to my breasts... Your self-control is so weak~❤ 
ぷっ、くすくす❤\n逆にしごくの早くなっちゃうわね❤\n分かってる分かってる、マゾってみんなそうだもの❤,Pfft; hehe~❤ It's actually making you go faster~❤ It's alright; that's how all you masochists are~❤
えろぉい格好した女の子には逆らえない❤\n理性がよわくて、とってもちょろーい雑魚男❤\nそれがマゾだものねー❤くすくす❤,You can't resist girls dressed in sexy outfits~❤ Your so weak-willed and such an easy target; a total loser of a guy~❤ That's what being a masochist is all about; after all~❤ Giggle~❤
ふふ、このままほっといても射精しちゃうでしょうけど、\nあなたにもちゃんと、\nわざわざ負けに来てくれたご褒美をあげる❤,Hehe;  even if I just leave you like this; you'll probably end up cumming anyways; but I'll give you a reward for coming all this way just to lose~❤
これが見たかったんでしょ？\n顔のすぐそばにおっぱいを寄せて、\nはぁい、空中でぱふぱふぱふ～❤,This is what you wanted to see; right? I'll bring my breasts close to your face; and give the air a nice little puff-puff~❤
顔に触れるギリギリのところでエアぱふぱふ❤\n爆乳おっぱいをその目に焼き付けてイキなさい❤\nあはぁ～ん❤,See? I'm almost touching your face. Puff-puff~❤ Burn those big breasts into your mind and cum~❤ Ahh~❤
うふふ❤どぴゅどぴゅってすごい勢いで出してる❤,Giggle~❤ You're cumming so hard~❤
おっぱいめがけてこんなに出して、\n勝負を捨ててのシコシコオナニーよっぽど気持ちよかったみたいね。\nおいしいエナジーをありがと、マゾ男くん❤,Oh wow; you really covered my breasts. Even if it means losing the battle; it seems you really enjoyed jerking off to my boobs~❤. Thanks for the delicious energy; masochist boy~❤
やぁん、お客さんはげしい❤\nそんなに乱暴にされたら、\nわたしこわれちゃう❤,Geez; you're so rough; customer~❤ If you keep treating me like that; I'll break~❤
あん❤ああぁん❤やめてぇ❤\nパンパンってされたら、\nわたしイっちゃう～❤,Ahh~❤ Ahh~❤ Stop it~❤ If you keep hitting me; I'm going to die~❤
え？そんな声を出すなって？\n真面目に戦ってるんだって？\nくすくす❤別にいいじゃない❤,Huh? You don't want me to make those kind of noises? You're fighting seriously? Giggle~❤ It should be fine; though; right?❤
やられかけなのは本当だし、\nあとちょっと攻撃されたら、\nわたし実体を保てなくなっちゃうわ。,After all; I'm on the verge of being beaten; and if I get hit just a little more; I won't be able to maintain my physical form.
だからほらぁ、\nお姉さんのおっぱいに、あなたのチンポ、\n入れてみない？,So; hey; why don't you try putting your penis in my breasts?
パンパン、パンパンって勢いよく叩きつければ、\nわたしにダメージが入って、\nきっとわたしのこと倒せるわよ❤,If you slam into them hard enough; you'll deal damage to me; and you might just be able to take me down~❤
あはぁん、ほら見てぇ❤\nむぎゅうって寄せて、\nバニーガールの爆乳おっぱい❤,Here; look~❤ I'll squeeze my big bunny girl boobs them together for you~❤
お客さんのチンポ、この谷間に入れられたら、わたしやられちゃう～❤\nあ～ん、ガチガチのチンポこわ～い❤,If you put your penis in my cleavage; I'm going to be done for~❤ Ah; your rock-hard cock is so scary~❤
くす❤ゆさゆさ揺らしたらどんどんこっちに来ちゃう❤\n膝立ちしてお迎えしてあげる❤ほらちょうどチンポの高さだよ～❤\nそのままここまでおいで～❤,Hehe~❤ When I shake my chest; you can't help but stare. Come closer. I'll kneel down to welcome you~❤ Look; they're at the perfect height for you dick~❤ That's right. Come over here just like that~❤
悪いおねえさんをチンポで退治してぇ❤うふ～ん❤,I want you to beat this bad bunny girl with your penis~❤ Fufufu~❤
誘惑を振り払って攻撃した,I shook off the temptation and attacked
谷間に突き入れてしまった,I plunged myself deep into her cleavage
きゃうん！ううっ、気持ちいいことしちゃえばいいのに…。,Kyaah! Ugh; I wish you'd just let me make you feel good...
あ、ああ・・・❤倒す・・・❤そう倒すためだから・・・❤,Ah; ah...❤ To defeat...❤ Yes; it's to defeat you...❤
くすくす❤おっぱいまでいらっしゃーい❤\nほらぁ、あなたのかたぁい武器を\n谷間にぴとってあてがって・・・❤,Giggle~❤ That's it. Come over to my breasts~❤ Look; press your hard weapon against my cleavage...❤
準備はできた？いいわよ、腰をぎゅって前に出して…❤\nあはぁん❤ずぷずぷって谷間に入ってくるぅ❤\nあぁん、このままじゃやられちゃーう❤,Are you ready? Alright; push your hips forward...❤ Ahh~❤ Your dick is sliding into my cleavage~❤ Ahh; at this rate; I'm done for~❤
あ、ああっ、やわらかくてぇ…❤すごいっ、きもちいいっ❤❤,Ah; ahh; it's so soft...❤ Amazing; it feels so good...❤❤
くすくす❤ほらぁ喘ぎ声出してあげるねー❤\nあん❤あん❤あん❤すごーい❤\n腰振りぱんぱん、激しい～❤かっこいい～❤あんあ～ん❤,Giggle~❤ Here; let me make you moan~❤ Ah~❤ Ah~❤ Ah~❤ Oh wow~❤ Your hips are thrusting so hard~❤ So cool~❤ Ahh~❤
もっと腰を振ってぇ❤\nおねえさんやっつけて❤\nあ～ん❤わたしおかしくなっちゃう～❤,Thrust harder~❤ Defeat the bad bunny~❤ Ah~❤ You're thrusting like crazy~❤
ぷっ、くすくす❤\nあ、ごめんなさい。あんまり間抜けな顔してるから笑っちゃって。\nあ～ん❤おっぱいやられちゃう～❤くすくすくす❤,Pfft; hehehe~❤ Ah; I'm sorry. I couldn't help but laugh. You look so silly. Ah~❤ My boobs are being attacked~❤ Giggle~❤
うぐ、このっ❤❤ああっ❤,Ugh; this is...❤❤ Ahh...❤
ふふ❤もう限界なの？\n谷間が我慢汁でどろどろ…♪\nわたしのおっぱいまんこ、とってもやわらかいものね❤,Giggle~❤ Are you already at your limit? My cleavage is all sticky with your pre-cum...♪ My breast pussy is super soft; you know~❤
とろとろでふわふわで、\nチンポにぴっとり吸い付いてきて、\n腰を突き入れるたびに、男の脳みそを蕩けさせちゃう❤,It's so soft and plush; and it clings to your penis so tightly. It makes a turns a man's brain to mush every time he thrusts~❤
あなたがどぴゅってしたら、\nせっかく追い詰めたのも台無し。\n体力回復させちゃうから、我慢しないとダメなのよ？,You know; if you cum; all the effort you put into cornering me will be wasted. You have to hold back or it'll restore my stamina.
ほらぁ、チンポ射精こらえて、\n激しく腰を振ってぇ❤\nあん❤あん❤あん♪かっこいい腰振りでわたしを倒してぇ～❤,Come on; keep yourself from finishing and thrust your hips hard~❤ Ah~❤ Ah~❤ Ah~♪ Knock me out with your super cool thrusts~❤
うぁぁ…❤あひぃ…❤も、もうむりぃ・・・❤,Ugh...❤ Ahh...❤ I can't take it anymore...❤
それじゃ最後は肘でおっぱいむぎゅってしてあげるぅ❤,Alright; then I'll use my elbows to give my breasts a big squeeze and end this~❤
まんこでチンポを締め付けるみたいに、\nおっぱいの谷間で、チンポをむぎゅむぎゅ～❤,My breasts are squeezing your penis so tight; like a pussy gripping a cock~❤
あはーん❤ほら、出す瞬間に思いっきり腰を突き出して❤\n一番奥でぜーんぶ出してぇ❤,Ahh~❤ Now; the moment you finish; thrust your hips as hard as you can~❤ Release everything deep inside my breasts~❤
あひぃっ・・❤❤,Ahh...❤❤
あん❤すごーい、谷間の上から噴き出るぐらい、\nたくさん出てる❤\nエナジーおいしい～❤,Aha~❤ Oh wow. It's amazing. You're shooting out so much it's spilling out the top~❤ Your energy is delicious~❤
ぷっ、くすくす❤おっぱいセックスごっこはどうだった？\n剣で小突けば倒せる相手に、\nチンポで挑んで返り討ちにされちゃったわね❤おばかさん❤,Pfft; hehe~❤ How was pretending to have sex with my boobs? You could have easily defeated me with a sword; but you fought with your dick and ended up losing~❤ Silly boy~❤
え？同じ手は食わないって？\n真面目に戦ってるんだって？\nくすくす❤別にいいじゃない❤,What's that? You say you won't fall for the same trick? You're fighting seriously? Giggle~❤ That's fine~❤
だからほらぁ、\nお姉さんのおっぱいに、あなたも自分のチンポ、\n入れてみない？,So; hey; why don't you try putting your penis in my breasts?
さっきの人は早漏だったからわたしを倒せなかっただけ。\nあなたのかっこいい～チンポなら、\nよわいバニーのおねえさんなんて簡単に倒せちゃう❤,The guy from earlier just came too quickly; so he couldn't take me down. But with your cool cock; you could easily take down a weak bunny girl like me~❤
あはぁ～ん、ほら見てぇ❤\nむぎゅうって寄せて、\nバニーガールの爆乳おっぱい❤,Ahn; look at this~❤ I'll squeeze my big bunny girl boobs together~❤
くす❤ゆさゆさ揺らしたらどんどんこっちに来ちゃうわね❤\n膝立ちしてお迎えしてあげる、ほらちょうどチンポの高さだよ～❤\nそのままここまでおいで～❤,Hehe~❤ When I shake my chest; you can't help but stare. Come closer. I'll kneel down to welcome you~❤ Look; they're at the perfect height for you dick~❤
きゃ、同じ手は食わないって？\n待って待って、それならほら・・・❤,Eek; you won't fall for the same trick? Wait; wait; then here...❤
あはぁん❤ぜーんぶ脱いじゃった❤,Ahh~❤ I took off all my clothes~❤
わたしのおっぱい見てぇ❤\nとってもエロいでしょ？\nほらぁ、ゆさゆさゆさってパイズリするみたいに揺らしてあげる❤,Look at my breasts~❤ Aren't they super sexy? Here; I'll shake them like a I'm giving you a paizuri~❤
ここにチンポ入れてぇ❤\nわたしのこと、いっぱいズポズポしてぇ❤\nあ～ん❤,Please; just put your penis in here~❤ Thrust it into me a over and over~❤ Ah~❤
