default
死をふりまくもの,散佈死亡者
[1].このカードが場に出たとき発動する。「ゾンビ」状態でないランダムな相手キャラクターに「ゾンビ」状態を付与する。\n[2].自分の闇属性キャラクターが相手モンスターを破壊したとき発動する。デッキから「{%%10053}」を１枚手札に加える。,[1].這張卡出場時發動。隨機對一個沒有「殭屍」狀態的對手角色賦予「殭屍」狀態。\n[2].當自己的闇屬性角色破壞對手怪獸時發動。從牌組將１張「{%%10053}」加入手牌。
[3].このカードが破壊され墓地へ送られたとき、手札に「{%%10053}」がいる場合に発動する。手札の「{%%10053}」を可能な限り自分フィールド上に特殊召喚する。,[3].當這張卡被破壞送往墓地且手上有「{%%10053}」的時候發動。盡可能將手上的「{%%10053}」特殊召喚到自己場上。
闇属性の妖精のモンスター。妖精だが大きさは普通の人間と変わらない。死者を現世へ導き、生者を冥界へ導く。混乱した状況が好きであり、世の中を混沌とさせて楽しむために死者と生者を本来の居場所と違う場所へ導いている。甘い声でからかいながら快楽を与えてくるが、ふらふらと誘われるまま彼女についていくと死の世界に連れていかれてしまう。,闇属性の妖精のモンスター。妖精だが大きさは普通の人間と変わらない。死者を現世へ導き、生者を冥界へ導く。混乱した状況が好きであり、世の中を混沌とさせて楽しむために死者と生者を本来の居場所と違う場所へ導いている。甘い声でからかいながら快楽を与えてくるが、ふらふらと誘われるまま彼女についていくと死の世界に連れていかれてしまう。
わたしのウイルス玉をくらえー❤,わたしのウイルス玉をくらえー❤
このもやもやには色んなウイルスが入ってるんだよ。\n死につながる病気とかもあるけど、\n今はゾンビになっちゃうやつをプレゼントしてあげる❤,このもやもやには色んなウイルスが入ってるんだよ。\n死につながる病気とかもあるけど、\n今はゾンビになっちゃうやつをプレゼントしてあげる❤
飲みにくい薬を飲ませるときみたいに、\nわたしの甘い香りがブレンドしてあるから、\n勝手に吸い込んじゃうよねー❤くすくす❤,飲みにくい薬を飲ませるときみたいに、\nわたしの甘い香りがブレンドしてあるから、\n勝手に吸い込んじゃうよねー❤くすくす❤
わたしは冥府の導きの妖精。\n死んだ人を現世に引き連れてきたらねー、\n代わりに生きてる人を死の世界に連れて行かないといけないの。,わたしは冥府の導きの妖精。\n死んだ人を現世に引き連れてきたらねー、\n代わりに生きてる人を死の世界に連れて行かないといけないの。
みんな冥府になんて行きたくないって嫌がるんだけど、\nそういうときは手をおちんちんに当てて、\n亀頭をぐりぐりぐり～ってしながら、おねがいするんだ❤,みんな冥府になんて行きたくないって嫌がるんだけど、\nそういうときは手をおちんちんに当てて、\n亀頭をぐりぐりぐり～ってしながら、おねがいするんだ❤
若い男の子が一番簡単❤\nまだまだ寿命があって長生きできたはずなのに\nみんなわたしのおねがいを聞いてくれるんだよ❤,若い男の子が一番簡単❤\nまだまだ寿命があって長生きできたはずなのに\nみんなわたしのおねがいを聞いてくれるんだよ❤
ふふ、あなたにもやってあげるねー❤\n手をぴたっておちんちんに当てて、ぐりぐりぐり～♪\nねえ、死んで死んで、おねがーい❤,ふふ、あなたにもやってあげるねー❤\n手をぴたっておちんちんに当てて、ぐりぐりぐり～♪\nねえ、死んで死んで、おねがーい❤
男ってチンポ触ってあげればすぐ負けちゃうよねー。\n片手で雑に、シコシコ♪シコシコってするだけで、\nほおら、気持ちよくて頭がとろけちゃう❤,男ってチンポ触ってあげればすぐ負けちゃうよねー。\n片手で雑に、シコシコ♪シコシコってするだけで、\nほおら、気持ちよくて頭がとろけちゃう❤
あなたが射精したら、\nエナジーぜんぶもらってあげる❤\nうりうり～♪わたしの手コキでさっさと屈服しちゃえ❤ザコチンポ❤,あなたが射精したら、\nエナジーぜんぶもらってあげる❤\nうりうり～♪わたしの手コキでさっさと屈服しちゃえ❤ザコチンポ❤
手でいじめてあげる～❤\nほら、亀頭に手をかぶせて、ぐりぐりぐり～❤,手でいじめてあげる～❤\nほら、亀頭に手をかぶせて、ぐりぐりぐり～❤
きゃはは❤変な声出しちゃっておもしろーい❤\nいっしょに竿もシコシコしてあげたらどうなるのかなぁ❤\n気持ちよすぎて、そのまま射精して死んじゃう？死んじゃう？,きゃはは❤変な声出しちゃっておもしろーい❤\nいっしょに竿もシコシコしてあげたらどうなるのかなぁ❤\n気持ちよすぎて、そのまま射精して死んじゃう？死んじゃう？
