default
カクテルフェアリー・グレープ,Cocktail Fairy - Grape
EU35_paizuri,
お酒に宿る精霊。コップの中に果物を置いて森に置いておくと、彼女たちがお酒にしてくれる。\n\n　グレープはカクテルフェアリーの中でもいたずらっ気が強く、男をからかって顔を真っ赤にさせるのが好き。お酒も飲んでないのになんでそんなに真っ赤になっているの？と耳元でささやいて、くすくすと笑いかけてくる。小さな体に興味がないと思っていても、その甘い声を耳に注ぎ込まれ、舌先でなまめかしい刺激を与えられ続ければ、脳がとろんと蕩けていつの間にか彼女の虜になってしまうだろう。,Cocktail Fairies are spirits that dwell in alcoholic beverages. When you place fruit in a cup and leave it in the forest; they will turn it into a drink for you. Among the Cocktail Fairies; Grape is known for being particularly mischievous; teasing men until their faces turn bright red. They enjoy whispering things like "why's your face so red? You haven't started drinking yet," while giggling softly and watching their targets flustered response. Even if you think you're not interested in her tiny body; if her sweet voice pours into your ears and her tongue continues to give you seductive stimulation; she'll cause your brain to melt and you'll be completely captivated by her before you know it.
[1].このカードが召喚に成功したとき発動する。デッキから同名カード以外の「カクテルフェアリー」モンスターを１枚手札に加える。,[1]. When this card is successfully summoned; add one "Cocktail Fairy" monster other than "Cocktail Fairy - Grape" from your Deck to your hand.
[2].このカードがフィールド上に存在する限り、自分のレベル３以下モンスターの攻撃力は200ポイントアップする。,[2]. As long as this card is on the field; the attack power of your level 3 or lower monsters is increased by 200 points.
[3].このカードが特殊召喚に成功したとき発動する。デッキからトラップカードををランダムに１枚手札に加える。,[3]. When this card is successfully Special Summoned; add one random trap card from your Deck to your hand.
自分からシコシコしたくなるようにいたずらしてあげる。\nあなたの耳に近づいて…❤えるえろっ…❤,I'll tease you until you want to stroke yourself silly. I'll come closer to your ear; licking and whispering to you so sweetly...❤ And so lewdly...❤
うふふ❤こそばゆい？でも気持ちいいでしょ？\n妖精だから耳のどんなところでも触れるの。\n舌でこんなに細かく耳を責められたことないわよね。,Ufufu.❤ Does it tickle? But it feels good too; right? Being a fairy; I can touch every part of your ear. I bet you've never had someone tease your ears this delicately with their tongue.
えっちな音と感触で頭の中ぼーっと蕩けさせてあげる。\nえれえるえるっ❤んっちゅ、れろー…❤,With these naughty sounds and sensations; I'll make your mind melt into bliss...❤ Slurp~ Mwah~❤
わたしの体に攻撃なんて当たらないわよ。\nほら、一気に近づいて耳舐めしながらささやいてあげる。\n好き…❤あなたのことが好き…❤いっぱい気持ちよくなってほしい…❤,I won't let any attacks touch my body. Look; I'll hurry close and whisper while licking your ear. I love you...❤ I love you so much...❤ And I want you to feel so good...❤
好きって言われると頭の中だんだんととろーんとしてくるね❤\nもっとささやいて武器を持てないぐらいメロメロにしてあげる。\nくすくす❤,When you hear me say "I love you" I bet your mind starts to feel all dizzy and melty~❤ I'll whisper more and make you so head-over-heels that you won't even be able to hold your weapon. Giggle~❤
わたしのこと捕まえられる？\n小さいから難しいでしょ。,Can you catch me? I'm small; so it won't be easy.
ほら、隙あり❤\nあなたの耳に近づいて、息をふぅー・・・❤\n気持ちいい魔力を込めた息だから、ぞわぞわしてきちゃうわよね。,Look; there's opening.❤ I'm going to get close to your ear and blow... Fuu~❤ It's a breath filled with enchanting pleasure. I'm sure it'll make you feel all tingly.
さ、わたしの言いなりになりましょう？\nシコシコ、シコシコ❤シコシコ、シコシコ❤\nそうそうえらいね。そのままオナニーして負けちゃおうね。くすくす❤,Alright; let's make you my obedient little puppet; shall we? Stroke; stroke~❤ Stroke; stroke~❤ That's right; good boy. Just keep masturbating and let yourself lose. Giggle~❤
マスターみたいに爆乳じゃないけれど、\nわたしのおっぱいだってけっこう大きいのよ。,I may not have massive boobs like my master; but my own breasts are pretty big; too!
あなたのおちんちんだって、\nほら、しっかり挟めちゃう。\nこのままパイズリしてあげる❤,Look how snuggly your cock fits between them. I'll give you a titjob just like this.❤
体は小さいけれど、おっぱいはちゃんと巨乳なの。\nほら、見てみて～❤,My body may be small; but my boobs are big and full. Look; see for yourself~❤
ふふ、目が釘付け❤\nあなた、おっぱい好きなのね。\nおっぱいに弱い人がわたしにパイズリされて耐えられるかしら❤,Fufu; your eyes are glued to them.❤ You really love boobs; don't you? I wonder if someone so weak to them can withstand my titjob.❤
ふふ、目をそらそうとしてるけど、チラチラ見ちゃってる❤\n妖精のおっぱいがどんな感触なのか気になるでしょ？\n挟んであげるから楽しんでね。えい❤,Giggle~ you're trying to look away but you keep sneaking glances.❤ You're curious about how fairy boobs feel; aren't you? I'll let you experience them; so just enjoy. Eei!❤
おっぱいで気持ちよくさせるテクは、\nマスターから教えてもらったの。\nわたしのマスター、パイズリがとっても上手なのよ。,My master taught me the secrets of unleashing bliss with my ample bosom. She's an expert at giving titjobs!
マスターほど上手くはないかもしれないけど、\nわたしのおっぱいも楽しんでね。ほら、\nぎゅって竿のところを挟んで、上下にずりずり❤,I may not be as skilled as Master; but please enjoy my breasts; too. Now; I'll squeeze your shaft tightly; sliding up and down...❤
あら、わたしに気持ちよくしてっておねだりしちゃうんだ❤\n戦闘中なのに、悪い子ね❤,Oh; looks like you're begging me to make you feel good.❤ Even in the middle of battle... You're being such a naughty boy~❤
わたしに何をしてほしい？\n教えてくれたら、してあげるわよ。くすくす❤,What do you want me to do to you? If you tell me; I'll do it for you. Giggle~❤
妖精のささやき,Fairy Whispers
妖精のパイズリ,Fairy Paizuri
なんでも,You decide
ふーん、耳をいじめてほしいんだ。\nずいぶんへんたいっぽいおねだりね❤ふふ❤,Hmm; so you want me to tease your ears... What a pervy request~❤ Fufu.❤
