default
タイガ,泰卡
Fランクの獣人の少年。獣タイプのモンスターを中心にしたデッキを使用する。まだカードを使い始めたばかりで、あまり強いモンスターを扱うことができない。Cランクの姉にカードの使い方を教わって、日々修行中である。,Ｆ階級的獸人少年。使用以獸族類型為主的牌組。因為剛成為卡片玩家，還沒辦法使用強大的怪獸卡。現在接受Ｃ階級的姊姊的指導每天修行當中。
わわ、兄ちゃん、もしかして無敗のルーキーか？\nすげぇ、こんなところで会えるなんてびっくりだぜ。,啊，大哥哥，該不會你就是不敗的新人吧？\n好厲害喔，竟然能在這種地方碰到你呢。
ボクはタイガ。ギルドに入って3ヵ月のF級カードマスターだ！,我叫做泰卡。是加入公會滿三個月的Ｆ階卡片玩家！
ボクの姉ちゃんはC級のカードマスターなんだぜ。\n姉ちゃんに追いつくためにもこの大会で絶対に勝ちまくる！,我的姊姊是Ｃ階卡片玩家喔。\n為了追上我姊姊我必須在這場大會中贏下去！
てなわけで、勝負しようぜ！,所以來對戰吧！
よお、兄ちゃん。その指輪をしているってことはカードマスターだな！,你好，大哥哥。你有那個戒指表示你也是卡片玩家對吧！
ボクの姉ちゃんはC級のカードマスターなんだぜ。姉ちゃんに追いつくためにもこの大会で絶対に勝ちまくる！,我的姊姊是Ｃ階卡片玩家。為了追上我姊姊我必須在這個大會中贏下去！
お、兄ちゃん。また会ったな。,啊，是大哥哥。我們又見面了。
兄ちゃんすげえよな。ボクの姉ちゃんにも勝っちまうんだもん。\nボク、兄ちゃんにあこがれて、最近修行頑張ってんだ！,大哥哥好厲害喔。已經打贏我姊姊了。\n我很崇拜大哥哥，現在都在努力修行喔！
だから、今日は修行の成果を見てくれよ！\n獣デッキで兄ちゃん相手にもいい勝負してみせるぜ！,所以今天要讓你看看我的修行成果！\n以這副獸族牌組跟大哥哥來一場熱血的對戰吧！
少しは強くなったか？まあ今回もボクの勝ちだろうけどな！,你變強了嗎？不過這次也是我會贏喔！
兄ちゃん強いけどな、今度はボクが絶対に勝つ！さあバトルしようぜ！,雖然大哥哥很強，但這次我絕對會贏！來對戰吧！
強えぇ…。くっ、くそぉ…。次は負けないぜ！,好強……。不甘心啊……。下次我不會輸了！
よっしゃ、ボクの勝ちだ！兄ちゃん、バトルありがとな！,太好了，是我贏了！大哥哥，謝謝你跟我對戰！
兄ちゃんのターンからだな！さあバトルスタートだ！,從大哥哥的回合開始！對戰開始！
さあ、バトル開始だ！,對戰開始！
ドローするぜ。,抽牌啦。
ドロー！,抽牌！
へへん、{使用カード}を上級召喚だ！,嘿嘿，上級召喚{使用カード}！
{使用カード}を召喚だ。,召喚{使用カード}。
さらにもう1枚発動だ！,再發動一張！
{使用カード}の効果発動！手札からレベル３以下のモンスター１体を特殊召喚する！,{使用カード}的效果發動！從手牌特殊召喚一張等級三以下的怪獸卡！
魔法カード発動！{使用カード}！デッキから地属性のカードを加えるぜ.,發動魔法卡！{使用カード}！從牌組將一張地屬性卡片加手。
手札にモンスターを呼ぶぜ。{使用カード}発動！,從手牌召喚怪獸。發動{使用カード}！
魔法カード発動！{使用カード}！HPを強化だ！,發動魔法卡！{使用カード}！增強ＨＰ！
体力を上げて頑丈にするぜ。{使用カード}を発動！,體力上升可以更耐打。發動{。使用カード}！
切り札のカードだ！{使用カード}を発動！獣モンスターを永続的にパワーアップ！,這是我的王牌！發動{使用カード}！熟族怪獸的力量永續提升！
永続魔法、{使用カード}を発動！獣モンスターたちの攻撃力を永続的にパワーアップさせる！,發動永續魔法，{使用カード}！獸族怪獸們的攻擊力永續提升！
装備魔法カード発動！{使用カード}！,發動裝備魔法卡！{使用カード}！
魔法カードを発動するぜ！{使用カード}！,我要發動魔法卡了！{使用カード}！
トラップカードを発動！{使用カード}！,我要發動陷阱卡了！{使用カード}！
カードをセットするぜ。,蓋一張卡片。
カードを伏せるぜ。,我要覆蓋這張卡片。
ボクの攻撃！{防御カード}を攻撃！,我的攻擊！對象是{防御カード}！
バトルだ！{使用カード}で{防御カード}を攻撃！,戰鬥！以{使用カード}對{防御カード}進行攻擊！
うそだろ、この手札じゃなにもできない…。ターンエンドだ…。,不會吧，這種手牌什麼也不能做……。回合結束……。
くっ、打つ手なしか…。ターンエンド。,嗚，沒有牌可以出……。回合結束。
ターンを終了するぜ。,我要結束回合了。
ターンエンドだ。,回合結束了。
ボクのターンはおわり。ターンエンド。,我的回合結束了。
う、攻撃を防ぐ、カードか。,嗚，是防禦攻擊的卡。
