default
酔いどれバニー,飲酒兔女郎
[1]１ターンに１度発動できる。コイントスを行い、その結果が表の場合、相手プレイヤーにこのカードの攻撃力の半分のダメージと「魔法カード使用不能(2ターン)」を付与する。\n[2].自分フィールド上に「{%%40226}」が存在しない場合、このカードが破壊され墓地へ送られたとき発動する。デッキから「{%%40226}」を１枚手札に加える。,[1].１回合可發動１次。投擲一次硬幣。如果結果是正面的話，給予對手玩家這張卡攻擊力一半的傷害並賦予「無法使用魔法卡」（２回合）。\n[2].當自己場上沒有「{%%40226}」，這張卡被破壞送往墓地時發動。從牌組將1張「{%%40226}」加入手牌。
[3].コイントスで表が出たとき発動する。自分フィールド上のすべての「バニー」モンスターの攻撃力を100ポイントアップする。,[3].困難以上中，當硬幣出現正面的時候發動。自己場上所有「兔女郎」怪獸的攻擊力提升100點。
カジノで働くバニーガール。お酒が大好きでいつも持ち歩いている。お客さんにお酒をすすめるときは口移しや谷間に注いで飲ませ、そのついでにチップをねだっては酒代に当てている。快感と酔いで脳が正常な判断能力を失い、大量のチップを彼女に貢いでしまうのだという。,在賭場工作的兔女郎。超級愛喝酒所以總是帶著酒瓶。想要讓客人買酒的時候會藉由接吻轉移或將酒倒在乳溝中，以此索要小費並以這些錢買酒。快感與酒精會讓大腦失去正常的判斷能力，最後貢獻大量小費給她。
胸での攻撃時、「おっぱいに弱い」を付与する。,交戰時如果以胸部攻擊則會賦予對方「胸部弱點」。
はーい、お客さんにドリンクのサービスよ❤\nコップじゃなくて直接飲ませてあげる❤,はーい、お客さんにドリンクのサービスよ❤\nコップじゃなくて直接飲ませてあげる❤
おっぱいでお顔をぱっふん❤\nふふ、むにゅむにゅってされて気持ちいい？,おっぱいでお顔をぱっふん❤\nふふ、むにゅむにゅってされて気持ちいい？
でも早く逃げないと口の中にむりやりお酒を流し込まれちゃうわね❤\nほら・・・❤,でも早く逃げないと口の中にむりやりお酒を流し込まれちゃうわね❤\nほら・・・❤
あうっ、んぐっ・・・❤はへあっ・・・❤,あうっ、んぐっ・・・❤はへあっ・・・❤
プレイヤーは酩酊して魔法が使えなくなった!,プレイヤーは酩酊して魔法が使えなくなった!
あはは、お酒によわいわね❤\nもうろれつが回らないでしょ？\nそんな状態でカードを使えるのかしら❤,あはは、お酒によわいわね❤\nもうろれつが回らないでしょ？\nそんな状態でカードを使えるのかしら❤
ほら、またドリンクをサービスしてあげる❤\n谷間から直接飲むの、病みつきになっちゃうでしょ❤,ほら、またドリンクをサービスしてあげる❤\n谷間から直接飲むの、病みつきになっちゃうでしょ❤
ふふ、おっぱいに顔を捕まえられたら逃げられないね❤\nまた魔法が使えなくなるかもしれないけど、\n口の中にむりやりお酒を流し込まれちゃう❤,ふふ、おっぱいに顔を捕まえられたら逃げられないね❤\nまた魔法が使えなくなるかもしれないけど、\n口の中にむりやりお酒を流し込まれちゃう❤
くうっ、あうっ❤んぐっ・・・❤,くうっ、あうっ❤んぐっ・・・❤
はーい、またヘロヘロぼうやのできあがり❤\nおっぱいとお酒に溺れて、わけわかんないうちに負けちゃうといいわ❤,はーい、またヘロヘロぼうやのできあがり❤\nおっぱいとお酒に溺れて、わけわかんないうちに負けちゃうといいわ❤
ってあら？チンポびくびくさせてどうしたの？\nもしかして・・・。,ってあら？チンポびくびくさせてどうしたの？\nもしかして・・・。
あっ、らめ、でちゃうぅ・・・❤❤,あっ、らめ、でちゃうぅ・・・❤❤
