default,
エルル,Elulu
タイガ,Taiga
プラント,Clover
ムニン,Munin
フレア,Flare
受付さん,Receptionist
シスター,Sister Maria
ギルド地下通路,Underground Guild Passage
Place/MorugenUnderground,
情報収集,Investigate
デッキ編集,Deck Edit
タイトルに戻る,Back to title
特殊オプション,Special Options
ロード,Load
セーブ,Save
回想,Reminisce
作戦会議,Stratergy Meeting
(特殊)２周目プレイ,(Special Option) Start New Game+
(特殊)街に戻った状態にする,(Special Option) Return to town with current abilities
少し歩いて頭もはっきりしたし、受付さんに今の状況について聞くことにしよう。,After clearing my head with a short walk; I decided to ask the receptionist about our current situation.
分かりました。状況を説明しますね。\nん・・・？,Understood. Let me explain the situation. Hmm...?
あいたた・・・。あれ、わたし・・・。,Ow... Huh; what happened to me...?
・・・・！,...!
エルルさん。目を覚ましたんですね！\nよかった…。,Elulu! You're awake! Thank goodness...
体は大丈夫ですか？どこかおかしいところなどはありませんか？,Are you alright? Does anything feel off with your body?
ありがと、うん…。大丈夫みたい。\nかなり体がだるいけれど、魔力を使い果たしたって感じのだるさよ。\n体に変な感じはしないわ。,Thanks; yeah... I think I'm fine. I feel pretty drained; but it's the kind of exhaustion you get after using up all your magic. Nothing feels weird about my body.
はぁ・・・・。まだ現実感がないけど、\nわたしサキュバスになってたのよね。,Haa... It still doesn't feel real; but I really did become a succubus; didn't I?
人間に戻れて、本当によかった…。\n{主人公}、あなたのおかげよ。ありがとう…。,I'm so relieved I'm human again... You helped me so much {主人公}. Thank you...
・・・・♪,...♪
エルルさんはほっとしたような顔で、そう言った。僕もエルルさんが無事なようで一安心だ。,Elulu had a relieved expression on her face. I was also relieved to see that she seemed to be okay.
僕らがエルルさんの回復を喜んでいると、向こうの方で足音が聞こえてきた。,As we were celebrating Elulu's recovery; we heard footsteps approaching from the other direction.
おーい、戻ったよ。\nやっぱりこっちの道もダメみたい。\n結界でふさがれてた。,Hey; I'm back. Looks like that path's no good either. It was blocked off by a barrier.
やはりそうでしたか…。,I suspected as much...
・・・・？,...?
いま目覚めたばかりの、{主人公}さんとエルルさんにも\n状況を説明しますね。,Let me explain the situation to {主人公} and Elulu; since you both just woke up.
お二人が気絶後、\nわたしたちは地下通路から町の外への脱出を図りました。\nところがどの通路にも見えない壁が存在していたんです。,After you two lost consciousness; we attempted to escape the town through the underground passages. However; there were invisible walls blocking every passage.
そうそう。\n何か所か見て回ったんだけど、全部だめ。\n外へ行く道と、お城につながる道が結界でふさがれてたの。,That's right. We checked several locations; but they were all blocked. The paths leading outside and the path to the castle were all sealed by barriers.
どうやら敵は城を占拠し、\nこの街を守る二重結界を起動したらしいのです。,It seems the enemy has occupied the castle and activated the town's double barrier system.
この街には二つの強力な結界が備えられています。\n街をぐるりと囲むものが１つ。城のまわりを囲むものが１つ。,This town is equipped with two powerful barriers. One surrounds the entire town. The other surrounds the castle.
１度作動したら、結界石が破壊されない限り２週間は維持されます。\n結界を作動した者の許しがなければ、\n結界を通りぬけて移動することはできません。,Once activated; they'll remain up for two weeks unless the barrier stones are destroyed. Without permission from whoever activated them; no one can pass through.
