default
闘技場ファンの男,Male Colosseum Fan
観客の女,Woman from the Audience
エルル,Eruru
❤派手な女の子,❤Flashy Girl
盛り上がっている男,Excited Man
物知りな女性,Knowledgeable Woman
観客の男,Man from the Audience
ファンになった女性,Woman who Became a Fan
酒くさい男,Man who Smells of Alcohol
満足そうな観客,Satisfied Audience Member
ふらふらのカードマスター,Dizzy Cardmaster
ファンの男【!】,Fanboy【!】
ファンの男,Fanboy
あこがれている少年,Fan Boy
事情通の男,Knowledgeable Man
下位のカードマスター,Lower-Tier Cardmaster
ヤツメ選手のファン,Yatsume Fan
気落ちしてる男,Downcast Man
もふもふ好きの女,Woman who Loves Fluffy Things
ファンの男性,Male Fan
きょろきょろしてる女の子,Restless-Looking Girl
特等席を買った女,Woman from the Front Row
うわさ好きの女性,Gossip-Loving Woman
大ファンの少年,Major Fanboy
ムサシの弟子の女の子,Musashi's Disciple
不安げな女の子,Anxious-Looking Girl
うれしそうにしている少年,Happy-Looking Boy
老人会のおばあさん【!】,Old Lady from the Senior Citizens' Club【!】
老人会のおばあさん,Old Lady from the Senior Citizens' Club
観客の女性,Woman from the Audience
❤上機嫌な女の子,❤Cheerful Girl
低ランクのカードマスター(女),Low-Tier Female Cardmaster
目ざとい男,Sharp-Eyed Man
闘技場ファンのおじいさん,Old Colosseum Fan
❤ジェミニ,❤Gemini
本を持っている女の子,Girl Holding a Book
悩んでいる女性,Troubled Woman
恐れているおじいさん,Fearful Old Man
わくわくしてる少年,Excited Boy
調子の悪い女性,Sick-Feeling Woman
非番の兵士,Off-Duty Soldier
グッズ売りの老婆【!】,Old Woman Selling Merchandise【!】
グッズ売りの老婆,Old Woman Selling Merchandise
学生の男,Male Student
闘技場,Colosseum
Place/Colosseum,
対戦,Fight
情報収集,Investigate
デッキ編集,Deck Edit
特殊オプション,Special Options
ロード,Load
セーブ,Save
街に戻る,To Town
今は先にギルドに行って昇格の手続きを終わらせよう（クエストメニューから昇格手続きが行えます）。,I should go to the guild and complete the promotion procedure first (you can do the promotion procedure from the quest menu).
今は先にクエストを終わらせよう。,I should finish my quest first.
ギルドで説明を受けた闘技場に、僕は足を運んでいた。,I made my way to the colosseum I had heard about at the guild.
街中とはまるで違う雰囲気を肌で感じる。周りに見えるカードマスター達の闘志だろうか。,Perhaps it was the fighting spirit of the cardmasters around me; but the atmosphere felt completely different from the city. 
ここでのカードバトルは更に厳しいものになるだろう。この空気に飲まれないよう、僕は心を奮い立たせた。,The card battles here will no doubt be more intense than the ones I've faced so far. I steeled my resolve; determined to not be overwhelmed by the atmosphere.
初めまして。闘技場への参加をご希望でしょうか？,Nice to meet you. Would you like to participate in the colosseum?
分かりました。それではギルドリングをお見せください。,Understood. Now then; please show me your guild ring.
・・・。,...
ありがとうございます。貴方がDランクであることを確認しました。闘技場への参加を承認します。,Thank you so much. After confirming your rank; I'm happy to say your application for the colosseum has been approved.
再度話しかけていただければ、本日からでも対戦を組むことができますので、準備ができたらお声がけくださって構いませんよ。,Feel free to speak to me again when you're ready and I'll happily arrange a match for you today.
おや、あんた新人選手かい？\nそのリングの色、Dランクだね。,Oh hey; you're a rookie; aren't you? That ring color means you're a D-rank; right?
闘技場では普段からカードマスターたちが試合をして\nその腕を競っているんだ。\n祭りの間はとくに試合が盛りだくさんさ。,In the colosseum; cardmasters usually compete in matches to showcase their skills. During the festival; matches here are especially common.
国中から集まってきたカードマスターたちの火花散らす戦い…。\nいやぁ、たまらないね。,Cardmasters from all over the country gather to battle it out... Ah; the excitment of it all. I can hardly contain myself!
でもよ、最近は女マスターばっかり勝っててつまらねえ。\nもっと剣と剣がぶつかるような戦いを、前みたいに見たいもんだ。\n男としてあんたには期待してるぜ！,But you know; lately it's only been female masters winning; and it's actually starting to get pretty boring. I want to see battles where swords clash like they used to. So as one of the few guys still fighting; I'm counting on you!
闘技場って、中にいるだけで何だかワクワクしてくるよな。,The colosseum... Just being here's kinda thrilling; don't you think?
祭りの間はそこかしこでカードマスターたちが戦っているけど、\n闘技場はやっぱ真剣勝負の場って感じで雰囲気が違うぜ。\nああ、俺もカードマスターだったら参加してみてぇなぁ。,During the festival; cardmasters are battling all over the city; but the colosseum really feels like the place for more serious matches. The atmosphere just feels so different. Ah; if I were a cardmaster; I'd want to participate; too.
男のカードマスターはあんまり勝率がよくないんだよねぇ。,Male cardmasters don't have a very good win-rate; you know.
昔はそうでもなかったんだけど、サキュバスが出現してからは男の強いカードマスターがたくさん魔族領でやられちまって、それで女マスターと実力差がついちまった。,It wasn't always like that; but ever since the succubi appeared; many strong male cardmasters have been defeated in the demon realm; and now the skill gap with the female masters has just gotten wider.
そのうえ最近はサキュバス系のカードを使うマスターも増えて、男はすぐこてんぱんに負けちまう。,What's worse; recently there have been more masters using succubus-type cards; and men just lose to them way too quickly.
祭りが始まる前まではサキュバスのカードなんて見たことがなかったんだけどなぁ。時代は変わったもんだ。,Before the festival started; I'd never even seen a succubus card. Times have really changed.
この祭りが始まる少し前からかしら、\n闘技場での戦いがだいぶ様変わりしたのよね。,I guess it was just before this festival started that the battles in the colosseum changed quite a bit; wasn't it?
前からエッチな攻撃をするカードマスターはいたのだけれど、\n急にサキュバスのモンスターを使うマスターが増えたというか…。,There were always cardmasters who used lewd attacks; but suddenly more and more masters started using succubus monsters...
悪魔タイプ自体かなり珍しかったと思うし、\nなんでこんなにサキュバスモンスターが増えたのかしら。\n新しい遺跡で珍しいパックでも出たとか？,I think demon-types themselves were pretty rare before; so why have there been so many succubus monsters recently? Did they find a rare pack in those new ruins or something?
ねえ、ねえ、男のひとって、\nなんであんなに簡単に女のモンスターに負けちゃうの？,Hey; hey; why do guys lose so easily to female monsters?
観客席からだと、遠くて何やってるかよくわからないの。\nモンスターもマスターも魔力のバリアがあって、\n剣で斬っても簡単にはやられないはずなのに・・・。,The audience's seats are too far away to see exactly what's happening. Both the monster and the master have magical barriers; so they shouldn't be beaten easily; even if they get slashed or stabbed...
女の子モンスターに抱き着かれたら、\nすぐビクビクってふるえてそのままやられちゃうんだよ。\nへんなのー。,But if a girl monster hugs him; the guy starts trembling and gets taken down; just like that. It's really weird.
おお、おお、あんたは例のルーキーじゃないか。\nオクタ選手との試合見たよ！\n女マスターに勝つなんてすごいじゃないか。,Oh; oh; you're that rookie; aren't you? I saw your match against Octa! Winning against a female master like that is pretty impressive; don't you think?
そのうえクエストでサキュバスも倒したんだろ？\nいやぁ、ほんと期待の新人だな！\nアンタの試合、次も見に行くぜ！がんばってくれよ！,Not only that; you also defeated a succubus on that quest; didn't you? Wow; you're really an up-and-coming rookie! I'll definitely be watching your next match; too! Keep it up!
闘技場では、勝ったマスターが負けたマスターを\n自由にもてあそぶ権利があるわ。\n表向きは魔力補給のためってことになってるけれど・・・。,In the colosseum; the winning cardmaster has the right to toy with the loser in whatever way they like. Officially; it's for the purpose of replenishing magical power; but...
いまよりずっと昔、闘技場が罪人の戦いを見る場所だったころ、\nそのころは罪人をなぶるのを見世物にして、\n勝者は敗者を好きにできる決まりになっていたそうなの。,Long ago; the colosseum was a place to watch criminals fight one another. It's said it was a spectacle to torment the criminals; and the victor had the right to do as they pleased with the vanquished.
野蛮な風習がなくなった今でも、\nそのころの名残で闘技場の勝者が敗者を好きにできる習慣が\n残っているのだそうよ。,Even though the more barbaric customs have disappeared; it seems that remnants of that time still linger; allowing the winners of the colosseum to do as they please with the losers.
ちなみに男のマスター同士の場合、魔力補給の名分がないから\n勝っても何かしたりできないの。\nそこは野蛮じゃなくていいわね。,Speaking of which; in the case of two male masters fighting; there's no obligation or way to refill your mana afterwards; so even if you win; it's not like you can do anything. At least that part isn't so barbaric; right?
なあ、アンタ、Dランクで最強のマスターって誰だと思う？\nやっぱり俺はミレーヌさんだね。,Hey; who do you think is the strongest master in D-rank? If you ask me; it's gotta be Mylene.
いや、ミレーヌさんがレベルの高いモンスターを使えないのは\n俺も知ってるよ。でも、あのおっぱい。あんなの見たら、\n俺だったら即戦意を喪失しちゃうよ。,I know she can't use high-level monsters; but those boobs... If I saw those while battling; my fighting spirit would vanish before I knew it!
実際、男相手の戦績はかなりいいみたいだしな。\nアンタも男のマスターだし、きっとミレーヌさんには勝てねえぜ。,Actually; her track record against men seems pretty impressive. And since you're a male master; there's no way you'd win against Mylene.
ん・・・。あなたのこと見たことあるような・・・。\nああっ、噂のルーキーくんじゃない？\nきゃー、近くで見るとけっこうかわいいのね❤,Hmm... I feel like I've seen you somewhere before... Oh; aren't you the rookie everyone's talking about? Wow; you're actually pretty cute up close; huh?❤
ミレーヌさんとの試合見てたわよー。\nあんなセクシーな人にまで勝っちゃうなんて、\n我慢強くてすごいじゃない。,I watched your match with Mylene. You must have pretty good endurance to win against someone as sexy as her. You're really impressive.
サキュバスにも勝ったんでしょ？\n男ってすぐ色気でふらふらになっちゃうやつらばっかりだから、\nあなたみたいな硬派な子ってかっこいいわ。,You even beat a succubus too; right? Most guys are so easily swayed by feminine charms; so a tough guy like you is especially cool.
わたしファンになっちゃったから、応援してるわよ。\n頑張ってねー。,I've become a fan; so I'm cheering for you. Keep it up; okay?
こんにちはー、噂のルーキーくん。\nあは、手を振り返してくれた。うれしいー❤,Hey; it's the rumored rookie! Aha; he waved back. I'm so happy!❤
ミレーヌさん以外にも強いマスターいっぱいいるけど、\nちゃんとカッコいいところ見せてよね。応援してるわよ！,But there are plenty of strong masters besides Mylene; so make sure to show us just how cool you can be. I'm rooting for you!
モルゲンのカードマスター学園には有名なトップ選手がいてな、\n人魚使いのメロディ、雷電のボルタ、無敵のシルヴィアって三人が\n全員Bランクマスターなんだぜ。,At Morgen's Cardmaster Academy; there are some pretty famous top players -Melody the mermaid user; Volta the thunder user; and Sylvia the invincible- all of whom are B-rank masters.
Bランクまで上がった学生は国中でこの三人だけだからな。\nまさにエリート様って感じだよ。\nただボルタ以外はみんな偉ぶってなくて、庶民からの人気も高いんだ。,They're actually the only students who have reached B-rank in the entire country. They truly feel like elite. However; except for Volta; they're all pretty humble; making them pretty popular among the common folk.
このさき守護者になったり王都の騎士団長になったりするんだろうけど\nああいうしっかりした子たちが上に立ってくれるなら、\n頼もしい限りだね。,In the future; they might become guardians; or the captain of the royal capital's knights! If such reliable kids take the lead; it would be incredibly reassuring; don't you think?
ん、アンタはミレーヌさんを倒した男マスターじゃねえか。,Mm; you're the guy who defeated Mylene; aren't you?
あんたが勝っちまうせいで「妖精の酒場」の割引がなくなって、\n昨日は酒代が高くついちまった。,Since you won; she didn't offer us a discount at the "Fairy Tavern"; and the drinks ended up costing more yesterday.
でもよ、今日は飲み友達同士で、誰が勝つか賭けてるんだ。\n俺はアンタに賭けたからよ、\n損させられた分、今日はもうけさせてくれよ！,But hey; today me and my drinking buddies are betting on who'll win. I bet on you; so make up for the loss and give me a win today!
つまり、あんたには期待してるってこった！\nサキュバスにすら勝ったんだろ？なら次も楽勝だな！,I have high hopes for you! You even beat a succubus; right? So your next battle should be a piece of cake!
この間Bランク同士の試合を見たんだけどよ、\nいやぁ、やっぱりすごいね。,The other day; I watched a match between two B-rank fighters; and wow; it was really something!
最上級のモンスターがどんどん出てきての激しいぶつかり合い。\n１ターンにモンスターが２体も３体も出てくるし、\nやっぱり上位ランカーは下位とはわけが違うよ。,The top-tier monsters kept coming out; and the clashes were intense. Two or three massive monsters would get summoned in just a single turn. As expected; the higher-ranked players are on a different level than the lower-ranked ones.
もう上の方のランクは女のマスターしかほぼ残ってないからね。\nエロいことは控えめでバトルもけっこうバチバチの戦いだし、\n見てて派手だったねー。高いチケットを買った甲斐があったな。,Almost all of the higher ranked masters are female these days. They keep the erotic stuff to a minimum when they're fighting each other; and the battles get pretty intense. It was really flashy to watch. That expensive ticket was really worth the price.
お、期待のルーキーじゃないか。\n俺、あんたのこの間の試合見たぜ。,Oh; aren't you that promising rookie? I watched your match the other day.
同じ日に上位ランカーの試合があったから、\n実況もつかなかったみたいだけど、\nやっぱりあんた強いな。これで３連勝じゃないか。,Since there was a match with a top-ranked player on the same day; it seems there was no commentary for your fight; but you're really strong. That's three consecutive wins now; right?
昔は男のマスターもAランクやBランクにいたんだけど、\nみんなここ数年でランクダウンしちまった。\nあんたは頑張って上のランクに行ってくれよ。楽しみにしてるぜ。,In the past; there were male masters in the A- and B-ranks; but all the guys have really dropped off over the past few years. Keep working hard to reach the higher ranks. I'm looking forward to it!
最近上位ランカーは女の選手ばっかりになったわ。\nだってみんな女モンスターに誘惑されたら\nすぐ負けちゃうんですもの。,These days; the top-ranked players are all women. It's because guys just crumble as soon as they're tempted by female monsters.
男のマスターってたいしたことないのね。\nあなたもマスターみたいだけど、\nふふ、わたしでもエッチなことしてあげれば倒せそう❤,The male cardmasters aren't that impressive; huh? You seem like a master; too; but... Fufu; I bet I could take you down with a little sexy tease~❤
くすくす❤ちょっと顔を赤くしちゃってかわいい❤\n今日はあなたの試合を観戦して\nあなたが負けちゃうところを楽しもうかしら❤,*Giggle* You're getting a bit red in the face there; cutie~❤ I'll make sure to watch your match today. I'll enjoy seeing you lose~❤
ああ・・・❤またキャミー選手と戦いたい・・・❤,Ah...❤ I want to fight Cammy again...❤
おっと、すまない。ぶつかるところだったね。\nきみもカードマスターかい？\n僕もそうさ。元はＣランクマスターだったんだぜ。,Oops; sorry. I almost bumped into you there. Are you a cardmaster? Yeah; me too. I used to be C-rank; actually.
２週間前ぐらいになるんだが、\nCランクのキャミーという選手と戦ってね、\nその時の戦闘がどうにも忘れられないんだ。,It was about two weeks ago that I fought a C-rank player named Cammy; and I just can't get that battle out of my head.
あの選手に負けたせいで\nCランクからDランクに落ちてしまったっていうのに、\n俺も自分で何を言ってるんだって思うよ。だけど・・・。,I dropped from C-rank to D-rank because of her; and I can't believe I'm saying this... But...
