default
妖狐,妖狐
[1].このカードが召喚に成功した時発動する。デッキから「妖怪変化」を１枚手札に加える。\n[2].このカードがフィールド上に４ターン以上存在する場合、以下の効果を持つ。\n・自分ターン終了時に発動する。このカードのコピーを自分フィールド上に特殊召喚する。,[1].這張卡通常召喚成功時發動。從牌組將１張「妖怪變化」加入手牌。\n[2].當這張卡在場上存在4回合以上時，具有以下效果：\n・自己的回合結束時發動。複製這張卡在自己場上特殊召喚。
[3].このカードが手札から捨てられたときに発動する。自分フィールド上のランダムな闇属性モンスター１体のコピーを自分フィールド上に特殊召喚する。,[3].困難以上中，當這張卡從手牌中被捨棄時發動。隨機複製自己場上的闇屬性怪獸特殊召喚到自己場上。
コンコン❤分身したわたしたちで、\nハーレムを味合わせてあげる❤,コンコン❤分身したわたしたちで、\nハーレムを味合わせてあげる❤
四方八方から挟まれて、最高でしょ？\n幸せお肉の極楽浄土❤\nおっぱいに埋もれて骨抜きになってしまいなさい❤,四方八方から挟まれて、最高でしょ？\n幸せお肉の極楽浄土❤\nおっぱいに埋もれて骨抜きになってしまいなさい❤
じっとしてれば、ほら、すぐに終わるわ❤\nおちんちん、もう限界近いのよね？くすくす❤,じっとしてれば、ほら、すぐに終わるわ❤\nおちんちん、もう限界近いのよね？くすくす❤
分身してびっくりした？\nでも、わたしがたくさんいるのってとってもお得だと思わない？\nだってほら、こういうことだってできるのよ❤,分身してびっくりした？\nでも、わたしがたくさんいるのってとってもお得だと思わない？\nだってほら、こういうことだってできるのよ❤
チンポ全部包んじゃう、完全包囲パイズリ❤\nあなたのおちんちんすっかり見えなくなっちゃったわね❤\nくすくす❤,チンポ全部包んじゃう、完全包囲パイズリ❤\nあなたのおちんちんすっかり見えなくなっちゃったわね❤\nくすくす❤
気持ちよすぎて腰がとろけそうでしょう？\nさあさあ、あっという間にイかせてあげるわ❤,気持ちよすぎて腰がとろけそうでしょう？\nさあさあ、あっという間にイかせてあげるわ❤
わたしがたくさんいて、あなたにはハーレムね❤\nおっきいおっぱいばかりで眼福でしょ？\nこれを使って全員でいいことしてあげる❤え～い❤,わたしがたくさんいて、あなたにはハーレムね❤\nおっきいおっぱいばかりで眼福でしょ？\nこれを使って全員でいいことしてあげる❤え～い❤
コンコン❤どう？極楽パイズリ包囲網よ❤\nチンポが右から左からおっぱいにしごかれて、\n信じられないぐらいの気持ちよさでしょう？,コンコン❤どう？極楽パイズリ包囲網よ❤\nチンポが右から左からおっぱいにしごかれて、\n信じられないぐらいの気持ちよさでしょう？
くすくす❤おっぱいをズリズリするたびに\nチンポがびくんびくんって喜んでるわ❤\n分身でも肉感は本物❤わたしたちのおっぱい天国堪能しなさい❤,くすくす❤おっぱいをズリズリするたびに\nチンポがびくんびくんって喜んでるわ❤\n分身でも肉感は本物❤わたしたちのおっぱい天国堪能しなさい❤
おっぱいで挟まれるのは好き？\nお姉さんがパイズリで気持ちよくしてあげる❤,おっぱいで挟まれるのは好き？\nお姉さんがパイズリで気持ちよくしてあげる❤
ほら、ぎゅって挟んで、ずりずり❤ずりずり❤\n竿のところをおっぱいでなでられて、とろけちゃいそうでしょう？\n男を虜にするのは妖狐のたしなみ❤房中術なんて朝飯前よ❤,ほら、ぎゅって挟んで、ずりずり❤ずりずり❤\n竿のところをおっぱいでなでられて、とろけちゃいそうでしょう？\n男を虜にするのは妖狐のたしなみ❤房中術なんて朝飯前よ❤
わたしが敵だってことも分からなくなるぐらい、快感で包んであげる❤\n両手でぎゅーって抑えながら、上下に激しくゆさゆさ♪ゆさゆさ♪\nあなたのおちんちんをおっぱいで篭絡してあげるわ❤,わたしが敵だってことも分からなくなるぐらい、快感で包んであげる❤\n両手でぎゅーって抑えながら、上下に激しくゆさゆさ♪ゆさゆさ♪\nあなたのおちんちんをおっぱいで篭絡してあげるわ❤
あら、その視線…。服が透けて気になるのかしら？\nわたし汗っかきだから、すぐ透けちゃうのよね❤,あら、その視線…。服が透けて気になるのかしら？\nわたし汗っかきだから、すぐ透けちゃうのよね❤
こんなにおっぱいが大きいと、谷間が蒸れて、たまらないの…❤\nふふ、でもその分ここにおちんちん入れたら、気持ちいいわよ❤\n汗でしっとりした谷間で、おちんちんを、ズリズリズリ❤ってね。,こんなにおっぱいが大きいと、谷間が蒸れて、たまらないの…❤\nふふ、でもその分ここにおちんちん入れたら、気持ちいいわよ❤\n汗でしっとりした谷間で、おちんちんを、ズリズリズリ❤ってね。
ねえ、挟んでいいでしょ？\nあは、あなたのおちんちん、そんなにびくびくしちゃって❤\n今からされることが楽しみなのね。くすくす❤,ねえ、挟んでいいでしょ？\nあは、あなたのおちんちん、そんなにびくびくしちゃって❤\n今からされることが楽しみなのね。くすくす❤
あーん、おっぱいが重くて、つい猫背になっちゃうわ❤\nおっきいと色々便利だけど、困っちゃうわよね。,あーん、おっぱいが重くて、つい猫背になっちゃうわ❤\nおっきいと色々便利だけど、困っちゃうわよね。
そうだ、あなたにこの重さをわけてもいいかしら。\nほら、ちょっとした妖術で、コンコン♪,そうだ、あなたにこの重さをわけてもいいかしら。\nほら、ちょっとした妖術で、コンコン♪
・・・っ！,・・・っ！
ふふ、驚いた？おちんちんのあたりに\nずっしりとした重みが急にきたでしょ？\nそれがわたしのおっぱいの重さよ❤,ふふ、驚いた？おちんちんのあたりに\nずっしりとした重みが急にきたでしょ？\nそれがわたしのおっぱいの重さよ❤
重さをリンクしたまま、ほら、おっぱいをもんであげる❤\n感触も伝わっているはずだから、パイズリしているのと同じね❤\nほらほらほら～❤遠隔パイズリで気持ちよくなっちゃいなさい❤,重さをリンクしたまま、ほら、おっぱいをもんであげる❤\n感触も伝わっているはずだから、パイズリしているのと同じね❤\nほらほらほら～❤遠隔パイズリで気持ちよくなっちゃいなさい❤
シャツをめくって、谷間をちら❤\nなーんちゃって、こんなチラ見せじゃ、あなたは興奮しないわよね？,シャツをめくって、谷間をちら❤\nなーんちゃって、こんなチラ見せじゃ、あなたは興奮しないわよね？
ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、Ｃランクにもなったのに案外チョロいんだ～❤,ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、Ｃランクにもなったのに案外チョロいんだ～❤
ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、Ｃランクマスターの使い魔なのに案外チョロいんだ～❤,ってあら？\nおちんちん、びくびくって反応しちゃってるんだけど❤\nあは、Ｃランクマスターの使い魔なのに案外チョロいんだ～❤
ほらほら～❤おっぱいもっと見せてあげるよ❤\nシャツをびろーんって伸ばして、谷間見せつけ大サービス❤\n覗き込めば乳首も見えるかもね❤くすくす❤,ほらほら～❤おっぱいもっと見せてあげるよ❤\nシャツをびろーんって伸ばして、谷間見せつけ大サービス❤\n覗き込めば乳首も見えるかもね❤くすくす❤
くす、お姉さんたちがたくさんいて、\nムラムラを抑えられなくなっちゃったのかしら❤,くす、お姉さんたちがたくさんいて、\nムラムラを抑えられなくなっちゃったのかしら❤
わたしたちに気持ちいいことしてほしいなら、\nたっぷりハーレムを味合わせてあげる❤コンコン♪,わたしたちに気持ちいいことしてほしいなら、\nたっぷりハーレムを味合わせてあげる❤コンコン♪
くす、お姉さんに気持ちいいことしてほしいの？\n降参してエナジーを自分から捧げに来てくれるなんて、\nお姉さんうれしいわ❤,くす、お姉さんに気持ちいいことしてほしいの？\n降参してエナジーを自分から捧げに来てくれるなんて、\nお姉さんうれしいわ❤
このぴったりしたシャツを見て、興奮しちゃったのかしら❤\nそれじゃこのおっぱいを使って、\nあなたのこと気持ちよくしてあげる❤,このぴったりしたシャツを見て、興奮しちゃったのかしら❤\nそれじゃこのおっぱいを使って、\nあなたのこと気持ちよくしてあげる❤
くすくす❤わたしの分身パイズリですっかりアヘアへね❤\nあっちもこっちもおっぱいでズリズリされて、信じられないぐらい幸せだったでしょう？,くすくす❤わたしの分身パイズリですっかりアヘアへね❤\nあっちもこっちもおっぱいでズリズリされて、信じられないぐらい幸せだったでしょう？
くすくす❤わたしのおっぱいであっという間に骨抜きね❤\n狐に快楽で化かされてどうだったかしら。\n幸せで間抜けそうなお顔❤,くすくす❤わたしのおっぱいであっという間に骨抜きね❤\n狐に快楽で化かされてどうだったかしら。\n幸せで間抜けそうなお顔❤
うふふ❤\nあなたのお陰で妖力が溜まったわ❤\nいくわよ❤コンコン❤,うふふ❤\nあなたのお陰で妖力が溜まったわ❤\nいくわよ❤コンコン❤
お待ちかねのおっぱい天国へようこそ❤\nどうかしら❤おちんちんがやわらか～いおっぱいに食べられてみえなくなっちゃったわよ❤,お待ちかねのおっぱい天国へようこそ❤\nどうかしら❤おちんちんがやわらか～いおっぱいに食べられてみえなくなっちゃったわよ❤
ああ❤やばあ❤す、すごいぃ・・・❤,ああ❤やばあ❤す、すごいぃ・・・❤
くすくす❤なにそれ❤\n語彙力ゼロじゃない❤気持ち良すぎて何も考えられないみたいね❤,くすくす❤なにそれ❤\n語彙力ゼロじゃない❤気持ち良すぎて何も考えられないみたいね❤
まぁでもこれは守ってくれたお礼だから❤\nあなたはおちんちんに集中して、たっぷり楽しんでね❤,まぁでもこれは守ってくれたお礼だから❤\nあなたはおちんちんに集中して、たっぷり楽しんでね❤
ああっ❤ああああっ❤,ああっ❤ああああっ❤
やぁん❤凄い声❤\n気持ち良すぎるからって暴れないの❤\nリラックスして～❤力を抜いて～・・・❤,やぁん❤凄い声❤\n気持ち良すぎるからって暴れないの❤\nリラックスして～❤力を抜いて～・・・❤
抵抗する力、無くなっちゃったわね❤\nもうちょっとで勝てそうだったのに❤\nおっぱいハーレムの誘惑に負けちゃった❤,抵抗する力、無くなっちゃったわね❤\nもうちょっとで勝てそうだったのに❤\nおっぱいハーレムの誘惑に負けちゃった❤
