default
カクテルフェアリー・ライム,Cocktail Fairy - Lime
EU34_paizuri,
EU34_triple,
　お酒に宿る精霊。ライム、シトラス、グレープの３匹はなかよしで、いつも３匹で集まっては互いの作ったお酒の味を比べたり、次どんないたずらをするかを話し合っている。\n\n　彼女たちの体はとても小さいが、胸や脚はしっかりと女性らしい体つきであり、男性器に抱き着かれて体をこすりつけられると、あまりの快感で立っていられないほどである。小さいからといって油断していると体のあちこちにまとわりつかれ、あっという間に思考を快楽で染められてしまうだろう。,A spirit that inhabits alcoholic beverages. Lime; Citrus; and Grape are good friends who always gather to compare the flavors of the drinks they've made and discuss their next pranks. Despite their small bodies; they have distinctly feminine figures; with large chests and shapely legs. When they cling to a man's penis and rub their bodies against it; the pleasure is so overwhelming he can't stand. If you let your guard down just because they're small; they'll cling on to you and flood your mind with pleasure in no time.
あなたよりだいぶ体は小さいけれど、\nそれでもチンポを気持ちよくすることはできるわ。,Even though my body is much smaller than yours; I can still make your cock feel amazing.
[1].このカードが召喚に成功したとき発動する。デッキから同名カード以外の「カクテルフェアリー」モンスターを１枚手札に加える。,[1]. When this card is successfully summoned; add one "Cocktail Fairy" monster other than "Cocktail Fairy - Lime" from your Deck to your hand.
[2].このカードがフィールド上に存在する限り、自分のレベル３以下モンスターが戦闘するとき相手に「酩酊」を付与する。,[2]. As long as this card remains on the field; whenever your Level 3 or lower monsters engage in battle; they inflict "Intoxication" on the opponent.
[3].このカードが特殊召喚に成功したとき発動する。デッキからモンスターカードをランダムに１枚手札に加える。,[3]. When this card is successfully Special Summoned; add one random monster card from your Deck to your hand.
例えばこうやって、\n舌でカリ首の裏をぺろぺろぺろ♪\nうふふ、もだえちゃっている。かわいい❤,For example; when I lick the underside of your glans like this~ Or when I flick my tongue on this part here.♪ Ufufu; your body just writhes in pleasure. Such a cute reaction.❤
あん、あなたのチンポ、大きすぎてわたしの口で咥えきれないわ。\nさきっぽをはむはむするのでせいいっぱいよ❤\n大きくってすごーい❤あーん、めろめろになっちゃう❤,Mmm... Your cock is so big that I can't take it all in my mouth. I can only manage to suckle the tip.❤ It's so huge and amazing~❤ Ah; I can't stop myself from sucking...❤
こうやって言ってあげると男って喜ぶの❤\n妖精相手に「大きい」のは当たり前なのにね。,Guys always get excited when I say things like that~❤ Though it's only natural to be “big” when dealing with fairies.
あら、あなたのチンポも反応しちゃっている。\nほめられてうれしかった？くすくす❤,Oh; your cock is getting hard. Did it like being praised? Giggle~❤
裏筋を下からずーっとなめてあげる。\n大きい舌じゃこんなに丁寧なフェラはぜったい無理よ。,I'll lick your your cockhead from base to tip. If I had a big tongue; such a precise and delicate blowjob would be impossible.
あなたの弱いところも、\nこれだけ近くで見れば、全部丸わかり。\nこことか舐めると反応が違うものね？ほらほら、れろーっ❤,I can see all your weak points when I look at you this closely. You react differently when I lick here; don't you? Look; I'm licking you all up...❤
例えばこうやって、\nおっぱいで竿をずりずりずり♪\nちゃんとやわらかくて気持ちいいでしょ？,For example; when I'm sliding my soft breasts up and down your shaft...♪ It feels amazing; doesn't it?
ふふ、おっぱい好きなの？全然抵抗しないじゃない。\n小さいけど大きい、わたしのおっぱいに挟まれて、\nどぴゅどぴゅ射精しちゃってもいいのよ❤ほらほらぁ❤,Fufu; do you like boobs? You haven't resisted at all. Even though they're small; my breasts can still make you cum hard if I rub you with them.❤ Hora hora~❤
わたしの胸の大きさじゃ、チンポ全部を包むことなんてできない。\nでも意外と、\n先っぽをおっぱいでぱふぱふされるのって気持ちいいのよ？,My tits aren't big enough to wrap around your entire cock; but it's surprisingly pleasant to have just the tip squeezed between them; don't you think?
こうやってぱふぱふ❤ぱふぱふ❤\n敏感な亀頭をおっぱいですりすり❤すりすり❤\nたまらないでしょ？,Just like this...❤ I'm rubbing my soft breasts against your sensitive cockhead.❤ I'll stroke it and stroke it.❤ It's irresistible; right?
わたしの谷間見える？\n人間サイズだったら結構な巨乳でしょ？\nこれで気持ちよくしてあげる。,Can you see my cleavage? If I were human size; I'd have pretty huge tits; wouldn't I? Let me show you how soft they are. I'll make you feel really good.
全身でチンポに抱き着いてぇ、\n根元から先端まで、おっぱいでずりずりー❤\nふふふ、我慢汁が出ている。気持ちいいのね❤,I'm hugging your dick with my whole body. Now I'll rub my tits all over it; from the root to the tip.❤ Fufufu; it's leaking a little. It must feel really good.❤
ふふ、なぁに？わたしに気持ちいいことしてほしいの？,Fufu; what is it? Do you want me to do something nice?
こんな小さい妖精におねだりしちゃって、恥ずかしいのね❤\nほら、なにをしてほしいのか言ってごらんなさい？,How embarrassing for you; to beg for something from such a small fairy.❤ Well; what do you want me to do?
妖精のフェラ,Fairy Blowjob
妖精のパイズリ,Fairy Paizuri
なんでも,You decide
このベロで舐めてほしいの？\nんふふ、いいわよ❤\nれろーってして気持ちよくしてあげる❤,You want me to use my mouth? Mmmfufu; okay.❤ I'll lick it and make you feel good.❤
わたしの巨乳で気持ちよくしてほしいんだ❤\n男っておっぱい好きよねー❤\nいいわ、ずりずり♪ぱふぱふ♪気持ちよくしてあげる❤,So; you want me to use my boobs to make you feel good?❤ As expected; men love big tits; huh~?❤ Okay; I'll rub~♪ And squeeze~♪ And make you feel incredible.❤
んふ、どぴゅどぴゅ、たくさん出したわね❤\nわたしのテクはどうだったかしら。,Ufu~ Spurt spurt~! Look at how much you came; it's quite a lot!❤ I'm not sure if it was because my technique was good or if you're just weak.
