default
ヤツメ,雅次
Cランクのカードマスター。モルゲンの牢獄の看守を務めている。クモに関するカードを使用し、相手を罠で拘束して動けなくするのが得意。彼女が操るきわめて頑丈な糸にからめとられれば、上級モンスターであっても身動きがとれなくなるという。\n対男性戦では脚を使ったプレイが得意で、糸で拘束している相手をふとももコキでなぶるのがいつもの戦術である。しなやかながら肉厚な脚にペニスを挟まれると、あっという間に抵抗の意思が奪われてしまい、されるがまままに魔力を搾り取られてしまう。鉄の胸当てをつけているので見た目では目立たないが意外と胸も大きい。,Cランクのカードマスター。モルゲンの牢獄の看守を務めている。クモに関するカードを使用し、相手を罠で拘束して動けなくするのが得意。彼女が操るきわめて頑丈な糸にからめとられれば、上級モンスターであっても身動きがとれなくなるという。\n対男性戦では脚を使ったプレイが得意で、糸で拘束している相手をふとももコキでなぶるのがいつもの戦術である。しなやかながら肉厚な脚にペニスを挟まれると、あっという間に抵抗の意思が奪われてしまい、されるがまままに魔力を搾り取られてしまう。鉄の胸当てをつけているので見た目では目立たないが意外と胸も大きい。
おや、誰かと思えば、先日のルーキーか。\nこの間は、苦汁を飲まされてしまったが、\n今日は勝たせてもらうとしよう。,おや、誰かと思えば、先日のルーキーか。\nこの間は、苦汁を飲まされてしまったが、\n今日は勝たせてもらうとしよう。
お前の実力は認めている。\nしかし、だからといって負けっぱなしは性に合わない。\nアラクネたちの糸の力でがんじがらめにしてみせよう！,お前の実力は認めている。\nしかし、だからといって負けっぱなしは性に合わない。\nアラクネたちの糸の力でがんじがらめにしてみせよう！
おや、{主人公}か。また会ったな。\nお前はやはり男のマスターの中では群を抜いて強い。\nだからこそバトルのしがいもあるというものだ。,おや、{主人公}か。また会ったな。\nお前はやはり男のマスターの中では群を抜いて強い。\nだからこそバトルのしがいもあるというものだ。
先日は負けたが今日は勝ってみせよう。\nアラクネたちの糸で身動きを封じ、\n一方的に喘がせてみせる❤さあ、カードを構えるんだ。,先日は負けたが今日は勝ってみせよう。\nアラクネたちの糸で身動きを封じ、\n一方的に喘がせてみせる❤さあ、カードを構えるんだ。
おや、{主人公}か。また会ったな。\nふふ、どうしたそんなに前かがみになって。\nこの間の敗北を思い出しているのか？,おや、{主人公}か。また会ったな。\nふふ、どうしたそんなに前かがみになって。\nこの間の敗北を思い出しているのか？
今日もまたわたしが勝たせてもらうとしよう。\nアラクネたちの糸で身動きを封じられ、一方的に喘がされるといい❤\nククク❤,今日もまたわたしが勝たせてもらうとしよう。\nアラクネたちの糸で身動きを封じられ、一方的に喘がされるといい❤\nククク❤
うぐ、やはりというか、お前は強いな。{主人公}。\n男のマスターでわたしに勝つのはお前ぐらいだ。,うぐ、やはりというか、お前は強いな。{主人公}。\n男のマスターでわたしに勝つのはお前ぐらいだ。
だからこそ、わたしに屈服させてみたいものだが・・・。\nまあいい、この敗北を糧にさらに精進を積むとしよう。\n意義のあるバトルだった。感謝する。,だからこそ、わたしに屈服させてみたいものだが・・・。\nまあいい、この敗北を糧にさらに精進を積むとしよう。\n意義のあるバトルだった。感謝する。
ふふ、どうした？闘技場で見せた強さはただ運がいいだけだったか？\nずいぶん気持ちよさそうに果ててしまったではないか❤,ふふ、どうした？闘技場で見せた強さはただ運がいいだけだったか？\nずいぶん気持ちよさそうに果ててしまったではないか❤
お前がわたしのペットになりたいのであれば、\nわたしはいつでも歓迎しよう❤\n強い男の首にひもをつけるのは、実に楽しいからな。ククク❤,お前がわたしのペットになりたいのであれば、\nわたしはいつでも歓迎しよう❤\n強い男の首にひもをつけるのは、実に楽しいからな。ククク❤
挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。,挑戦するために必要なランクポイントに達していません(現在ランクポイント:{ランクポイント})。
無敗のルーキーの試合の時間がやってきました！\n昇格戦も含めると、Cランク選手相手にも二連勝！\nここまで負けなしの彼を止められるマスターは現れるのか！,無敗のルーキーの試合の時間がやってきました！\n昇格戦も含めると、Cランク選手相手にも二連勝！\nここまで負けなしの彼を止められるマスターは現れるのか！
そして、今日の相手はこの人！\n相手の動きを「止める」ことに関してはプロフェッショナル、\nモルゲン牢獄の看守！ヤツメ選手の登場です！,そして、今日の相手はこの人！\n相手の動きを「止める」ことに関してはプロフェッショナル、\nモルゲン牢獄の看守！ヤツメ選手の登場です！
彼女は蜘蛛モンスターの使い手！\n彼女の蜘蛛の糸にがんじがらめにされたら、もう逃げられないぞ！\n犯罪者であろうと魔物であろうと、彼女のおもちゃです！,彼女は蜘蛛モンスターの使い手！\n彼女の蜘蛛の糸にがんじがらめにされたら、もう逃げられないぞ！\n犯罪者であろうと魔物であろうと、彼女のおもちゃです！
ふむ。お前がわたしの対戦相手か。,ふむ。お前がわたしの対戦相手か。
普段は公務が忙しくてな。\n囚人の見張りばかりでなかなかバトルもできない。\n若い男と戦えるとはなかなかに僥倖だ。,普段は公務が忙しくてな。\n囚人の見張りばかりでなかなかバトルもできない。\n若い男と戦えるとはなかなかに僥倖だ。
ストレス発散もかねて、\nお前には情けなく鳴いてもらうとしよう。\n覚悟はいいか？無敗のルーキー。,ストレス発散もかねて、\nお前には情けなく鳴いてもらうとしよう。\n覚悟はいいか？無敗のルーキー。
ほお、礼儀正しいではないか。\nだが、わたし相手に「いい戦い」など本当にできるかな？,ほお、礼儀正しいではないか。\nだが、わたし相手に「いい戦い」など本当にできるかな？
糸で縛りあげ、身動きできなくしてやろう。\nその状態で快楽を与えてやれば、\n男はみなすぐマゾに堕ちる❤,糸で縛りあげ、身動きできなくしてやろう。\nその状態で快楽を与えてやれば、\n男はみなすぐマゾに堕ちる❤
お前もすぐにあえぐことしかできなくなるだろう。\nせいぜいもがいてみせるといい。ククク❤,お前もすぐにあえぐことしかできなくなるだろう。\nせいぜいもがいてみせるといい。ククク❤
おや、ずいぶんと活きがいいじゃないか。\n牢屋に入ってくる犯罪者たちで、そういう輩は何度も見てきた。\nどれだけ口は達者でも・・・。,おや、ずいぶんと活きがいいじゃないか。\n牢屋に入ってくる犯罪者たちで、そういう輩は何度も見てきた。\nどれだけ口は達者でも・・・。
縛りつけて脚でいじめてやれば、\nみなすぐにただのマゾ豚に堕ちたがな。ふふふ❤,縛りつけて脚でいじめてやれば、\nみなすぐにただのマゾ豚に堕ちたがな。ふふふ❤
お前も同じだろう？\n男なんて一皮むけば全員マゾだ。\nそれを体に教えてやろう。,お前も同じだろう？\n男なんて一皮むけば全員マゾだ。\nそれを体に教えてやろう。
・・・・っ❤,・・・・っ❤
（ふっ、もう脚にくぎ付けか・・・❤\n短いスカートがそんなに気になるか？\nマゾの本性が隠しきれていないようだな❤）,（ふっ、もう脚にくぎ付けか・・・❤\n短いスカートがそんなに気になるか？\nマゾの本性が隠しきれていないようだな❤）
決まったー！{主人公}選手の勝利です！,決まったー！{主人公}選手の勝利です！
ヤツメ選手の罠でさえも{主人公}選手の障害にはならない！\n速攻で勝負を決めました！\nこれが無敗のルーキーの実力だぁ！,ヤツメ選手の罠でさえも{主人公}選手の障害にはならない！\n速攻で勝負を決めました！\nこれが無敗のルーキーの実力だぁ！
ヤツメ選手も罠を駆使して戦いましたが一歩及ばず！\n勝負は{主人公}選手が制しました。\nやはり強いぞ、無敗のルーキー！,ヤツメ選手も罠を駆使して戦いましたが一歩及ばず！\n勝負は{主人公}選手が制しました。\nやはり強いぞ、無敗のルーキー！
ヤツメ選手も罠を駆使して戦いましたが\n{主人公}選手、余裕を残しての勝利です！\nやはり強いぞ、無敗のルーキー！,ヤツメ選手も罠を駆使して戦いましたが\n{主人公}選手、余裕を残しての勝利です！\nやはり強いぞ、無敗のルーキー！
くっ、男に負けるとは…。\nさすがだ。今まで戦ったどの男性マスターよりも強かった。,くっ、男に負けるとは…。\nさすがだ。今まで戦ったどの男性マスターよりも強かった。
男など拘束して踏みつけてやれば、\n喜んで従うマゾばかりだと思っていたが、\nお前は少し違うようだ。認識を改めないといけないな…。,男など拘束して踏みつけてやれば、\n喜んで従うマゾばかりだと思っていたが、\nお前は少し違うようだ。認識を改めないといけないな…。
（ストレス発散のつもりが、まだまだわたしも精進が足りないな。\nアラクネたちとの訓練時間をもっと確保しなくては…！）,（ストレス発散のつもりが、まだまだわたしも精進が足りないな。\nアラクネたちとの訓練時間をもっと確保しなくては…！）
闘技場の勝利報酬を得た！,闘技場の勝利報酬を得た！
