default
シルヴィア,Sylvia
F26_bustShakeAnime,
F26_paizuriAnime,
　モルゲンカード学園首席の、Bランクカードマスター。学園に入学してからこつこつランクを上げ、ついにAランク昇格間近というところまで来た。攻撃と防御を柔軟に切り替えつつ、光属性で統一したモンスターたちを駆使して戦う。特に切り札のイージスが強力で、戦闘によっても効果によっても容易には突破できない強固な防御能力を誇っている。\n　胸のサイズも学園一であり、実はこっそり自慢に思っている。バトル以外で性的なことをしたことはないが、カードマスター学園ではそうしたテクニックも教えているので、男を気持ちよくするツボはよく心得ているという。快感を与えつつ、抵抗する動きを体術でいなして押さえ込んでくるため、力自慢の大男であっても簡単には逃れられない。大きく揺れる胸に誘われて安易に彼女に身を任せてしまえば、そのまま脱出できずに搾り取られてしまうだろう。\n　人魚使いのメロディは同級生だが、身長が低くくかわいらしいので、メロディちゃんと、ちゃん付けで呼んでいる。しょっちゅう抱き着いたり頭をなでてくるので、メロディからはちょっとうっとうしがられている。,   One of the top students at Morgen Card Academy; and a B-rank cardmaster. Since enrolling at the academy; she has steadily climbed the ranks; and is now close to being promoted to A-rank. She fights by smoothly switching between offense and defense; utilizing her Light Attribute monsters to the best of their abilites. Her trump card; Aegis; is particularly powerful; boasting such a solid defense that it cannot be easily broken through by either combat or effects./n   Her bust size is also the largest in the academy; a fact she secretly takes great pride in. Though she has never done anything sexual outside of battles; since it's a skill taught by the Card Academy; she has become familiar with the pressure points that make men feel good. She gives pleasure while using martial arts to deflect and subdue any attempts to resist her; so even opponents larger than her can't easily escape from her hold. If you carelessly give yourself over to her—overly enticed by her large; bouncing breasts—you'll have no hope of escape; doomed to be milked dry.\n   She has taken to calling her classmate Melody—the mermaid cardmaster—'Little Melly'; do to her small stature and cute appearance. She is constantly hugging her and patting her head; which annoys Melody quite a bit.
モルゲンカード学園首席の、Bランクカードマスター。学園に入学してからこつこつランクを上げ、ついにAランク昇格間近というところまで来た。攻撃と防御を柔軟に切り替えつつ、光属性で統一したモンスターたちを駆使して戦う。特に切り札のイージスが強力で、戦闘によっても効果によっても容易には突破できない強固な防御能力を誇っている。,   One of the top students at Morgen Card Academy; and a B-rank cardmaster. Since enrolling at the academy; she has steadily climbed the ranks; and is now close to being promoted to A-rank. She fights by smoothly switching between offense and defense; utilizing her Light Attribute monsters to the best of their abilites. Her trump card; Aegis; is particularly powerful; boasting such a solid defense that it cannot be easily broken through by either combat or effects.
　胸のサイズも学園一であり、実はこっそり自慢に思っている。バトル以外で性的なことをしたことはないが、カードマスター学園ではそうしたテクニックも教えているので、男を気持ちよくするツボはよく心得ているという。快感を与えつつ、抵抗する動きを体術でいなして押さえ込んでくるため、力自慢の大男であっても簡単には逃れられない。大きく揺れる胸に誘われて安易に彼女に身を任せてしまえば、そのまま脱出できずに搾り取られてしまうだろう。,   Her bust size is also the largest in the academy; a fact she secretly takes great pride in. Though she has never done anything sexual outside of battles; since it's a skill taught by the Card Academy; she has become familiar with the pressure points that make men feel good. She gives pleasure while using martial arts to deflect and subdue any attempts to resist her; so even opponents larger than her can't easily escape from her hold. If you carelessly give yourself over to her—overly enticed by her large; bouncing breasts—you'll have no hope of escape; doomed to be milked dry.
　人魚使いのメロディは同級生だが、身長が低くくかわいらしいので、メロディちゃんと、ちゃん付けで呼んでいる。しょっちゅう抱き着いたり頭をなでてくるので、メロディからはちょっとうっとうしがられている。,    She has taken to calling her classmate Melody—the mermaid cardmaster—'Little Melly'; do to her small stature and cute appearance. She is constantly hugging her and patting her head; which annoys Melody quite a bit.
あら、無敗のルーキー、この間の試合ぶりね。\nどう？Aランク昇格戦に向けて、準備はできた？,Oh; if it isn't the undefeated rookie. It's been a while since our last match. So? Are you prepared for the A-rank promotion battle?
昇格戦の前にお師匠様と一度真剣勝負をする？\nへぇ、それは大事な試合になりそうね。師匠への恩返しもかねて\n強くなったところ、ちゃんと見せてあげなくちゃ。,Your master challenged you to a serious match before your promotion? Hmm; that sounds like a fairly important match. Make sure you show her how strong you've become as a way of repaying her kindness.
わたしもあなたの調整手伝ってあげるわ。\n今からバトルして、互いに切磋琢磨することにしましょう。,Considering how important a match like that could be; I'd be happy to help you practice for your fight. Let's battle right now and push each other to improve!
もちろん調整だからといって手を抜く気はないわ。\n闘技場では負けたけど今日は勝たせてもらうから。\nさ、カードを構えなさい。,Of course; just because this is training doesn't mean I'll go easy on you. I may have lost in the arena; but today I'll be the one to win. Come now; ready your cards.
