default
闘技場のスリ,Colosseum Thief
NPC20_paizuriAnime,
NPC20_paizuriAnime2,
わぁー、あなたカードマスターですよね！\nそれもDランク！わたしあなたのファンなんです！,Wow; you're that cardmaster; aren't you!? The new D-rank!? I'm such a big fan of yours!
・・・・？,....?
まだ一度も闘技場で戦っていないのに僕のファン？そんなことあるのだろうか。,Even though I've never fought in the colosseum; I already have a fan? Is that even possible?
あーん、近くで直接見るとかっこいい～❤\nいつも試合見てます～❤\nねえ、サインもらってもいいですかぁ❤,Ahh; you're even cooler in person~❤ I always watch your matches~❤ Hey; can I get your autograph?❤
そう言って女の子は、僕に近寄りぎゅっと僕の腕を抱きしめてきた。,As she said that; the girl came closer and hugged my arm tightly.
（わわっ・・・❤おっぱいが当たって・・・❤）,(Wow...❤ I can feel her breasts pressing against me...❤)
この状況に僕は・・・。,In this situation; I...
冷静になって彼女の様子を観察した,Calmed down and observed the situation.
鼻の下をのばしてしまった,Couldn't help but get flustered.
・・・・。,....
僕は腕に押し当てられるおっぱいの感触から意識をそらし、彼女の動きをよく観察してみた。,I turned my attention away from the sensation of her breasts pressing against my arm and watched her movements carefully.
よく見ると、彼女の腕がなにやらもぞもぞ動いている。ばれないように、ゆっくりと僕の後ろに手を回しているようだ。,Looking closer; I could see her arm moving around carefully. It seemed as if she was trying to reach behind me without being noticed.
ね、サイン書いてほしいな～❤\nこの紙に書いてくださ～い❤,Hey; I really want your autograph~❤ Could you sign this paper for me? Pretty please~❤
そう言って僕に大きな紙を手渡し、視線を前に誘導しようとする。しかし、彼女の動きにしっかり意識を向けていた僕は、彼女の手がズボンの財布に伸びたのに気が付いたのだった。,Saying that; she handed me a large piece of paper; trying to guide my gaze forward. However; since I was already aware of her movements; I noticed her hand reaching for the wallet I had in my pocket.
わわ、え、あいたたた！\nちょっと手をつかまないでくださいよっ。,Whoa; hey; ouch; my hand! Don't grab me like that!
え？財布？\n盗ろうとしただろって？\nあははは・・・・。なんのことですか？わたし知らないな～・・・。,Huh? Your wallet? You think I was trying to steal your wallet? Ahahaha... What are you even talking about? I don't know what you...
衛兵につきだす？\nうえぇー、まじ？,Turn me over to the guards? No way; seriously?
くっそー、チョロそうな童貞男だと思ったのに・・・。\nん・・・？,Damn it; I thought he'd be just some easy virgin... Hmm...?
(こいつちょっと勃起してんじゃん。\nわたしのおっぱいで興奮したのかな？\nこれなら・・・❤),(Looks like this guy's getting a little hard down there. Did my tits get him excited? If that's the case...❤)
・・・・・ねえ。\nアンタのこと気持ちよくしてあげるからさ、\n見逃してくんない？,... Hey. If I promise to make you feel good; would you maybe let it slide this time?
わたしもさー、たまたま気が迷ったていうか、\nお金盗る前だったわけだしさ、\nまだ悪いことしてないじゃん？,I mean; I just got a little carried away is all; and you caught me before I actually took anything; so I haven't really done anything bad yet; right?
だからさ、パイズリ一回でチャラってことでさ❤\nほらぁ、さっき腕に当ててあげたわたしのおっぱい❤\n超柔らかかったでしょ？,So; how about I give you a titfuck and we call it even? Just this once?❤ Don't you remember how nice my tits felt against your arm earlier?❤ They were super soft; right?
ここで気持ちよくしたげるからさ～❤\n見逃してよ❤\n外の路地裏で、パイズリぬきぬき、気持ちよくしたげるよ？ね❤,I'll make you feel really good... down here~❤ So just forget about this whole mess; okay?❤ Let's just go find an alley outside and I'll give you a nice titfuck; okay?❤
・・・・・っ❤,...❤
女はそう言いながら、僕に体を密着させるとお尻でペニスを圧迫し、軽く上下にこすりつけてきた。,While saying that; the woman pressed her body against me; pressing her rear against my groin and lightly rubbing it up and down.
片腕をつかんで拘束しているから彼女と距離を取るわけにもいかない。なまめかしいその動きは男のツボを心得ていて、思わず腰が引けてしまうほど気持ちがいい。,Since I was holding one of her arms to keep her restrained; I wasn't able to put distance between the two of us. Her sultry movements knew exactly how to hit a man's weak spot. It felt so good I couldn't help but pull my waist back.
そのうえこれ見よがしに体をよじって、おっぱいを揺らして誘惑までしてくる。僕はたまらずあとずさりをしてしまう。,On top of that; she deliberately twisted her body; swaying her breasts to tempt me more. I couldn't help but take a step back.
あは❤だいぶガチガチになってるじゃん❤\n素直になりなって❤うりうり～❤,Aha~❤ You're getting pretty stiff now; aren't you?❤ Go on; be honest with yourself~❤ You know it feels nice when I rub you like this~❤
そのまま壁際まで追い詰められてしまう。この状況に僕は・・・。,Teasing me like this; the woman managed to back me against a wall. In this situation; I...
